J,ReturnMean,NumTrajectories,AvgRet,InvPendulum_std0_higher,BatchSize,AvgEpLen,StepSize,NatGradInftyNorm,InvPendulum_mu2_higher,MinEpLen,InvPendulum_mu0_higher,InvPendulum_std2_higher,InvPendulum_std3_higher,InvPendulum_mu3_higher,Iteration,ActionIn1,VarJ,InvPendulum_std1_higher,NatGrad2Norm,InvPendulum_mu1_higher,TimestepsSoFar,ReturnMax
-113.41239209632218,-112.67520511605817,2100,-113.41239209632218,0.01,100,20.260952380952382,0.0001,0.25439724,0.41001692,10,0.8060638,0.01,0.01,-0.06525698,21,0.71719587,0.3385518558758035,0.01,0.34906945,-0.42179573,42548,-103.72248656951565
-112.3072877048646,-112.65848159736755,2200,-112.3072877048646,0.01,100,20.242727272727272,0.0001,0.38892165,0.41002125,10,0.8060868,0.01,0.01,-0.06528242,22,0.7526928,0.32687849787834883,0.01,0.40214851,-0.42179102,44534,-103.6579672552044
-113.41634417136311,-112.69143214406301,2300,-113.41634417136311,0.01,100,20.274782608695652,0.0001,0.13191792,0.41003084,10,0.80608755,0.01,0.01,-0.065285906,23,0.71028554,0.3305225993594471,0.01,0.1553668,-0.4218299,46632,-103.6579672552044
-112.20641162747864,-112.671222955872,2400,-112.20641162747864,0.01,100,20.244583333333335,0.0001,0.15170296,0.41004404,10,0.8060924,0.01,0.01,-0.06528398,24,0.75596195,0.21713684990151003,0.01,0.2203595,-0.42182353,48587,-103.6579672552044
-112.41603926565111,-112.66101560826316,2500,-112.41603926565111,0.01,100,20.242,0.0001,0.36076814,0.41003934,10,0.8060772,0.01,0.01,-0.06527905,25,0.70343006,0.2870693058114142,0.01,0.416802,-0.42180908,50605,-103.6579672552044
-111.5270271900694,-112.61740066910185,2600,-111.5270271900694,0.01,100,20.213461538461537,0.0001,0.21158667,0.41000324,10,0.80609614,0.01,0.01,-0.06527064,26,0.72296,0.23096549081814297,0.01,0.24167532,-0.42180684,52555,-103.6579672552044
-113.2283025503874,-112.64002666470505,2700,-113.2283025503874,0.01,100,20.247777777777777,0.0001,0.14832133,0.41000244,10,0.80610704,0.01,0.01,-0.06526649,27,0.7464329,0.3577196369580609,0.01,0.17392442,-0.421828,54669,-103.6579672552044
-112.81458709438992,-112.64626096576521,2800,-112.81458709438992,0.01,100,20.250357142857144,0.0001,0.14026634,0.41000438,10,0.8060922,0.01,0.01,-0.06526379,28,0.68625444,0.32072972786981696,0.01,0.19607073,-0.42181954,56701,-103.6579672552044
-112.70797358843913,-112.64838898723671,2900,-112.70797358843913,0.01,100,20.257241379310344,0.0001,0.14507782,0.40999556,10,0.8061026,0.01,0.01,-0.06524976,29,0.73002225,0.28191212522201203,0.01,0.17146866,-0.42182103,58746,-103.6579672552044
-112.7532502379443,-112.6518843622603,3000,-112.7532502379443,0.01,100,20.243,0.0001,0.3207703,0.41000223,10,0.8060976,0.01,0.01,-0.065253556,30,0.7438627,0.25801011721411493,0.01,0.33788207,-0.42183554,60729,-103.6579672552044
-112.02945483648635,-112.63180599046115,3100,-112.02945483648635,0.01,100,20.216129032258063,0.0001,0.21055697,0.4100068,10,0.80609906,0.01,0.01,-0.06522148,31,0.72624093,0.23213372343226713,0.01,0.27212715,-0.42182606,62670,-103.6579672552044
-113.50414235275859,-112.65906650178295,3200,-113.50414235275859,0.01,100,20.241875,0.0001,0.0709281,0.41001913,10,0.8061201,0.01,0.01,-0.06522097,32,0.7432714,0.3446783413719796,0.01,0.107794575,-0.42183807,64774,-103.6579672552044
-112.20382551841111,-112.64527132046864,3300,-112.20382551841111,0.01,100,20.24,0.0001,0.20541307,0.41001204,10,0.8061237,0.01,0.01,-0.06522663,33,0.72771955,0.2682858295055102,0.01,0.23289081,-0.4218335,66792,-103.6579672552044
-112.01522002772883,-112.62674040009394,3400,-112.01522002772883,0.01,100,20.236764705882354,0.0001,0.15013517,0.41000968,10,0.80614424,0.01,0.01,-0.065216854,34,0.7279679,0.22820170712035823,0.01,0.18262464,-0.42183787,68805,-103.6579672552044
-113.33585592706113,-112.64700084372157,3500,-113.33585592706113,0.01,100,20.249142857142857,0.0001,0.23268583,0.41000044,10,0.80615926,0.01,0.01,-0.06522036,35,0.7213782,0.30401338823170215,0.01,0.24432424,-0.4218411,70872,-103.6579672552044
-112.96953328310053,-112.65596007814877,3600,-112.96953328310053,0.01,100,20.25888888888889,0.0001,0.11211491,0.4100016,10,0.8061521,0.01,0.01,-0.06521869,36,0.7518835,0.2862257117031916,0.01,0.1398478,-0.42181784,72932,-103.6579672552044
-112.69855054031079,-112.65711117172071,3700,-112.69855054031079,0.01,100,20.244324324324324,0.0001,0.19006689,0.4099904,10,0.8061488,0.01,0.01,-0.06522636,37,0.7284012,0.3158934726812273,0.01,0.2774387,-0.42181817,74904,-103.6579672552044
-111.68853290441372,-112.63162226994947,3800,-111.68853290441372,0.01,100,20.234473684210528,0.0001,0.12524208,0.4099714,10,0.8061678,0.01,0.01,-0.06523259,38,0.7483641,0.2898665250751467,0.01,0.19567937,-0.42181507,76891,-103.6579672552044
-112.94154619152837,-112.63956903716945,3900,-112.94154619152837,0.01,100,20.247948717948717,0.0001,0.16543919,0.4099678,10,0.80615604,0.01,0.01,-0.065220065,39,0.72473764,0.33165909441159586,0.01,0.17818208,-0.42180642,78967,-103.6579672552044
-113.40703645301693,-112.65875572256563,4000,-113.40703645301693,0.01,100,20.25275,0.0001,0.07575993,0.4099736,10,0.8061575,0.01,0.01,-0.065203525,40,0.747054,0.3476450622493703,0.01,0.11604043,-0.4218093,81011,-103.6579672552044
-112.16113772037215,-112.64661869812188,4100,-112.16113772037215,0.01,100,20.245121951219513,0.0001,0.12300338,0.40997213,10,0.8061638,0.01,0.01,-0.065209545,41,0.68620485,0.24315296719387888,0.01,0.18553203,-0.42181686,83005,-103.6579672552044
-112.9946080611222,-112.65490415914572,4200,-112.9946080611222,0.01,100,20.240952380952383,0.0001,0.18025209,0.4099837,10,0.80616987,0.01,0.01,-0.06521422,42,0.734299,0.24087397533309562,0.01,0.27078363,-0.42182916,85012,-103.6579672552044
-113.51395784973356,-112.67488215195009,4300,-113.51395784973356,0.01,100,20.24325581395349,0.0001,0.18973236,0.40996566,10,0.8061773,0.01,0.01,-0.065220304,43,0.6934105,0.31356135418537223,0.01,0.2559679,-0.4218114,87046,-103.6579672552044
-113.22949818996494,-112.68748706190496,4400,-113.22949818996494,0.01,100,20.239545454545453,0.0001,0.06533775,0.40996328,10,0.8061607,0.01,0.01,-0.065223806,44,0.73956895,0.33186905380198245,0.01,0.090967335,-0.42179242,89054,-103.6579672552044
-113.21252746018486,-112.69915462631118,4500,-113.21252746018486,0.01,100,20.24577777777778,0.0001,0.16964065,0.4099633,10,0.8061645,0.01,0.01,-0.06522887,45,0.72475976,0.28743887583746025,0.01,0.2258904,-0.42179894,91106,-103.6579672552044
-112.88773959016562,-112.70325429943846,4600,-112.88773959016562,0.01,100,20.242826086956523,0.0001,0.20958848,0.40996772,10,0.80615443,0.01,0.01,-0.06524584,46,0.71986526,0.4047014891478798,0.01,0.26497525,-0.42178887,93117,-103.52385323889116
-114.6886147508061,-112.74549601116968,4700,-114.6886147508061,0.01,100,20.28191489361702,0.0001,0.24765508,0.40997377,10,0.80614674,0.01,0.01,-0.065232895,47,0.7584924,0.39102446140508834,0.01,0.29455173,-0.42180982,95325,-103.52385323889116
-112.80186977817911,-112.74667046464904,4800,-112.80186977817911,0.01,100,20.291458333333335,0.0001,0.22840403,0.40996078,10,0.8061715,0.01,0.01,-0.06523188,48,0.7574986,0.2661354660335143,0.01,0.3168384,-0.42181903,97399,-103.52385323889116
-113.60359488895615,-112.76415871820636,4900,-113.60359488895615,0.01,100,20.295510204081634,0.0001,0.14191186,0.40994254,10,0.8061943,0.01,0.01,-0.06522085,49,0.7556376,0.29503848904452046,0.01,0.20627871,-0.42181373,99448,-103.52385323889116
-113.29687097957209,-112.77481296343363,5000,-113.29687097957209,0.01,100,20.2988,0.0001,0.15377176,0.40995672,10,0.8061847,0.01,0.01,-0.06522733,50,0.7368278,0.26525447638249544,0.01,0.21943474,-0.4218232,101494,-103.52385323889116
