InvPendulum_std3_higher,J,InvPendulum_mu3_higher,MinEpLen,StepSize,InvPendulum_mu0_higher,InvPendulum_mu2_higher,AvgRet,ActionIn1,ReturnMean,NatGrad2Norm,TimestepsSoFar,InvPendulum_std1_higher,BatchSize,InvPendulum_std0_higher,InvPendulum_std2_higher,InvPendulum_mu1_higher,AvgEpLen,Iteration,NumTrajectories,ReturnMax,VarJ,NatGradInftyNorm
0.01,-101.54757119156108,-0.8075896,15,0.1,-0.35728163,-0.10657271,-101.54757119156108,-1.7556748,-101.54757119156108,0.11808304,4458,0.01,100,0.01,0.01,-0.45693675,44.58,1,100,-59.93635733478327,0.8336646892645632,0.09612575
0.01,-102.74990663487957,-0.81113213,13,0.1,-0.35470927,-0.101293735,-102.74990663487957,-1.7083154,-102.14873891322033,0.2133664,8561,0.01,100,0.01,0.01,-0.44732416,42.805,2,200,-59.93635733478327,0.46211429996222386,0.1627342
0.01,-100.63525658490863,-0.8125026,13,0.1,-0.33843586,-0.09031084,-100.63525658490863,-1.6675396,-101.6442448037831,0.21342911,12944,0.01,100,0.01,0.01,-0.45556587,43.14666666666667,3,300,-59.93635733478327,0.6940846346364157,0.13641025
0.01,-102.53295090464906,-0.81746876,13,0.1,-0.35111722,-0.09947397,-102.53295090464906,-1.7003254,-101.86642132899959,0.22005095,17137,0.01,100,0.01,0.01,-0.44192484,42.8425,4,400,-59.93635733478327,0.5505881083401418,0.14991972
0.01,-101.93474925577304,-0.83044225,13,0.1,-0.36058283,-0.098226346,-101.93474925577304,-1.7717624,-101.88008691435428,0.24993226,21338,0.01,100,0.01,0.01,-0.4569168,42.676,5,500,-59.93635733478327,0.6479499494757525,0.19287424
0.01,-102.28982019018098,-0.8256306,13,0.1,-0.3412954,-0.090295814,-102.28982019018098,-1.7081137,-101.94837579365873,0.17756316,25141,0.01,100,0.01,0.01,-0.444009,41.901666666666664,6,600,-59.93635733478327,0.6149274545031718,0.122556314
0.01,-102.07846056255147,-0.82034636,13,0.1,-0.3494573,-0.081896625,-102.07846056255147,-1.7229767,-101.96695933207197,0.25880253,29114,0.01,100,0.01,0.01,-0.45626464,41.59142857142857,7,700,-59.93635733478327,0.5279524295829648,0.20550686
0.01,-100.833527823617,-0.8181135,13,0.1,-0.35835832,-0.06911997,-100.833527823617,-1.7370188,-101.8252803935151,0.23857303,33493,0.01,100,0.01,0.01,-0.47681534,41.86625,8,800,-59.93635733478327,0.6223531546007703,0.14610627
0.01,-100.59775601167024,-0.8093182,13,0.1,-0.37296894,-0.05480013,-100.59775601167024,-1.7217844,-101.68888879553234,0.10116916,37723,0.01,100,0.01,0.01,-0.485376,41.91444444444444,9,900,-59.93635733478327,0.6140218894816161,0.08534049
0.01,-100.19786641600798,-0.8129996,13,0.1,-0.3695999,-0.04626608,-100.19786641600798,-1.6928132,-101.5397865575799,0.20060164,41976,0.01,100,0.01,0.01,-0.48322684,41.976,10,1000,-53.533128978149186,0.7982568090064196,0.16884723
