BatchSize,NatGradInftyNorm,StepSize,ReturnMean,InvPendulum_std0_higher,TimestepsSoFar,J,InvPendulum_std1_higher,InvPendulum_mu2_higher,VarJ,InvPendulum_std3_higher,NumTrajectories,InvPendulum_mu1_higher,AvgRet,InvPendulum_mu3_higher,NatGrad2Norm,Iteration,InvPendulum_std2_higher,AvgEpLen,MinEpLen,InvPendulum_mu0_higher,ActionIn1,ReturnMax
100,0.17569646,2.0,-102.67780578820984,0.01,6557,-102.67780578820984,0.01,0.21010771,1.0408983712449154,0.01,100,-0.3516885,-102.67780578820984,-0.5202909,0.24329627,1,0.01,65.57,15,-0.74931115,-1.4239453,-77.7544703094587
100,0.17421283,2.0,-103.66393557736109,0.01,13592,-104.6500653665123,0.01,0.13753983,0.8695950975899911,0.01,200,-0.7030814,-104.6500653665123,-0.5774274,0.18930365,2,0.01,67.96,15,-0.4256375,-1.5403364,-57.91884125272479
100,0.5227912,2.0,-188.2872811051832,0.01,63592,-357.53397216082755,0.01,0.10650704,2.349343479060245,0.01,300,-0.8275014,-357.53397216082755,-0.22900173,0.6216401,3,0.01,211.97333333333333,15,-0.35147762,-1.312105,-57.91884125272479
100,0.14351988,2.0,-170.52607960442086,0.01,76377,-117.24247510213365,0.01,0.62052125,3.0291949705593737,0.01,400,-0.88171864,-117.24247510213365,-0.65952826,0.17415456,4,0.01,190.9425,15,-1.39706,-2.339811,-52.34008028451256
100,0.08441075,2.0,-157.90541810203908,0.01,82573,-107.42277209251212,0.01,0.691485,1.1194218633609436,0.01,500,-0.7519805,-107.42277209251212,-0.946568,0.116778255,5,0.01,165.146,15,-1.2664477,-2.2476032,-52.34008028451256
100,0.16324346,2.0,-149.49445061892854,0.01,87543,-107.43961320337576,0.01,0.8603065,0.812471972959263,0.01,600,-0.849502,-107.43961320337576,-1.0435015,0.21263485,6,0.01,145.905,15,-1.1819409,-2.2319794,-52.34008028451256
100,0.17990735,2.0,-143.09934767751278,0.01,92521,-104.7287300290182,0.01,0.72213256,0.6949601655709797,0.01,700,-0.52301514,-104.7287300290182,-0.86432207,0.23031488,7,0.01,132.17285714285714,13,-1.0300748,-1.6919348,-52.34008028451256
100,0.20902032,2.0,-137.89715705615146,0.01,97756,-101.48182270662211,0.01,0.73853815,0.3643833452330449,0.01,800,-0.68512666,-101.48182270662211,-1.2241368,0.30567706,8,0.01,122.195,13,-0.7930857,-1.9894023,-52.34008028451256
100,0.32289353,2.0,-134.2844376104213,0.01,100301,-105.38268204458016,0.01,0.59170806,0.32542730784678287,0.01,900,-0.26708603,-105.38268204458016,-1.5697961,0.36168358,9,0.01,111.44555555555556,12,-0.5523441,-1.8348106,-52.34008028451256
100,0.17042305,2.0,-131.50574421075538,0.01,103225,-106.49750361376253,0.01,0.30419853,0.2497769070937091,0.01,1000,-0.15517509,-106.49750361376253,-0.924009,0.19093412,10,0.01,103.225,12,-0.65738356,-1.4617534,-52.34008028451256
100,0.11550905,2.0,-128.92959398751378,0.01,106541,-103.16809175509731,0.01,0.23148726,0.7187754979941358,0.01,1100,-0.31124154,-103.16809175509731,-0.92210394,0.15149592,11,0.01,96.85545454545455,12,-0.31653747,-1.3329908,-44.8624941417687
100,0.098932095,2.0,-126.83414797105684,0.01,109975,-103.78424179003059,0.01,0.2767927,0.5423896267266755,0.01,1200,-0.17607133,-103.78424179003059,-0.6910858,0.12975276,12,0.01,91.64583333333333,12,-0.45111507,-1.0191454,-44.8624941417687
100,0.16950357,2.0,-124.82281334710464,0.01,114392,-100.68679785967825,0.01,0.15694875,0.4729402407984498,0.01,1300,-0.37393552,-100.68679785967825,-0.61032337,0.17256713,13,0.01,87.99384615384615,12,-0.36562985,-1.1958131,-44.8624941417687
100,0.1381546,2.0,-123.24599136384745,0.01,117964,-102.74730558150412,0.01,0.110524565,0.6061736976338321,0.01,1400,-0.35973012,-102.74730558150412,-0.9493305,0.16516985,14,0.01,84.26,11,-0.40846473,-1.6209852,-44.8624941417687
100,0.1327818,2.0,-121.89714405461318,0.01,121614,-103.01328172533319,0.01,-0.049579576,0.6566820524531556,0.01,1500,-0.3381495,-103.01328172533319,-1.0310525,0.20073634,15,0.01,81.076,11,-0.6847739,-2.0978153,-44.8624941417687
100,0.10749128,2.0,-120.8111641083449,0.01,125204,-104.52146491432059,0.01,-0.14586428,0.261212630151116,0.01,1600,-0.07782638,-104.52146491432059,-0.91435874,0.13109829,16,0.01,78.2525,11,-0.9503375,-2.0523381,-44.8624941417687
100,0.13576089,2.0,-119.86481860643602,0.01,128628,-104.72329057589421,0.01,-0.26658553,0.5684693272340405,0.01,1700,-0.29280895,-104.72329057589421,-0.87858623,0.19883722,17,0.01,75.6635294117647,11,-0.8686292,-2.3135476,-44.8624941417687
100,0.13319044,2.0,-118.97976010692949,0.01,132131,-103.93376561531898,0.01,-0.319217,0.5707215732548854,0.01,1800,-0.40439186,-103.93376561531898,-1.150108,0.21600772,18,0.01,73.40611111111112,11,-1.1316882,-3.0179715,-44.8624941417687
100,0.12030132,2.0,-118.23706285933946,0.01,136390,-104.86851240271828,0.01,-0.4615594,0.6345288799946531,0.01,1900,-0.5875129,-104.86851240271828,-1.4164889,0.13900195,19,0.01,71.78421052631579,11,-1.380453,-3.8236995,-44.8624941417687
100,0.20988968,2.0,-117.63137605477995,0.01,139879,-106.1233267681495,0.01,-0.5080984,0.5375656967063743,0.01,2000,-0.46472326,-106.1233267681495,-1.1758863,0.27807897,20,0.01,69.9395,11,-1.3340487,-3.4681373,-44.8624941417687
100,0.09023827,2.0,-117.05130416336704,0.01,143020,-105.44986633510884,0.01,-0.61207426,0.4467713813501694,0.01,2100,-0.2557275,-105.44986633510884,-0.89551735,0.14641741,21,0.01,68.1047619047619,11,-1.753828,-3.5157018,-44.8624941417687
