InvPendulum_mu3_higher,InvPendulum_mu2_higher,InvPendulum_mu0_higher,InvPendulum_std2_higher,Iteration,InvPendulum_mu1_higher,NumTrajectories,NatGradInftyNorm,InvPendulum_std3_higher,NatGrad2Norm,StepSize,J,AvgRet,ActionIn1,ReturnMean,BatchSize,InvPendulum_std0_higher,AvgEpLen,TimestepsSoFar,MinEpLen,ReturnMax,VarJ,InvPendulum_std1_higher
0.32162514,-0.3480244,-0.22476089,0.01,1,-0.85142165,100,0.23142505,0.01,0.28190935,0.001,-159.65418683822202,-159.65418683822202,-1.1124316,-159.65418683822202,100,0.01,70.33,7033,22,-111.54714944845783,1.7814225106320816,0.01
0.32154414,-0.3482558,-0.22486214,0.01,2,-0.8515171,200,0.15290754,0.01,0.21293566,0.001,-159.88443667778202,-159.88443667778202,-1.1057421,-159.76931175800203,100,0.01,70.405,14081,22,-111.54714944845783,1.45056869014462,0.01
0.32149076,-0.34838006,-0.22492276,0.01,3,-0.85166997,300,0.24889001,0.01,0.2824236,0.001,-158.30146723754277,-158.30146723754277,-1.102154,-159.28003025118227,100,0.01,69.85333333333334,20956,22,-111.54714944845783,1.5011876303107423,0.01
0.32145,-0.34862894,-0.22480425,0.01,4,-0.8517159,400,0.28404325,0.01,0.44318265,0.001,-157.4873695169998,-157.4873695169998,-1.0985,-158.83186506763667,100,0.01,69.4575,27783,22,-111.54714944845783,1.5369153422409467,0.01
0.3216754,-0.34891298,-0.22468548,0.01,5,-0.85194135,500,0.3646216,0.01,0.46587422,0.001,-157.125650253343,-157.125650253343,-1.0895879,-158.4906221047779,100,0.01,69.086,34543,22,-111.54714944845783,1.5664716827959437,0.01
0.32139388,-0.348882,-0.22474776,0.01,6,-0.85157675,600,0.43063214,0.01,0.51209104,0.001,-157.72780950398885,-157.72780950398885,-1.0995944,-158.36348667131307,100,0.01,68.97333333333333,41384,22,-111.54714944845783,1.996738726290719,0.01
0.32148638,-0.348867,-0.22448696,0.01,7,-0.8511461,700,0.28585634,0.01,0.4387402,0.001,-157.4970564157824,-157.4970564157824,-1.1008202,-158.23971092052298,100,0.01,68.89142857142858,48224,22,-111.50044537473848,1.5921893076527838,0.01
0.3216555,-0.34893435,-0.22477281,0.01,8,-0.85142475,800,0.3102169,0.01,0.40633935,0.001,-157.4019128257382,-157.4019128257382,-1.0801904,-158.13498615867488,100,0.01,68.8075,55046,22,-111.50044537473848,1.3943908668800662,0.01
0.32140562,-0.3489956,-0.22508302,0.01,9,-0.85137296,900,0.1885395,0.01,0.23395859,0.001,-157.9540055043984,-157.9540055043984,-1.08316,-158.1148771970886,100,0.01,68.80555555555556,61925,22,-111.50044537473848,1.7831323947811493,0.01
0.32152286,-0.34906918,-0.22489448,0.01,10,-0.8513675,1000,0.26567653,0.01,0.27502337,0.001,-156.63193916753596,-156.63193916753596,-1.071136,-157.96658339413335,100,0.01,68.7,68700,22,-111.50044537473848,1.840670738885133,0.01
0.32178855,-0.34901497,-0.22485068,0.01,11,-0.8513534,1100,0.20334676,0.01,0.23620223,0.001,-158.33665613010885,-158.33665613010885,-1.1040211,-158.00022637013112,100,0.01,68.68181818181819,75550,22,-111.50044537473848,2.012235901045714,0.01
0.3215852,-0.34908947,-0.2249445,0.01,12,-0.851344,1200,0.103706285,0.01,0.12558305,0.001,-157.25038735529415,-157.25038735529415,-1.0879455,-157.93773978556138,100,0.01,68.6275,82353,22,-111.50044537473848,1.9623489273467476,0.01
0.32152012,-0.3491932,-0.22492684,0.01,13,-0.8513656,1300,0.19650808,0.01,0.26123118,0.001,-156.9847311323245,-156.9847311323245,-1.1035281,-157.86443142762008,100,0.01,68.62384615384616,89211,22,-111.50044537473848,1.3827661702459022,0.01
0.32144368,-0.3491447,-0.22507323,0.01,14,-0.8511691,1400,0.28198692,0.01,0.44028836,0.001,-158.77914463455716,-158.77914463455716,-1.1167312,-157.92976808525844,100,0.01,68.70071428571428,96181,22,-111.50044537473848,1.2418061502318294,0.01
0.3211617,-0.34939095,-0.22524019,0.01,15,-0.8513298,1500,0.097394824,0.01,0.13814433,0.001,-158.6416643382227,-158.6416643382227,-1.0922642,-157.97722783545606,100,0.01,68.61333333333333,102920,22,-111.50044537473848,1.4617614169649524,0.01
0.3210924,-0.34932622,-0.22526485,0.01,16,-0.8512324,1600,0.20191531,0.01,0.33433735,0.001,-159.46167410258434,-159.46167410258434,-1.1220093,-158.07000572715157,100,0.01,68.695,109912,22,-111.50044537473848,1.8293717867575918,0.01
0.32096937,-0.34951398,-0.22540843,0.01,17,-0.85103047,1700,0.2954838,0.01,0.39294824,0.001,-160.17587283692848,-160.17587283692848,-1.0660915,-158.1938802630208,100,0.01,68.75823529411765,116889,22,-110.59333065387007,2.1680420026226854,0.01
0.32091075,-0.3496082,-0.22511294,0.01,18,-0.8507964,1800,0.25452742,0.01,0.26276657,0.001,-157.59546349470517,-157.59546349470517,-1.0731144,-158.16063488700325,100,0.01,68.66444444444444,123596,22,-110.59333065387007,1.4436504435059567,0.01
0.3209599,-0.34935367,-0.22508772,0.01,19,-0.8508312,1900,0.23265994,0.01,0.26212925,0.001,-159.90717282267556,-159.90717282267556,-1.0862191,-158.2525579362492,100,0.01,68.70105263157895,130532,22,-110.59333065387007,1.4830243820923843,0.01
0.32089588,-0.34927434,-0.22532038,0.01,20,-0.8507665,2000,0.2684283,0.01,0.3212259,0.001,-160.12430075700112,-160.12430075700112,-1.1013737,-158.34614507728676,100,0.01,68.8125,137625,22,-110.59333065387007,1.964238222177488,0.01
