VarJ,NatGradInftyNorm,NatGrad2Norm,ReturnMax,ReturnMean,MinEpLen,InvPendulum_std2_higher,ActionIn1,InvPendulum_mu1_higher,InvPendulum_mu3_higher,StepSize,AvgEpLen,NumTrajectories,InvPendulum_std1_higher,TimestepsSoFar,InvPendulum_std0_higher,InvPendulum_mu2_higher,J,Iteration,AvgRet,InvPendulum_std3_higher,BatchSize,InvPendulum_mu0_higher
1.0408983712449154,0.17569646,0.24329627,-77.7544703094587,-102.67780578820984,15,0.01,-1.4239453,-0.3516885,-0.5202909,0.0001,65.57,100,0.01,6557,0.01,0.21010771,-102.67780578820984,1,-102.67780578820984,0.01,100,-0.74931115
1.6020702808812075,0.16637369,0.18130842,-60.58710412085776,-101.49329709839989,15,0.01,-1.3829205,-0.3517061,-0.5202938,0.0001,66.185,200,0.01,13237,0.01,0.2101041,-100.30878840858993,2,-100.30878840858993,0.01,100,-0.74929494
1.7875304590330778,0.14051192,0.16363484,-56.37243613883168,-101.06283831773068,15,0.01,-1.4218135,-0.35171288,-0.52027714,0.0001,67.06,300,0.01,20118,0.01,0.2101019,-100.20192075639227,3,-100.20192075639227,0.01,100,-0.74929404
1.468792566501651,0.11062008,0.124733135,-56.37243613883168,-100.99362150574721,15,0.01,-1.4332194,-0.3517154,-0.52028,0.0001,66.845,400,0.01,26738,0.01,0.21010937,-100.78597106979676,4,-100.78597106979676,0.01,100,-0.7493081
1.2588357715859075,0.07666043,0.10622292,-56.37243613883168,-101.4483189451781,15,0.01,-1.3852884,-0.35171258,-0.5202911,0.0001,66.426,500,0.01,33213,0.01,0.21011038,-103.26710870290175,5,-103.26710870290175,0.01,100,-0.74930316
1.3047290051400398,0.15227571,0.1943773,-56.37243613883168,-101.38864592554839,15,0.01,-1.4285336,-0.35171467,-0.5202967,0.0001,66.285,600,0.01,39771,0.01,0.21011804,-101.09028082739971,6,-101.09028082739971,0.01,100,-0.7492989
1.375307368389936,0.18184239,0.21568283,-56.37243613883168,-101.38656797811069,15,0.01,-1.4078269,-0.35169944,-0.52028936,0.0001,66.14857142857143,700,0.01,46304,0.01,0.21011037,-101.37410029348453,7,-101.37410029348453,0.01,100,-0.74929315
1.50306214315004,0.22406839,0.30978397,-56.37243613883168,-101.40295679051243,15,0.01,-1.4367762,-0.3517057,-0.52030754,0.0001,66.15875,800,0.01,52927,0.01,0.21011189,-101.51767847732464,8,-101.51767847732464,0.01,100,-0.7492835
1.2191897292653697,0.29125816,0.33021644,-56.37243613883168,-101.43435002900874,15,0.01,-1.4484695,-0.3516833,-0.5203238,0.0001,66.23222222222222,900,0.01,59609,0.01,0.21010296,-101.68549593697928,9,-101.68549593697928,0.01,100,-0.7492729
1.6698284210416725,0.17312187,0.1941283,-56.37243613883168,-101.36435439187245,15,0.01,-1.4405451,-0.3516777,-0.52029467,0.0001,66.488,1000,0.01,66488,0.01,0.21008933,-100.73439365764575,10,-100.73439365764575,0.01,100,-0.74927783
1.427776143840346,0.08318244,0.1193264,-56.37243613883168,-101.21404177599132,15,0.01,-1.4257481,-0.35168603,-0.5202934,0.0001,66.77,1100,0.01,73447,0.01,0.21008693,-99.71091561717998,11,-99.71091561717998,0.01,100,-0.74926054
1.4321738040340801,0.08242492,0.13151535,-56.37243613883168,-101.09384761899994,15,0.01,-1.3888085,-0.35168013,-0.52028507,0.0001,66.625,1200,0.01,79950,0.01,0.210089,-99.77171189209488,12,-99.77171189209488,0.01,100,-0.7492664
1.089431774670635,0.17932628,0.18348208,-56.37243613883168,-101.26301250822323,15,0.01,-1.4140222,-0.35168839,-0.5202825,0.0001,66.43384615384615,1300,0.01,86364,0.01,0.21008149,-103.29299117890247,13,-103.29299117890247,0.01,100,-0.7492599
1.3898002713944857,0.1712513,0.1942224,-56.37243613883168,-101.33932966659209,15,0.01,-1.4251533,-0.3516861,-0.52030045,0.0001,66.50928571428571,1400,0.01,93113,0.01,0.21007855,-102.33145272538752,14,-102.33145272538752,0.01,100,-0.74926096
