BatchSize,NatGradInftyNorm,InvPendulum_mu3_higher,InvPendulum_mu2_higher,ActionIn1,ReturnMean,StepSize,NatGrad2Norm,J,AvgRet,InvPendulum_mu1_higher,TimestepsSoFar,MinEpLen,InvPendulum_std1_higher,InvPendulum_mu0_higher,ReturnMax,InvPendulum_std2_higher,InvPendulum_std3_higher,NumTrajectories,Iteration,AvgEpLen,InvPendulum_std0_higher,VarJ
100,0.23142505,0.32162514,-0.3480244,-1.1124316,-159.65418683822202,0.1,0.28190935,-159.65418683822202,-159.65418683822202,-0.85142165,7033,22,0.01,-0.22476089,-111.54714944845783,0.01,0.01,100,1,70.33,0.01,1.7814225106320816
100,0.15205622,0.31352627,-0.3711669,-1.156141,-157.55897801744678,0.1,0.21285136,-155.46376919667154,-155.46376919667154,-0.8609629,13679,22,0.01,-0.23488638,-111.54714944845783,0.01,0.01,200,2,68.395,0.01,0.8427745322015572
100,0.24755396,0.30921745,-0.3844552,-1.1901319,-156.23813565070625,0.1,0.27419367,-153.59645091722516,-153.59645091722516,-0.87616855,20067,22,0.01,-0.2400537,-111.54714944845783,0.01,0.01,300,3,66.89,0.01,1.008443588197664
100,0.24426724,0.3054336,-0.4092106,-1.2085202,-154.24614116674582,0.1,0.40608677,-148.27015771486452,-148.27015771486452,-0.8802727,25958,22,0.01,-0.22966954,-111.54714944845783,0.01,0.01,400,4,64.895,0.01,0.9550992975231257
100,0.36256525,0.32803544,-0.43363732,-1.2106481,-152.545274386187,0.1,0.46104693,-145.7418072639517,-145.7418072639517,-0.9007357,31670,19,0.01,-0.21858698,-109.4863601132001,0.01,0.01,500,5,63.34,0.01,1.0764754896641586
100,0.37571403,0.30050316,-0.4294217,-1.2137085,-151.1824495581628,0.1,0.4455294,-144.3683254180417,-144.3683254180417,-0.8644791,37339,19,0.01,-0.22452912,-109.4863601132001,0.01,0.01,600,6,62.23166666666667,0.01,0.9130500302576614
100,0.2583336,0.3104799,-0.42743403,-1.144521,-149.97528526252847,0.1,0.39669734,-142.73229948872267,-142.73229948872267,-0.8269077,42550,18,0.01,-0.20285268,-109.2779647166889,0.01,0.01,700,7,60.785714285714285,0.01,1.0322891457139058
100,0.31318063,0.32645205,-0.43365055,-1.1642566,-149.65928683027,0.1,0.40038738,-147.44729780446062,-147.44729780446062,-0.85274106,48345,18,0.01,-0.22760285,-109.2779647166889,0.01,0.01,800,8,60.43125,0.01,0.6088272863503046
100,0.16154401,0.3018459,-0.43716007,-1.223969,-149.37681057233095,0.1,0.19349313,-147.11700050881868,-147.11700050881868,-0.8506197,54191,18,0.01,-0.2589209,-109.2779647166889,0.01,0.01,900,9,60.21222222222222,0.01,0.7651412072230411
100,0.2566105,0.31060764,-0.4429881,-1.1914519,-149.05557066112553,0.1,0.26548648,-146.16441146027654,-146.16441146027654,-0.84897727,59914,18,0.01,-0.2427665,-109.2779647166889,0.01,0.01,1000,10,59.914,0.01,0.8889639110744082
100,0.20006107,0.3362687,-0.43925762,-1.1875622,-148.720455868811,0.1,0.22245842,-145.36930794566592,-145.36930794566592,-0.8461713,65568,18,0.01,-0.23781158,-109.2779647166889,0.01,0.01,1100,11,59.60727272727273,0.01,1.0579948708618199
100,0.073927656,0.31626257,-0.44440478,-1.2024431,-148.44323184897158,0.1,0.10907814,-145.3937676307377,-145.3937676307377,-0.84429735,71196,18,0.01,-0.24585076,-109.2779647166889,0.01,0.01,1200,12,59.33,0.01,0.5322340437366178
100,0.14864847,0.3088698,-0.45165488,-1.2368771,-148.11895157114648,0.1,0.21313976,-144.22758823724524,-144.22758823724524,-0.8475285,76776,18,0.01,-0.2470009,-109.2779647166889,0.01,0.01,1300,13,59.058461538461536,0.01,0.8025141093753492
100,0.26828706,0.30208614,-0.44701177,-1.2502522,-147.74273857783805,0.1,0.3894217,-142.85196966482866,-142.85196966482866,-0.83266366,82311,18,0.01,-0.25987512,-109.2779647166889,0.01,0.01,1400,14,58.793571428571425,0.01,1.074104560294905
100,0.085327886,0.27525744,-0.46814066,-1.2990584,-147.40579597270312,0.1,0.124184325,-142.68859950081412,-142.68859950081412,-0.84377337,87740,18,0.01,-0.27493688,-109.2779647166889,0.01,0.01,1500,15,58.49333333333333,0.01,0.9030672465483955
100,0.1669848,0.27101192,-0.46083775,-1.320452,-147.20408779255595,0.1,0.27689907,-144.1784650903485,-144.1784650903485,-0.8352406,93341,18,0.01,-0.2781074,-109.2779647166889,0.01,0.01,1600,16,58.338125,0.01,0.45082412395008975
100,0.24344483,0.25854763,-0.47322977,-1.2858177,-146.942865328086,0.1,0.32003963,-142.76330589656655,-142.76330589656655,-0.8185421,98887,18,0.01,-0.29148543,-109.2779647166889,0.01,0.01,1700,17,58.16882352941177,0.01,0.39047552796044344
100,0.23538347,0.25444037,-0.47965968,-1.2600869,-146.47224227697774,0.1,0.24700576,-138.47165040813715,-138.47165040813715,-0.7992189,103785,18,0.01,-0.26714095,-109.2779647166889,0.01,0.01,1800,18,57.65833333333333,0.01,0.6952241856399434
100,0.22142006,0.25942174,-0.45612133,-1.2442093,-146.23998402273386,0.1,0.24574113,-142.05933544634462,-142.05933544634462,-0.8027753,109174,18,0.01,-0.2628279,-109.2779647166889,0.01,0.01,1900,19,57.46,0.01,0.6841676266050436
100,0.20693293,0.25325587,-0.44804746,-1.2762182,-146.11706353879035,0.1,0.2591025,-143.78157434386358,-143.78157434386358,-0.7995483,114815,18,0.01,-0.2849699,-109.2779647166889,0.01,0.01,2000,20,57.4075,0.01,0.7181395548689525
100,0.10888809,0.24741219,-0.46874076,-1.2817589,-145.9098176839527,0.1,0.15870006,-141.764900587199,-141.764900587199,-0.8124729,120130,18,0.01,-0.27849412,-109.2779647166889,0.01,0.01,2100,21,57.2047619047619,0.01,0.6274318194555178
100,0.21909197,0.24752149,-0.45995197,-1.2742108,-145.8067893520159,0.1,0.2977756,-143.64319438134348,-143.64319438134348,-0.80158406,125687,18,0.01,-0.28597984,-109.2779647166889,0.01,0.01,2200,22,57.13045454545455,0.01,0.4352895725127827
100,0.19217059,0.2694307,-0.45425034,-1.251643,-145.72461212062453,0.1,0.2671971,-143.91671303001394,-143.91671303001394,-0.7855509,131220,18,0.01,-0.296802,-109.2779647166889,0.01,0.01,2300,23,57.052173913043475,0.01,0.8407525537057989
100,0.11887698,0.28864777,-0.45891905,-1.2123178,-145.60953748703378,0.1,0.14399911,-142.9628209144466,-142.9628209144466,-0.76805526,136696,18,0.01,-0.29270887,-109.2779647166889,0.01,0.01,2400,24,56.95666666666666,0.01,0.7063975612524507
100,0.3835973,0.2862367,-0.4617786,-1.2714814,-145.5416950068097,0.1,0.43724597,-143.91347548143258,-143.91347548143258,-0.7799429,142162,18,0.01,-0.29992342,-109.2779647166889,0.01,0.01,2500,25,56.8648,0.01,0.6149856076491889
100,0.093424805,0.27721483,-0.42341888,-1.2126387,-145.5801564084498,0.1,0.12764637,-146.54169144945115,-146.54169144945115,-0.7811367,147957,18,0.01,-0.28101435,-109.2779647166889,0.01,0.01,2600,26,56.90653846153846,0.01,0.891710517958549
100,0.2944014,0.2799431,-0.42269576,-1.1766504,-145.61718634589593,0.1,0.3383163,-146.5799647194963,-146.5799647194963,-0.77290946,153754,18,0.01,-0.27167186,-109.2779647166889,0.01,0.01,2700,27,56.94592592592593,0.01,0.8910975643794388
100,0.10871758,0.30938324,-0.42741278,-1.2101593,-145.66241478341578,0.1,0.15726824,-146.88358259645102,-146.88358259645102,-0.7799379,159577,18,0.01,-0.28603178,-109.2779647166889,0.01,0.01,2800,28,56.99178571428571,0.01,1.1529500755184856
100,0.257151,0.30005562,-0.43066016,-1.1761209,-145.62714052523592,0.1,0.34280458,-144.63946129619987,-144.63946129619987,-0.7743176,165195,18,0.01,-0.27516,-109.2779647166889,0.01,0.01,2900,29,56.963793103448275,0.01,0.7863045403070452
