InvPendulum_std2_higher,NatGrad2Norm,AvgEpLen,InvPendulum_mu2_higher,InvPendulum_mu0_higher,Iteration,NumTrajectories,StepSize,ActionIn1,ReturnMax,MinEpLen,NatGradInftyNorm,InvPendulum_std3_higher,InvPendulum_std0_higher,J,InvPendulum_mu3_higher,VarJ,ReturnMean,TimestepsSoFar,AvgRet,BatchSize,InvPendulum_mu1_higher,InvPendulum_std1_higher
0.01,0.28190935,70.33,-0.3480244,-0.22476089,1,100,0.0001,-1.1124316,-111.54714944845783,22,0.23142505,0.01,0.01,-159.65418683822202,0.32162514,1.7814225106320816,-159.65418683822202,7033,-159.65418683822202,100,-0.85142165,0.01
0.01,0.21986529,69.09,-0.34804755,-0.22477102,2,200,0.0001,-1.1052839,-111.54714944845783,22,0.14942047,0.01,0.01,-157.58643702031696,0.32161704,1.0109766138574166,-158.6203119292695,13818,-157.58643702031696,100,-0.8514312,0.01
0.01,0.32027176,69.79666666666667,-0.3480608,-0.22477928,3,300,0.0001,-1.1013451,-111.54714944845783,22,0.2873183,0.01,0.01,-161.11795333828005,0.32161295,1.7589564818206327,-159.45285906560633,20939,-161.11795333828005,100,-0.85144615,0.01
0.01,0.42564723,69.93,-0.34808952,-0.22476643,4,400,0.0001,-1.0974982,-111.54714944845783,22,0.26994818,0.01,0.01,-159.22826042039853,0.3216078,1.7742645612183652,-159.39670940430437,27972,-159.22826042039853,100,-0.8514491,0.01
0.01,0.47718105,69.626,-0.34811652,-0.22475593,5,500,0.0001,-1.0884354,-111.54714944845783,22,0.36256674,0.01,0.01,-158.89700859984612,0.3216307,1.8329707704782388,-159.2967692434127,34813,-158.89700859984612,100,-0.85147023,0.01
0.01,0.49995053,69.415,-0.34811807,-0.22476448,6,600,0.0001,-1.0984974,-111.54714944845783,22,0.4288789,0.01,0.01,-158.0471521723653,0.3216009,1.4276366219433931,-159.0884997315715,41649,-158.0471521723653,100,-0.851434,0.01
0.01,0.43513924,69.1,-0.3481166,-0.22474043,7,700,0.0001,-1.1004448,-111.54714944845783,22,0.2775785,0.01,0.01,-156.44877323956055,0.32160985,1.5602125089950614,-158.7113959469985,48370,-156.44877323956055,100,-0.8513911,0.01
0.01,0.42917222,68.86375,-0.3481225,-0.22476768,8,800,0.0001,-1.0793946,-111.54714944845783,22,0.33113772,0.01,0.01,-157.33342279590855,0.32162842,1.8542289203827327,-158.53914930311225,55091,-157.33342279590855,100,-0.85141885,0.01
0.01,0.21835583,68.74,-0.34812948,-0.2248008,9,900,0.0001,-1.0818553,-111.54714944845783,22,0.18141572,0.01,0.01,-155.6946235623033,0.3216026,1.489531249669007,-158.2230908874668,61866,-155.6946235623033,100,-0.85141337,0.01
0.01,0.27221856,68.584,-0.34813705,-0.22478266,10,1000,0.0001,-1.0700476,-111.54714944845783,22,0.26148102,0.01,0.01,-157.63162589506433,0.32161206,2.0261688430249394,-158.16394438822655,68584,-157.63162589506433,100,-0.85141224,0.01
0.01,0.21406534,68.47454545454545,-0.34813505,-0.22477537,11,1100,0.0001,-1.1032754,-110.35366302370319,21,0.1881693,0.01,0.01,-157.44847481757063,0.3216382,1.609010734283281,-158.0989016999851,75322,-157.44847481757063,100,-0.8514128,0.01
0.01,0.14330797,68.57333333333334,-0.34813952,-0.2247845,12,1200,0.0001,-1.0868692,-110.35366302370319,21,0.12219258,0.01,0.01,-159.90452232102746,0.3216194,2.1933278789458472,-158.24937008507197,82288,-159.90452232102746,100,-0.8514118,0.01
0.01,0.21857771,68.47615384615385,-0.34815174,-0.2247827,13,1300,0.0001,-1.1022992,-110.35366302370319,21,0.15678853,0.01,0.01,-156.16202102703767,0.3216129,1.9346707818373599,-158.0888047729155,89019,-156.16202102703767,100,-0.8514151,0.01
0.01,0.453957,68.505,-0.34814548,-0.22479525,14,1400,0.0001,-1.115521,-110.35366302370319,21,0.29404062,0.01,0.01,-159.3247737940883,0.32160696,1.4149909481202891,-158.17708827442786,95907,-159.3247737940883,100,-0.8513994,0.01
0.01,0.1386823,68.62133333333334,-0.34817275,-0.22481203,15,1500,0.0001,-1.0902847,-110.35366302370319,21,0.10430931,0.01,0.01,-160.01613188308764,0.32157755,1.7356254070225636,-158.29969118167182,102932,-160.01613188308764,100,-0.8514125,0.01
0.01,0.31455928,68.61875,-0.34816566,-0.22481568,16,1600,0.0001,-1.1200883,-110.35366302370319,21,0.19991794,0.01,0.01,-159.01168220138786,0.32157308,1.4961858272029174,-158.34419062040408,109790,-159.01168220138786,100,-0.85140204,0.01
0.01,0.3678415,68.64176470588235,-0.3481806,-0.22483052,17,1700,0.0001,-1.0639403,-110.35366302370319,21,0.27444756,0.01,0.01,-158.60066129137084,0.32156095,1.8538764320555174,-158.35927713046092,116691,-158.60066129137084,100,-0.8513821,0.01
0.01,0.2579171,68.47055555555555,-0.34818953,-0.22480308,18,1800,0.0001,-1.0713048,-110.35366302370319,21,0.25144273,0.01,0.01,-155.4825008869872,0.3215554,1.429970889153639,-158.19945622804573,123247,-155.4825008869872,100,-0.85135996,0.01
0.01,0.27727544,68.50842105263158,-0.34816438,-0.22480112,19,1900,0.0001,-1.0846751,-110.35366302370319,21,0.24109209,0.01,0.01,-159.4940856765707,0.32155985,1.3358836442196602,-158.26759462007337,130166,-159.4940856765707,100,-0.851363,0.01
0.01,0.3016352,68.6105,-0.34815556,-0.22482523,20,2000,0.0001,-1.0996952,-110.35366302370319,21,0.2475836,0.01,0.01,-159.60830104098048,0.32155114,2.0082984082347504,-158.33462994111872,137221,-159.60830104098048,100,-0.8513572,0.01
0.01,0.18053564,68.63142857142857,-0.34818032,-0.22481667,21,2100,0.0001,-1.0722849,-110.35366302370319,21,0.12042269,0.01,0.01,-159.80803374988002,0.32154697,1.5209445230650627,-158.4047920272502,144126,-159.80803374988002,100,-0.8513716,0.01
0.01,0.30961362,68.72,-0.34817022,-0.22482556,22,2200,0.0001,-1.0770247,-110.35366302370319,21,0.23357373,0.01,0.01,-160.78877454655935,0.32154703,2.1256618362523985,-158.51315486903698,151184,-160.78877454655935,100,-0.85135955,0.01
0.01,0.29308933,68.71521739130435,-0.3481656,-0.22483425,23,2300,0.0001,-1.0872414,-110.35366302370319,21,0.20021372,0.01,0.01,-158.45123737257853,0.3215704,1.9176247844812326,-158.5104628039736,158045,-158.45123737257853,100,-0.8513418,0.01
0.01,0.18526766,68.67583333333333,-0.3481719,-0.22482714,24,2400,0.0001,-1.0840136,-110.35366302370319,21,0.15302971,0.01,0.01,-158.70558377455325,0.3215896,1.8592228612822463,-158.51859284441437,164822,-158.70558377455325,100,-0.85132176,0.01
0.01,0.4901795,68.6312,-0.34817663,-0.22483625,25,2500,0.0001,-1.1188352,-110.35366302370319,21,0.4259873,0.01,0.01,-157.57511383155085,0.3215877,1.872599857030903,-158.48085368389985,171578,-157.57511383155085,100,-0.8513371,0.01
0.01,0.10728497,68.58,-0.34813404,-0.22481446,26,2600,0.0001,-1.1069922,-110.35366302370319,21,0.08555118,0.01,0.01,-156.74065423986977,0.32157707,1.1414709259097315,-158.41392293605256,178308,-156.74065423986977,100,-0.8513371,0.01
0.01,0.39655232,68.50740740740741,-0.34813553,-0.2248059,27,2700,0.0001,-1.0920091,-110.35366302370319,21,0.3469175,0.01,0.01,-156.33788910847255,0.32158056,2.084819493755171,-158.33703279429034,184970,-156.33788910847255,100,-0.85133183,0.01
0.01,0.19286244,68.57607142857142,-0.34814453,-0.22482152,28,2800,0.0001,-1.1288493,-110.35366302370319,21,0.14453368,0.01,0.01,-160.1618800512327,0.32161525,1.8765580634627468,-158.40220591060972,192013,-160.1618800512327,100,-0.85133845,0.01
0.01,0.33785307,68.6051724137931,-0.34814888,-0.22480707,29,2900,0.0001,-1.0987227,-110.35366302370319,21,0.23542851,0.01,0.01,-158.72742721443615,0.32160464,1.4633543794519104,-158.41342043832785,198955,-158.72742721443615,100,-0.85133284,0.01
0.01,0.38448095,68.57266666666666,-0.34812573,-0.22480835,30,3000,0.0001,-1.0760423,-110.35366302370319,21,0.26272795,0.01,0.01,-157.01774278471973,0.3215811,1.3503588657089471,-158.36689784987425,205718,-157.01774278471973,100,-0.8513399,0.01
0.01,0.18981802,68.51225806451613,-0.34810063,-0.2248107,31,3100,0.0001,-1.1136152,-110.35366302370319,21,0.13774367,0.01,0.01,-156.574034353844,0.3215548,1.7067599374257718,-158.30906354355068,212388,-156.574034353844,100,-0.8513522,0.01
0.01,0.49440473,68.43625,-0.34810755,-0.22482,32,3200,0.0001,-1.1161716,-110.35366302370319,21,0.38964167,0.01,0.01,-155.31669425100208,0.32154104,1.383020347687192,-158.21555200315856,218996,-155.31669425100208,100,-0.85134614,0.01
0.01,0.19859895,68.4369696969697,-0.3481142,-0.22481866,33,3300,0.0001,-1.133033,-110.35366302370319,21,0.18027192,0.01,0.01,-158.44019663923515,0.32158,1.4259704961627744,-158.222359416373,225842,-158.44019663923515,100,-0.85131645,0.01
0.01,0.3255858,68.41382352941176,-0.34810734,-0.22483669,34,3400,0.0001,-1.1050618,-110.35366302370319,21,0.22730881,0.01,0.01,-157.6203833397807,0.32157603,1.9087475093166184,-158.2046542376497,232607,-157.6203833397807,100,-0.851319,0.01
0.01,0.2826527,68.44085714285714,-0.34809378,-0.2248259,35,3500,0.0001,-1.1259049,-110.35366302370319,21,0.2616741,0.01,0.01,-158.29860794570638,0.32159877,1.705145133861005,-158.20733862930845,239543,-158.29860794570638,100,-0.8513346,0.01
0.01,0.4177595,68.495,-0.34809783,-0.22483388,36,3600,0.0001,-1.1143657,-110.35366302370319,21,0.3141486,0.01,0.01,-159.30056609387805,0.32160464,1.93632912529129,-158.2377060588798,246582,-159.30056609387805,100,-0.8513084,0.01
0.01,0.3345236,68.54891891891891,-0.3481252,-0.22483289,37,3700,0.0001,-1.1001284,-110.35366302370319,21,0.2523155,0.01,0.01,-159.41334334601984,0.32163605,2.0513966053871315,-158.26948003961334,253631,-159.41334334601984,100,-0.8513054,0.01
0.01,0.44412374,68.50736842105263,-0.34813613,-0.22485104,38,3800,0.0001,-1.0598407,-110.35366302370319,21,0.3959683,0.01,0.01,-156.64710214127825,0.3216613,1.7941491704386061,-158.226785884394,260328,-156.64710214127825,100,-0.85129964,0.01
0.01,0.25564468,68.52589743589743,-0.34811953,-0.22485982,39,3900,0.0001,-1.1109614,-110.35366302370319,21,0.21223694,0.01,0.01,-158.0968067569176,0.3216685,1.6865678785282447,-158.22345308625358,267251,-158.0968067569176,100,-0.8513392,0.01
0.01,0.097616136,68.5445,-0.3481312,-0.22486244,40,4000,0.0001,-1.1003717,-110.35366302370319,21,0.07244051,0.01,0.01,-159.8102062369198,0.3216608,1.9599040835288057,-158.26312191502024,274178,-159.8102062369198,100,-0.85136044,0.01
0.01,0.2613765,68.56146341463415,-0.34813845,-0.22486581,41,4100,0.0001,-1.0740259,-110.35366302370319,21,0.19548851,0.01,0.01,-158.26058662428213,0.32165807,1.6937192837756512,-158.26306007866077,281102,-158.26058662428213,100,-0.8513653,0.01
0.01,0.4112204,68.6497619047619,-0.3481189,-0.22488102,42,4200,0.0001,-1.0831629,-110.35366302370319,21,0.3700321,0.01,0.01,-163.4488043324681,0.32165846,1.8776615769910006,-158.38653017994187,288329,-163.4488043324681,100,-0.851357,0.01
0.01,0.22107181,68.61744186046512,-0.34815592,-0.2248962,43,4300,0.0001,-1.0634054,-110.35366302370319,21,0.15969345,0.01,0.01,-156.72733397463816,0.3216518,1.9010357359057652,-158.347944221679,295055,-156.72733397463816,100,-0.8513501,0.01
0.01,0.24962088,68.62272727272727,-0.34814462,-0.22489055,44,4400,0.0001,-1.0945814,-110.35366302370319,21,0.23826006,0.01,0.01,-158.80581462310985,0.3216604,2.113632358419699,-158.35835036716608,301940,-158.80581462310985,100,-0.85133415,0.01
