TimestepsSoFar,InvPendulum_mu2_higher,InvPendulum_std3_higher,ReturnMax,NumTrajectories,InvPendulum_std1_higher,InvPendulum_std2_higher,ReturnMean,MinEpLen,Iteration,NatGrad2Norm,StepSize,BatchSize,ActionIn1,InvPendulum_std0_higher,InvPendulum_mu3_higher,AvgEpLen,AvgRet,NatGradInftyNorm,InvPendulum_mu1_higher,InvPendulum_mu0_higher,J,VarJ
6557,0.21010771,0.01,-77.7544703094587,100,0.01,0.01,-102.67780578820984,15,1,0.24329627,0.01,100,-1.4239453,0.01,-0.5202909,65.57,-102.67780578820984,0.17569646,-0.3516885,-0.74931115,-102.67780578820984,1.0408983712449154
13488,0.20974487,0.01,-49.4045836483977,200,0.01,0.01,-101.27236328163046,15,2,0.2065534,0.01,100,-1.3836999,0.01,-0.5205766,67.44,-99.86692077505106,0.17755122,-0.35344547,-0.74769276,-99.86692077505106,1.403288126126167
20402,0.20964141,0.01,-49.4045836483977,300,0.01,0.01,-100.99086499714905,15,3,0.17618734,0.01,100,-1.4216745,0.01,-0.5188011,68.00666666666666,-100.42786842818623,0.14214915,-0.3544606,-0.74742293,-100.42786842818623,1.595148376225146
26769,0.21048698,0.01,-49.4045836483977,400,0.01,0.01,-101.32107571789155,15,4,0.1548758,0.01,100,-1.434471,0.01,-0.51933044,66.9225,-102.31170788011902,0.10491983,-0.35475785,-0.74884444,-102.31170788011902,1.5608957818062215
33366,0.21102776,0.01,-49.4045836483977,500,0.01,0.01,-101.43446442071287,15,5,0.100210056,0.01,100,-1.3856378,0.01,-0.52037966,66.732,-101.8880192319982,0.0677007,-0.3541364,-0.74805754,-101.8880192319982,1.5960625920052576
39968,0.21170476,0.01,-49.4045836483977,600,0.01,0.01,-101.71425491003357,15,6,0.20375477,0.01,100,-1.4283907,0.01,-0.5208913,66.61333333333333,-103.11320735663706,0.14829494,-0.35430944,-0.7475534,-103.11320735663706,1.1179221980104908
46208,0.21080253,0.01,-49.4045836483977,700,0.01,0.01,-101.63439499736651,15,7,0.21678579,0.01,100,-1.4056168,0.01,-0.52017397,66.01142857142857,-101.15523552136423,0.15867548,-0.35282648,-0.7467636,-101.15523552136423,1.3204121487171678
52266,0.21082292,0.01,-49.4045836483977,800,0.01,0.01,-101.80813460235966,15,8,0.32347745,0.01,100,-1.4356667,0.01,-0.5217607,65.3325,-103.02431183731166,0.20263307,-0.3536198,-0.7455178,-103.02431183731166,0.9853755386151534
58445,0.20995341,0.01,-49.4045836483977,900,0.01,0.01,-101.87849280611385,15,9,0.35522714,0.01,100,-1.4466693,0.01,-0.52364767,64.93888888888888,-102.44135843614735,0.31187052,-0.3515935,-0.7440891,-102.44135843614735,1.1349373691456055
65140,0.20842662,0.01,-49.4045836483977,1000,0.01,0.01,-101.73923247281435,15,10,0.19605555,0.01,100,-1.4369671,0.01,-0.520529,65.14,-100.48588947311887,0.18219341,-0.35097247,-0.74450815,-100.48588947311887,1.5528604533876156
71432,0.20816208,0.01,-49.4045836483977,1100,0.01,0.01,-101.63378801571193,15,11,0.15423217,0.01,100,-1.4212296,0.01,-0.5204667,64.93818181818182,-100.57934344468782,0.11187773,-0.35164365,-0.7426862,-100.57934344468782,1.4235770050109653
77980,0.20850593,0.01,-49.4045836483977,1200,0.01,0.01,-101.56481671719172,15,12,0.1224306,0.01,100,-1.3828766,0.01,-0.5193479,64.98333333333333,-100.80613243346926,0.1017773,-0.35095313,-0.74341565,-100.80613243346926,1.323585487444356
