MinEpLen,AvgEpLen,NatGrad2Norm,NumTrajectories,InvPendulum_mu1_higher,InvPendulum_mu0_higher,VarJ,StepSize,InvPendulum_std0_higher,NatGradInftyNorm,J,TimestepsSoFar,InvPendulum_std2_higher,InvPendulum_std3_higher,ReturnMean,InvPendulum_mu3_higher,ReturnMax,BatchSize,InvPendulum_std1_higher,ActionIn1,AvgRet,Iteration,InvPendulum_mu2_higher
10,27.894166666666667,0.14273164,1200,-0.8286762,0.9679831,6.850973269554744,2.0,0.01,0.137331,-132.88587391259068,33473,0.01,0.01,-123.64136337678308,1.2331805,-103.83434285782565,100,0.01,1.8574784,-132.88587391259068,12,0.47418594
10,28.47153846153846,0.25363922,1300,-0.8586929,0.9321399,5.823864499168369,2.0,0.01,0.15992033,-131.1662677205758,37013,0.01,0.01,-124.22020217245944,0.9585185,-103.83434285782565,100,0.01,1.5769595,-131.1662677205758,13,0.5363498
10,28.292857142857144,0.14301561,1400,-0.5388522,1.1009067,2.039137548311589,2.0,0.01,0.10807557,-122.3566014426352,39610,0.01,0.01,-124.08708783461483,1.1780684,-103.83434285782565,100,0.01,1.9959838,-122.3566014426352,14,0.25644097
10,28.412666666666667,0.27273765,1500,-0.5394423,1.0275364,3.8656395540399466,2.0,0.01,0.17896062,-127.09029251335689,42619,0.01,0.01,-124.2873014798643,1.3504313,-103.83434285782565,100,0.01,1.8924525,-127.09029251335689,15,0.040289834
10,28.30375,0.2710878,1600,-0.48804337,1.3854576,2.3018907445185834,2.0,0.01,0.26067078,-123.07801459549759,45286,0.01,0.01,-124.2117210495914,1.6594348,-103.83434285782565,100,0.01,2.3345454,-123.07801459549759,16,-0.22675087
10,28.271176470588234,0.22663027,1700,-1.0093849,1.3493207,2.9203549393425807,2.0,0.01,0.13655815,-124.00621551028301,48061,0.01,0.01,-124.19963248845559,1.6229945,-103.83434285782565,100,0.01,1.5926948,-124.00621551028301,17,-0.36647767
10,27.904444444444444,0.28959963,1800,-0.8182342,1.545275,0.8137085936725732,2.0,0.01,0.23588103,-116.88823374594962,50228,0.01,0.01,-123.7934436694275,1.3498783,-103.83434285782565,100,0.01,1.4760287,-116.88823374594962,18,-0.60294324
10,27.570526315789472,0.19074297,1900,-0.34647214,1.5715127,0.9740411153210402,2.0,0.01,0.1706408,-117.37093808701253,52384,0.01,0.01,-123.4554170598267,1.2384586,-103.83434285782565,100,0.01,2.159699,-117.37093808701253,19,-0.28701672
10,27.434,0.11462881,2000,-0.68775374,1.6242762,1.4860360996064952,2.0,0.01,0.062297687,-121.20003114892498,54868,0.01,0.01,-123.34264776428162,1.3217922,-103.83434285782565,100,0.01,2.0869498,-121.20003114892498,20,-0.1479846
10,27.27047619047619,0.37257582,2100,-0.56683445,1.7409694,1.6675659117932307,2.0,0.01,0.26391447,-120.21329898665837,57268,0.01,0.01,-123.19363115582337,1.4463876,-103.83434285782565,100,0.01,2.3669178,-120.21329898665837,21,-0.24177289
10,26.966363636363635,0.41620484,2200,-0.46542525,2.2562523,0.708620148549669,2.0,0.01,0.40471536,-115.90884830027835,59326,0.01,0.01,-122.86250466238951,0.9185587,-102.42068141546986,100,0.01,2.5203822,-115.90884830027835,22,-0.21266173
10,26.920434782608694,0.17044257,2300,-1.274856,2.252607,1.1401194277932598,2.0,0.01,0.1270196,-122.57300943528897,61917,0.01,0.01,-122.84991791338513,0.8439188,-102.42068141546986,100,0.01,1.769577,-122.57300943528897,23,-0.033375874
10,26.879583333333333,0.27240226,2400,-1.0971574,2.3806572,1.6106898143903066,2.0,0.01,0.18840365,-122.15567682801412,64511,0.01,0.01,-122.82099120149466,0.9046898,-102.42068141546986,100,0.01,2.435786,-122.15567682801412,24,0.22066332
10,26.7656,0.44853482,2500,-0.72035,2.0313556,1.0527605020517716,2.0,0.01,0.39593983,-120.33122981509528,66914,0.01,0.01,-122.7214007460387,1.0620847,-102.42068141546986,100,0.01,2.4784703,-120.33122981509528,25,0.13097829
10,26.556923076923077,0.2600642,2600,-0.6714537,2.4147022,0.6695931740054085,2.0,0.01,0.22656465,-116.30720150821006,69048,0.01,0.01,-122.47470077535299,1.2303554,-102.42068141546986,100,0.01,2.3066406,-116.30720150821006,26,-0.66090137
10,26.451851851851853,0.2048425,2700,-1.124583,2.6376767,1.2981297174489013,2.0,0.01,0.17034023,-119.07821978300787,71420,0.01,0.01,-122.34890518304391,1.3495404,-102.42068141546986,100,0.01,2.1833076,-119.07821978300787,27,-0.69674426
10,26.332857142857144,0.20633288,2800,-0.90245116,2.2969964,1.5918055579118982,2.0,0.01,0.14086148,-118.23142599683912,73732,0.01,0.01,-122.20185235496515,1.398576,-102.42068141546986,100,0.01,2.0480008,-118.23142599683912,28,-0.70236176
10,26.161379310344827,0.16618846,2900,-0.9313349,2.5436738,0.7014513118888924,2.0,0.01,0.13153687,-116.3485309643524,75868,0.01,0.01,-122.00001368632336,1.680299,-102.42068141546986,100,0.01,2.4202704,-116.3485309643524,29,-0.8733622
10,26.121666666666666,0.33242697,3000,-1.1944087,2.4423292,1.8418990858144817,2.0,0.01,0.3170028,-120.64365326446061,78365,0.01,0.01,-121.95480167226127,1.59835,-102.42068141546986,100,0.01,2.1435814,-120.64365326446061,30,-0.717541
10,26.070967741935483,0.30586812,3100,-1.0325562,2.4927084,1.301518107416567,2.0,0.01,0.22665608,-120.64108894356508,80820,0.01,0.01,-121.91242384230331,2.2323556,-102.42068141546986,100,0.01,3.0786078,-120.64108894356508,31,-0.6110827
10,26.1071875,0.11358799,3200,-1.3388724,2.9460206,2.8652172281150796,2.0,0.01,0.071402565,-123.59002547884339,83543,0.01,0.01,-121.9648488934452,2.247203,-102.42068141546986,100,0.01,3.5307345,-123.59002547884339,32,-0.33780771
10,26.028787878787877,0.25684384,3300,-1.2525281,3.0284731,1.532885305852723,2.0,0.01,0.20939605,-119.41262596512038,85895,0.01,0.01,-121.88750880470808,2.1169655,-102.42068141546986,100,0.01,3.4109416,-119.41262596512038,33,-0.48061284
10,25.96941176470588,0.18787786,3400,-1.3131144,3.4472651,1.665900425309647,2.0,0.01,0.15375033,-119.86923965038069,88296,0.01,0.01,-121.82814794722788,2.393449,-102.42068141546986,100,0.01,3.9543438,-119.86923965038069,34,-0.5721245
10,25.911142857142856,0.2717792,3500,-1.3170301,3.7547657,2.327481753479847,2.0,0.01,0.25733697,-119.57328451598713,90689,0.01,0.01,-121.76372327776383,2.3074312,-102.42068141546986,100,0.01,3.967279,-119.57328451598713,35,-0.7701682
10,25.773333333333333,0.13556005,3600,-0.8023561,3.5942113,0.9946468085407401,2.0,0.01,0.104472965,-116.22425001937454,92784,0.01,0.01,-121.60984902058638,2.3575256,-102.42068141546986,100,0.01,4.4497213,-116.22425001937454,36,-0.72242594
10,25.676216216216215,0.29924604,3700,-0.8505489,3.5318532,0.9818357136847509,2.0,0.01,0.21197818,-117.38574955938931,95002,0.01,0.01,-121.49568417028372,2.2037835,-102.42068141546986,100,0.01,3.9530225,-117.38574955938931,37,-0.93137187
10,25.512105263157896,0.2088328,3800,-0.7724985,3.9558096,0.5728324421381359,2.0,0.01,0.14306603,-113.52513931090128,96946,0.01,0.01,-121.28593298977367,2.0888507,-102.42068141546986,100,0.01,3.9611235,-113.52513931090128,38,-1.330311
10,25.384102564102562,0.17842416,3900,-0.6157628,3.7102573,0.5213525895321374,2.0,0.01,0.16720094,-114.93104778802655,98998,0.01,0.01,-121.12298721536989,2.3749828,-102.42068141546986,100,0.01,4.0469947,-114.93104778802655,39,-1.4181231
10,25.23375,0.110739365,4000,-0.6677075,3.7433574,0.4106656157728452,2.0,0.01,0.06783319,-114.36911263724943,100935,0.01,0.01,-120.95414035091689,2.7093847,-102.42068141546986,100,0.01,4.4931164,-114.36911263724943,40,-1.3098538
10,25.116341463414635,0.20747039,4100,-0.8033739,3.8681386,0.9296969477168372,2.0,0.01,0.14176884,-115.17667837045475,102977,0.01,0.01,-120.81322664407635,2.5892031,-102.42068141546986,100,0.01,4.276039,-115.17667837045475,41,-1.3350236
10,24.984285714285715,0.2924556,4200,-1.0563383,4.019597,0.5679917570059909,2.0,0.01,0.19831015,-114.73402386616667,104934,0.01,0.01,-120.66848372079278,2.5195508,-102.34021040991958,100,0.01,4.436512,-114.73402386616667,42,-1.051486
10,24.839302325581397,0.2481609,4300,-0.65971804,4.180321,0.2923646882867245,2.0,0.01,0.18731578,-113.15681755266554,106809,0.01,0.01,-120.49379380990611,2.3863587,-102.34021040991958,100,0.01,4.4439545,-113.15681755266554,43,-1.4273067
10,24.706818181818182,0.10994104,4400,-0.28508648,3.8631253,0.6008100167024256,2.0,0.01,0.08892443,-113.2002000733411,108710,0.01,0.01,-120.32803031589326,2.3304205,-102.34021040991958,100,0.01,4.4442406,-113.2002000733411,44,-1.47468
10,24.57177777777778,0.23575684,4500,-0.46293533,3.941066,0.2945223839554821,2.0,0.01,0.17114705,-112.81092033493017,110573,0.01,0.01,-120.1609834274274,2.227453,-102.34021040991958,100,0.01,4.220171,-112.81092033493017,45,-1.4810727
10,24.410434782608696,0.25832254,4600,-0.23299746,3.7392626,0.2393481792184082,2.0,0.01,0.206253,-111.32439706452122,112288,0.01,0.01,-119.96888372388598,1.8851589,-102.34021040991958,100,0.01,4.0086646,-111.32439706452122,46,-1.3735373
10,24.278297872340424,0.27009377,4700,-0.64550346,3.584113,0.2719787546635709,2.0,0.01,0.22475573,-112.63481664563083,114108,0.01,0.01,-119.81283974349756,2.1445098,-102.34021040991958,100,0.01,3.8126621,-112.63481664563083,47,-1.299872
10,24.1775,0.31388772,4800,-0.82385796,4.033624,0.4798995591196357,2.0,0.01,0.22721961,-113.4005184316613,116052,0.01,0.01,-119.67924971616763,2.1860354,-102.34021040991958,100,0.01,3.8872666,-113.4005184316613,48,-1.5369527
10,24.071224489795917,0.21304838,4900,-0.7161645,4.4880633,0.4299022197145589,2.0,0.01,0.14889845,-112.62080057347474,117949,0.01,0.01,-119.53519973366369,2.3820333,-102.34021040991958,100,0.01,4.272605,-112.62080057347474,49,-1.9078623
10,23.9862,0.2119721,5000,-0.89463997,4.2739897,0.7215440254375117,2.0,0.01,0.15678234,-113.90170175614648,119931,0.01,0.01,-119.42252977411337,2.2587671,-102.34021040991958,100,0.01,4.035788,-113.90170175614648,50,-1.6100655
