MinEpLen,AvgEpLen,NatGrad2Norm,NumTrajectories,InvPendulum_mu1_higher,InvPendulum_mu0_higher,VarJ,StepSize,InvPendulum_std0_higher,NatGradInftyNorm,J,TimestepsSoFar,InvPendulum_std2_higher,InvPendulum_std3_higher,ReturnMean,InvPendulum_mu3_higher,ReturnMax,BatchSize,InvPendulum_std1_higher,ActionIn1,AvgRet,Iteration,InvPendulum_mu2_higher
10,20.25,0.29234192,100,-0.4217885,0.8060292,0.30012582406537897,2.0,0.01,0.26007122,-112.85270437853737,2025,0.01,0.01,-112.85270437853737,-0.06532505,-105.1993111700676,100,0.01,0.7989546,-112.85270437853737,1,0.41005367
10,27.74,0.28710887,200,-0.5626245,0.7772924,4.224696625968598,2.0,0.01,0.20139746,-131.59024507944082,5548,0.01,0.01,-122.2214747289891,0.45481738,-105.1993111700676,100,0.01,0.8483576,-131.59024507944082,2,0.18500611
10,30.35,0.27748382,300,-0.75645876,0.9683444,3.5733013665068167,2.0,0.01,0.23849991,-131.14091230967583,9105,0.01,0.01,-125.19462058921803,0.8576123,-104.72253526310696,100,0.01,1.5250947,-131.14091230967583,3,0.490636
10,29.0625,0.28484496,400,-0.52928853,1.1377279,1.1868936378833888,2.0,0.01,0.17853396,-121.2404057265029,11625,0.01,0.01,-124.20606687353924,1.3346121,-104.72253526310696,100,0.01,2.4244328,-121.2404057265029,4,0.4778613
10,29.01,0.29138553,500,-0.58490527,0.8554553,2.3176666800002845,2.0,0.01,0.21576895,-125.815814418268,14505,0.01,0.01,-124.52801638248499,0.9965617,-104.72253526310696,100,0.01,1.3616972,-125.815814418268,5,0.12079337
10,28.171666666666667,0.15123272,600,-0.15336737,0.8932092,0.8341702308573861,2.0,0.01,0.11809857,-119.36834508952573,16903,0.01,0.01,-123.66807116699177,1.1114867,-104.72253526310696,100,0.01,2.3133597,-119.36834508952573,6,0.49330378
10,28.181428571428572,0.15797861,700,-0.3129993,0.82866657,2.106998128274388,2.0,0.01,0.13432395,-123.58786074985909,19727,0.01,0.01,-123.65661253597284,1.3476838,-104.45005611379784,100,0.01,2.4437375,-123.58786074985909,7,0.5710736
10,27.49625,0.15180343,800,-0.19380526,1.0973145,1.0864657794336807,2.0,0.01,0.12648155,-118.22203207973527,21997,0.01,0.01,-122.97728997894313,1.2370144,-103.83434285782565,100,0.01,2.6918392,-118.22203207973527,8,0.5363991
10,27.186666666666667,0.18815863,900,-0.31316736,1.0638504,1.3107894117541585,2.0,0.01,0.14403921,-120.94426504393805,24468,0.01,0.01,-122.75139831949811,1.1237905,-103.83434285782565,100,0.01,2.1747918,-120.94426504393805,9,0.28343603
10,26.987,0.28519812,1000,-0.33213902,1.3519288,1.3621838008656022,2.0,0.01,0.22547296,-121.73304753833956,26987,0.01,0.01,-122.64956324138225,1.2616099,-103.83434285782565,100,0.01,2.3761854,-121.73304753833956,10,0.08526595
10,27.093636363636364,0.18232372,1100,-0.48625505,0.9009829,2.7226463449637293,2.0,0.01,0.17121057,-124.3148541949835,29803,0.01,0.01,-122.80095332807329,1.1740834,-103.83434285782565,100,0.01,1.9682727,-124.3148541949835,11,0.3862427
