InvPendulum_mu1_higher,NatGrad2Norm,InvPendulum_std3_higher,ReturnMax,AvgRet,BatchSize,J,Iteration,ActionIn1,AvgEpLen,InvPendulum_mu3_higher,StepSize,InvPendulum_std2_higher,InvPendulum_std1_higher,NumTrajectories,ReturnMean,MinEpLen,InvPendulum_mu0_higher,NatGradInftyNorm,InvPendulum_std0_higher,TimestepsSoFar,InvPendulum_mu2_higher,VarJ
-0.4579701,0.1407988,0.01,-44.84664203260464,-102.81027568008028,100,-102.81027568008028,26,-1.7361104,42.205,-0.8073586,0.001,0.01,0.01,2600,-101.91564935907475,13,-0.3578039,0.09859602,0.01,109733,-0.10591645,0.4225080985795981
-0.45803195,0.25203162,0.01,-44.84664203260464,-102.95907751744251,100,-102.95907751744251,27,-1.7320137,42.14222222222222,-0.80726004,0.001,0.01,0.01,2700,-101.95429484642172,13,-0.3577481,0.20137894,0.01,113784,-0.1058602,0.40592797235878836
-0.4581385,0.25781146,0.01,-44.84664203260464,-102.58147856046973,100,-102.58147856046973,28,-1.7554364,42.12678571428572,-0.8073663,0.001,0.01,0.01,2800,-101.97669426478059,13,-0.35754672,0.15734851,0.01,117955,-0.105877995,0.530647280659266
-0.45802727,0.44203907,0.01,-44.84664203260464,-101.74060024867497,100,-101.74060024867497,29,-1.7465255,42.185172413793104,-0.80720896,0.001,0.01,0.01,2900,-101.9685530918114,13,-0.35768607,0.3005069,0.01,122337,-0.10577838,0.8371600403865308
-0.45772678,0.33641696,0.01,-44.84664203260464,-102.53589605834644,100,-102.53589605834644,30,-1.6995685,42.19233333333333,-0.80710393,0.001,0.01,0.01,3000,-101.98746452402925,13,-0.3573935,0.19856343,0.01,126577,-0.10587034,0.6203148818592296
-0.45784476,0.19201453,0.01,-44.84664203260464,-101.19174445145956,100,-101.19174445145956,31,-1.743783,42.29451612903226,-0.8069054,0.001,0.01,0.01,3100,-101.96179613459151,13,-0.35755005,0.18927906,0.01,131113,-0.105682395,0.6606485058245013
-0.4578357,0.44727963,0.01,-44.84664203260464,-103.48735939791251,100,-103.48735939791251,32,-1.7150853,42.21375,-0.8070947,0.001,0.01,0.01,3200,-102.0094699865703,13,-0.35752407,0.347927,0.01,135084,-0.10566549,0.3955542810954649
-0.45811284,0.07777108,0.01,-44.84664203260464,-103.42334148487075,100,-103.42334148487075,33,-1.740384,42.17242424242424,-0.80706203,0.001,0.01,0.01,3300,-102.05231457742788,13,-0.35717615,0.06360407,0.01,139169,-0.105699286,0.4763388277260706
-0.45806822,0.23910147,0.01,-44.84664203260464,-100.85313863548461,100,-100.85313863548461,34,-1.7276917,42.226176470588236,-0.8071256,0.001,0.01,0.01,3400,-102.0170446967825,13,-0.35717285,0.14709865,0.01,143569,-0.105698146,0.8051955009203211
-0.4580148,0.16567616,0.01,-44.84664203260464,-100.91795732176448,100,-100.91795732176448,35,-1.7456961,42.216857142857144,-0.8069785,0.001,0.01,0.01,3500,-101.98564220035341,13,-0.35729054,0.11112074,0.01,147759,-0.105835356,0.7737545353380848
-0.45790365,0.16813058,0.01,-44.84664203260464,-102.25022698675944,100,-102.25022698675944,36,-1.7281227,42.20111111111111,-0.80689484,0.001,0.01,0.01,3600,-101.99299177775357,12,-0.35723644,0.14783235,0.01,151924,-0.105907306,0.3533447881159416
-0.45784643,0.2537885,0.01,-44.84664203260464,-102.06328672407649,100,-102.06328672407649,37,-1.7439365,42.20945945945946,-0.80684954,0.001,0.01,0.01,3700,-101.9948916411677,12,-0.35708863,0.18600608,0.01,156175,-0.10587435,0.6269816258263717
-0.45803243,0.18700907,0.01,-44.84664203260464,-102.13113938046588,100,-102.13113938046588,38,-1.7188964,42.221315789473685,-0.80702066,0.001,0.01,0.01,3800,-101.99847710799135,12,-0.35709795,0.14758795,0.01,160441,-0.10589527,0.5559112618930986
-0.45810643,0.16188872,0.01,-44.84664203260464,-101.67227007075769,100,-101.67227007075769,39,-1.7649815,42.27025641025641,-0.80716825,0.001,0.01,0.01,3900,-101.99011282498536,12,-0.35702175,0.1177755,0.01,164854,-0.105851606,0.6410630593754
-0.45807093,0.20056905,0.01,-44.84664203260464,-101.22649747250799,100,-101.22649747250799,40,-1.709423,42.27575,-0.807286,0.001,0.01,0.01,4000,-101.9710224411734,12,-0.3570988,0.14189647,0.01,169103,-0.10577989,0.5440749863245815
-0.45816055,0.4094213,0.01,-44.84664203260464,-102.33499943758767,100,-102.33499943758767,41,-1.731157,42.17951219512195,-0.8071831,0.001,0.01,0.01,4100,-101.97989992889084,12,-0.3570605,0.30854636,0.01,172936,-0.105638,0.4005043668976449
-0.45802477,0.13414678,0.01,-44.84664203260464,-102.01038523563416,100,-102.01038523563416,42,-1.7091018,42.163809523809526,-0.8070745,0.001,0.01,0.01,4200,-101.98062576952759,12,-0.35675195,0.10438954,0.01,177088,-0.10543259,0.6277327290576565
-0.4580866,0.24399891,0.01,-44.84664203260464,-100.83601973779625,100,-100.83601973779625,43,-1.724863,42.13627906976744,-0.8070555,0.001,0.01,0.01,4300,-101.9540070246036,12,-0.35664755,0.17659914,0.01,181186,-0.10537862,0.8307463436308757
-0.45826322,0.08204415,0.01,-44.84664203260464,-101.61009333760018,100,-101.61009333760018,44,-1.707938,42.08,-0.80690676,0.001,0.01,0.01,4400,-101.94619080444443,12,-0.3565974,0.07610881,0.01,185152,-0.10543955,0.7715561013809692
-0.45825654,0.17675036,0.01,-44.84664203260464,-102.23997277465993,100,-102.23997277465993,45,-1.693629,42.07911111111111,-0.80687934,0.001,0.01,0.01,4500,-101.95271929267145,12,-0.3566735,0.1553931,0.01,189356,-0.105427556,0.6499551877409095
-0.45821795,0.3238369,0.01,-44.84664203260464,-101.98042142696617,100,-101.98042142696617,46,-1.747758,42.08304347826087,-0.8068608,0.001,0.01,0.01,4600,-101.9533215129822,12,-0.35674605,0.30396032,0.01,193582,-0.10558295,0.5673899621203311
-0.45828462,0.15405807,0.01,-44.84664203260464,-102.32215185692569,100,-102.32215185692569,47,-1.7330248,41.96787234042553,-0.8067718,0.001,0.01,0.01,4700,-101.96116896710866,12,-0.3567568,0.118614726,0.01,197249,-0.105886914,0.5219706769243659
-0.45830148,0.104649566,0.01,-44.84664203260464,-102.16541658387942,100,-102.16541658387942,48,-1.7190654,41.9125,-0.8067657,0.001,0.01,0.01,4800,-101.96542412579137,12,-0.35666016,0.068948284,0.01,201180,-0.10600553,0.5007549074417943
-0.4583513,0.17952824,0.01,-44.84664203260464,-101.90051522674783,100,-101.90051522674783,49,-1.6952467,41.886326530612244,-0.80671686,0.001,0.01,0.01,4900,-101.96409945438234,12,-0.3565912,0.12871426,0.01,205243,-0.105969034,0.5482596883831462
-0.45840308,0.16656387,0.01,-44.84664203260464,-102.01243398185896,100,-102.01243398185896,50,-1.6963837,41.8512,-0.8065882,0.001,0.01,0.01,5000,-101.96506614493187,12,-0.356663,0.15132174,0.01,209256,-0.10588054,0.46603146397851364
