InvPendulum_mu3_higher,InvPendulum_std3_higher,ReturnMean,AvgEpLen,Iteration,BatchSize,NumTrajectories,InvPendulum_std1_higher,NatGradInftyNorm,TimestepsSoFar,InvPendulum_std0_higher,AvgRet,J,InvPendulum_mu2_higher,InvPendulum_mu1_higher,InvPendulum_std2_higher,NatGrad2Norm,StepSize,InvPendulum_mu0_higher,MinEpLen,ReturnMax,ActionIn1,VarJ
-0.06181552,0.01,-112.9123384452101,20.2275,24,100,2400,0.01,0.15301555,48546,0.01,-112.434749083564,-112.434749083564,0.40885884,-0.42543486,0.01,0.2185431,0.01,0.8122292,10,-103.62350624795859,0.76077074,0.3434234184186669
-0.061315347,0.01,-112.96452477615071,20.2544,25,100,2500,0.01,0.36284897,50636,0.01,-114.21699671872555,-114.21699671872555,0.4085132,-0.42390472,0.01,0.4161166,0.01,0.81079215,10,-103.2532495834342,0.708487,0.37904759835060664
-0.060528584,0.01,-112.96901754830449,20.24269230769231,26,100,2600,0.01,0.20864737,52631,0.01,-113.08133685214925,-113.08133685214925,0.4048847,-0.42365125,0.01,0.24135159,0.01,0.8126539,10,-103.2532495834342,0.7272969,0.3297611038369952
-0.059966546,0.01,-112.97227594487856,20.24851851851852,27,100,2700,0.01,0.15760735,54671,0.01,-113.05699425580413,-113.05699425580413,0.40466306,-0.4257377,0.01,0.18332615,0.01,0.81370586,10,-103.2532495834342,0.75008255,0.3216763670159488
-0.05978584,0.01,-112.95343501653073,20.257142857142856,28,100,2800,0.01,0.14934495,56720,0.01,-112.44472995113956,-112.44472995113956,0.40477282,-0.4248255,0.01,0.20371796,0.01,0.8121298,10,-103.2532495834342,0.68953246,0.29524095876941653
-0.05829239,0.01,-112.96448553314677,20.281724137931036,29,100,2900,0.01,0.13336405,58817,0.01,-113.27389999839598,-113.27389999839598,0.40399483,-0.4251021,0.01,0.16070966,0.01,0.81324244,10,-103.2532495834342,0.73483765,0.29203778189113094
-0.05872586,0.01,-112.96044233391886,20.290666666666667,30,100,3000,0.01,0.31892037,60872,0.01,-112.84318955630964,-112.84318955630964,0.404547,-0.42643577,0.01,0.34025297,0.01,0.8126844,10,-103.2532495834342,0.74692166,0.27225689600731007
-0.055536658,0.01,-112.98088377221217,20.298709677419353,31,100,3100,0.01,0.2034635,62926,0.01,-113.59412692101093,-113.59412692101093,0.4050318,-0.42537,0.01,0.2702563,0.01,0.8128723,10,-103.2532495834342,0.73418003,0.3612029731168648
-0.05553518,0.01,-112.98109894094583,20.3009375,32,100,3200,0.01,0.07432214,64963,0.01,-112.98776917168969,-112.98776917168969,0.40634626,-0.42656848,0.01,0.10970289,0.01,0.81490695,10,-103.2532495834342,0.75334084,0.36751662841330157
-0.05617396,0.01,-112.96465557916802,20.28909090909091,33,100,3300,0.01,0.19627756,66954,0.01,-112.43846800227836,-112.43846800227836,0.40560305,-0.42624295,0.01,0.22622707,0.01,0.8152772,10,-103.2532495834342,0.73710734,0.23992116676749764
-0.055140574,0.01,-112.98856145778564,20.31735294117647,34,100,3400,0.01,0.15000413,69079,0.01,-113.77745545216649,-113.77745545216649,0.40534163,-0.42660233,0.01,0.18744817,0.01,0.81724,10,-103.2532495834342,0.7397074,0.3278318037377747
-0.055564355,0.01,-113.00190502744272,20.33685714285714,35,100,3500,0.01,0.23524567,71179,0.01,-113.45558639578341,-113.45558639578341,0.4043325,-0.4268585,0.01,0.24954799,0.01,0.81874007,10,-103.2532495834342,0.73292965,0.3039327521156331
-0.05542799,0.01,-113.00690574338398,20.356666666666666,36,100,3600,0.01,0.10749401,73284,0.01,-113.1819308013286,-113.1819308013286,0.40450722,-0.42450607,0.01,0.14237888,0.01,0.81793743,10,-103.2532495834342,0.76527685,0.2884411014343998
-0.056263983,0.01,-113.01902400201593,20.368108108108107,37,100,3700,0.01,0.19677348,75362,0.01,-113.45528131276576,-113.45528131276576,0.40343228,-0.42454806,0.01,0.28417087,0.01,0.8175239,10,-103.2532495834342,0.7394506,0.39552668737662083
-0.05679418,0.01,-113.03590227059543,20.366315789473685,38,100,3800,0.01,0.13820687,77392,0.01,-113.66039820803726,-113.66039820803726,0.4014728,-0.42426056,0.01,0.20876025,0.01,0.8194916,10,-103.2532495834342,0.7591823,0.3061190508190014
-0.055412114,0.01,-113.05027762218936,20.366666666666667,39,100,3900,0.01,0.15851761,79430,0.01,-113.59654098275874,-113.59654098275874,0.40112075,-0.4233736,0.01,0.17239438,0.01,0.8182517,10,-103.2532495834342,0.7362271,0.3214061913551402
-0.05382694,0.01,-113.04709713303565,20.3635,40,100,4000,0.01,0.07833428,81454,0.01,-112.92305805604073,-112.92305805604073,0.40157005,-0.42378867,0.01,0.11673428,0.01,0.8185433,10,-103.2532495834342,0.7604334,0.26953995045118245
-0.054424156,0.01,-113.05477736612434,20.37317073170732,41,100,4100,0.01,0.12778203,83530,0.01,-113.36198668967214,-113.36198668967214,0.40144914,-0.42457202,0.01,0.19236247,0.01,0.81915796,10,-103.2532495834342,0.69870627,0.2825791176283284
-0.05487206,0.01,-113.06731395459146,20.385714285714286,42,100,4200,0.01,0.18590853,85620,0.01,-113.58131408174259,-113.58131408174259,0.40266407,-0.42584985,0.01,0.28302538,0.01,0.81978315,10,-103.2532495834342,0.7469141,0.31519068650229515
-0.05559781,0.01,-113.0999176190381,20.413023255813954,43,100,4300,0.01,0.19982973,87776,0.01,-114.46927152579751,-114.46927152579751,0.40080497,-0.42399663,0.01,0.26057422,0.01,0.8205532,10,-103.2532495834342,0.706063,0.3862620002003757
-0.05593634,0.01,-113.09633564817545,20.416363636363638,44,100,4400,0.01,0.08079533,89832,0.01,-112.94231090108211,-112.94231090108211,0.4005155,-0.42199832,0.01,0.10295049,0.01,0.81894124,10,-103.2532495834342,0.7519833,0.2601026890527533
-0.05646099,0.01,-113.10547129017218,20.416888888888888,45,100,4500,0.01,0.17525484,91876,0.01,-113.5074395380279,-113.5074395380279,0.40044868,-0.42280626,0.01,0.23205711,0.01,0.81929815,10,-103.2532495834342,0.7361394,0.2810909324280978
-0.05821354,0.01,-113.11421117103345,20.417608695652174,46,100,4600,0.01,0.20692791,93921,0.01,-113.50750580979059,-113.50750580979059,0.40096295,-0.42180258,0.01,0.26703402,0.01,0.8182775,10,-103.2532495834342,0.7300021,0.4254658801638449
-0.056861974,0.01,-113.11405050528464,20.42255319148936,47,100,4700,0.01,0.22373083,95986,0.01,-113.10665988083882,-113.10665988083882,0.40155816,-0.42387185,0.01,0.27663243,0.01,0.8174603,10,-103.2532495834342,0.7676993,0.37412403479445827
-0.056723457,0.01,-113.11375063383365,20.425833333333333,48,100,4800,0.01,0.23092192,98044,0.01,-113.0996566756366,-113.0996566756366,0.40028894,-0.42488027,0.01,0.3161253,0.01,0.8196976,10,-103.2532495834342,0.76680017,0.31643005322348905
-0.05571511,0.01,-113.10332246314283,20.414489795918367,49,100,4900,0.01,0.13648616,100031,0.01,-112.60277026998433,-112.60277026998433,0.39844993,-0.4243681,0.01,0.20381919,0.01,0.8220068,10,-103.2532495834342,0.7669088,0.28521961982087385
-0.056401975,0.01,-113.11481129091028,20.422,50,100,5000,0.01,0.14945905,102110,0.01,-113.6777638515154,-113.6777638515154,0.39981478,-0.42521715,0.01,0.2151376,0.01,0.8209586,10,-103.2532495834342,0.74689114,0.3363582732958356
