J,NatGradInftyNorm,InvPendulum_std0_higher,NumTrajectories,ActionIn1,TimestepsSoFar,NatGrad2Norm,MinEpLen,StepSize,InvPendulum_mu0_higher,InvPendulum_mu2_higher,BatchSize,VarJ,InvPendulum_std2_higher,InvPendulum_std3_higher,ReturnMax,AvgRet,AvgEpLen,ReturnMean,Iteration,InvPendulum_std1_higher,InvPendulum_mu3_higher,InvPendulum_mu1_higher
-102.67780578820984,0.17569646,0.01,100,-1.4239453,6557,0.24329627,15,0.001,-0.74931115,0.21010771,100,1.0408983712449154,0.01,0.01,-77.7544703094587,-102.67780578820984,65.57,-102.67780578820984,1,0.01,-0.5202909,-0.3516885
-100.94236890315486,0.15859132,0.01,200,-1.3829914,12945,0.17916098,15,0.001,-0.7491493,0.21007143,100,1.6651786469628456,0.01,0.01,-59.155953075170444,-100.94236890315486,64.725,-101.81008734568233,2,0.01,-0.52031946,-0.3518642
-102.20079922491935,0.14652538,0.01,300,-1.4218411,19401,0.178224,15,0.001,-0.74914706,0.21003902,100,1.2624592678919502,0.01,0.01,-59.155953075170444,-102.20079922491935,64.67,-101.94032463876135,3,0.01,-0.52016085,-0.35194096
-101.77394750404653,0.12334358,0.01,400,-1.4333353,25691,0.15226035,15,0.001,-0.74929357,0.21013439,100,1.2711008632160374,0.01,0.01,-59.155953075170444,-101.77394750404653,64.2275,-101.89873035508262,4,0.01,-0.52018434,-0.35196644
-99.72322401895566,0.0625909,0.01,500,-1.3853717,32309,0.08587236,15,0.001,-0.74923635,0.21017724,100,1.4805349796380725,0.01,0.01,-59.155953075170444,-99.72322401895566,64.618,-101.46362908785724,5,0.01,-0.52030766,-0.351913
-100.8076246585524,0.15016074,0.01,600,-1.4285805,39095,0.19468465,15,0.001,-0.7491971,0.21023983,100,1.3597512501089029,0.01,0.01,-59.155953075170444,-100.8076246585524,65.15833333333333,-101.35429501630642,6,0.01,-0.5203434,-0.35193834
-100.87495488880066,0.18236458,0.01,700,-1.4077237,45578,0.22079028,15,0.001,-0.749145,0.2101461,100,1.38945909872988,0.01,0.01,-59.155953075170444,-100.87495488880066,65.11142857142858,-101.28581785523419,7,0.01,-0.5202814,-0.35178816
-100.57338321752304,0.1896026,0.01,800,-1.436789,52600,0.28123945,15,0.001,-0.7490414,0.21016254,100,1.3289350582132706,0.01,0.01,-59.155953075170444,-100.57338321752304,65.75,-101.1967635255203,8,0.01,-0.52046376,-0.3518552
-98.84068284209384,0.29903403,0.01,900,-1.4484066,59925,0.3463885,15,0.001,-0.7489213,0.21008937,100,1.452841104976805,0.01,0.01,-59.155953075170444,-98.84068284209384,66.58333333333333,-100.93497678291736,9,0.01,-0.5206166,-0.3516656
-101.10395703455433,0.15825394,0.01,1000,-1.4403563,66239,0.17178151,15,0.001,-0.7489745,0.2099318,100,1.31914687728908,0.01,0.01,-59.155953075170444,-101.10395703455433,66.239,-100.95187480808104,10,0.01,-0.52031755,-0.3516117
-100.34834920289673,0.087215796,0.01,1100,-1.4254911,72874,0.116958,15,0.001,-0.74881625,0.20991069,100,1.5466066780240855,0.01,0.01,-50.68410175635688,-100.34834920289673,66.24909090909091,-100.89700884397337,11,0.01,-0.52031535,-0.35167506
-102.77552136780642,0.08842155,0.01,1200,-1.3884203,78900,0.13471583,15,0.001,-0.7488537,0.20994112,100,1.3367882594233067,0.01,0.01,-50.68410175635688,-102.77552136780642,65.75,-101.0535515542928,12,0.01,-0.52022815,-0.35161385
-102.17041887008153,0.16356964,0.01,1300,-1.4136682,85014,0.16996054,15,0.001,-0.7487958,0.20987727,100,1.231481067111106,0.01,0.01,-50.68410175635688,-102.17041887008153,65.39538461538461,-101.1394644247381,13,0.01,-0.52017426,-0.35170227
-102.13229820367998,0.15074989,0.01,1400,-1.4249797,91617,0.17751214,15,0.001,-0.74881995,0.20984387,100,1.2535385464520608,0.01,0.01,-50.68410175635688,-102.13229820367998,65.44071428571428,-101.21038112323393,14,0.01,-0.5203378,-0.35168144
-101.81659836800723,0.1474324,0.01,1500,-1.4054997,98178,0.22141334,15,0.001,-0.7489707,0.20976353,100,1.2882919564862876,0.01,0.01,-50.68410175635688,-101.81659836800723,65.452,-101.25079560621882,15,0.01,-0.52037793,-0.35165462
-101.13409199771591,0.0986513,0.01,1600,-1.375159,104600,0.12663779,15,0.001,-0.7490971,0.20969391,100,1.4117971011586388,0.01,0.01,-50.68410175635688,-101.13409199771591,65.375,-101.24350163068739,16,0.01,-0.5202975,-0.3515072
-101.11191799566255,0.15123728,0.01,1700,-1.4182326,111248,0.19991916,15,0.001,-0.7490447,0.20963661,100,1.3830841748684464,0.01,0.01,-46.27580695768179,-101.11191799566255,65.44,-101.2357614168624,17,0.01,-0.52028084,-0.35160583
-100.6291977487839,0.13373539,0.01,1800,-1.4242067,117858,0.19420412,15,0.001,-0.74915904,0.20961691,100,1.383369884218866,0.01,0.01,-46.27580695768179,-100.6291977487839,65.47666666666667,-101.20206343530249,18,0.01,-0.52043205,-0.3516661
-102.16532656767698,0.14911053,0.01,1900,-1.3896961,123872,0.16075197,15,0.001,-0.7492622,0.20956066,100,1.0844139510564939,0.01,0.01,-46.27580695768179,-102.16532656767698,65.19578947368421,-101.25276149490112,19,0.01,-0.5205658,-0.35174373
-102.23493868131258,0.20601463,0.01,2000,-1.3972157,130623,0.26852328,15,0.001,-0.7492323,0.20952223,100,1.5364116789908155,0.01,0.01,-46.27580695768179,-102.23493868131258,65.3115,-101.30187035422172,20,0.01,-0.5204167,-0.3517086
-101.77676329268756,0.113627024,0.01,2100,-1.4104335,137299,0.1476208,15,0.001,-0.7494383,0.20945847,100,1.551796864432521,0.01,0.01,-46.27580695768179,-101.77676329268756,65.38047619047619,-101.32448430367246,21,0.01,-0.5203018,-0.35159722
-101.0452840517236,0.17052728,0.01,2200,-1.4215505,143969,0.17573264,15,0.001,-0.749361,0.20951195,100,1.3065679329386015,0.01,0.01,-46.27580695768179,-101.0452840517236,65.44045454545454,-101.31179338312933,22,0.01,-0.52029496,-0.35171086
-101.11495700827493,0.21863756,0.01,2300,-1.4302969,151220,0.2265978,15,0.001,-0.7493766,0.2094726,100,1.3025127787910007,0.01,0.01,-46.27580695768179,-101.11495700827493,65.74782608695652,-101.3032352798748,23,0.01,-0.5202919,-0.35188138
-99.09356888232227,0.10537648,0.01,2400,-1.4057705,157720,0.14043,14,0.001,-0.749363,0.20969124,100,1.6991375914821618,0.01,0.01,-46.27580695768179,-99.09356888232227,65.71666666666667,-101.21116584664344,24,0.01,-0.5202733,-0.35193628
-103.42755248375575,0.07073871,0.01,2500,-1.4548597,164461,0.10815186,14,0.001,-0.7493943,0.2097414,100,1.3591650535543167,0.01,0.01,-46.27580695768179,-103.42755248375575,65.7844,-101.29982131212793,25,0.01,-0.52016795,-0.35200787
-101.24192670157535,0.0725727,0.01,2600,-1.4074974,170922,0.08921628,14,0.001,-0.74932355,0.20979439,100,1.3951597542087868,0.01,0.01,-46.27580695768179,-101.24192670157535,65.73923076923077,-101.29759459633745,26,0.01,-0.5201324,-0.35195667
-98.68950175627515,0.2830734,0.01,2700,-1.3997512,178335,0.3219484,14,0.001,-0.74936366,0.20972182,100,1.962014062602111,0.01,0.01,-46.27580695768179,-98.68950175627515,66.05,-101.20099856522403,27,0.01,-0.52014226,-0.35192528
-99.13292695141789,0.11153496,0.01,2800,-1.4284232,185204,0.14293298,14,0.001,-0.7493409,0.2098576,100,1.7573445135111536,0.01,0.01,-46.27580695768179,-99.13292695141789,66.14428571428572,-101.12713886473095,28,0.01,-0.5198592,-0.35185772
-103.44085048578933,0.2021607,0.01,2900,-1.3811364,191293,0.26123253,14,0.001,-0.7492294,0.20993926,100,1.023215945477621,0.01,0.01,-46.27580695768179,-103.44085048578933,65.96310344827586,-101.20692202407778,29,0.01,-0.5198444,-0.35189095
-102.47575740265553,0.15742299,0.01,3000,-1.4040304,197400,0.20635587,14,0.001,-0.74943155,0.21007903,100,1.1177637843097898,0.01,0.01,-46.27580695768179,-102.47575740265553,65.8,-101.24921653669706,30,0.01,-0.5197985,-0.35196665
-101.2267118012144,0.13242471,0.01,3100,-1.4037228,204445,0.16349804,14,0.001,-0.74927413,0.20999575,100,1.5026023517182299,0.01,0.01,-46.27580695768179,-101.2267118012144,65.95,-101.24849057748794,31,0.01,-0.5197562,-0.3518714
-102.56494335380916,0.21666661,0.01,3200,-1.3730289,210652,0.23349656,14,0.001,-0.7493693,0.20986332,100,1.1783519494673265,0.01,0.01,-46.27580695768179,-102.56494335380916,65.82875,-101.28962972674798,32,0.01,-0.5197576,-0.35188293
-100.308347554694,0.12836722,0.01,3300,-1.4166291,217165,0.17457058,14,0.001,-0.749586,0.20990464,100,1.4753954072173543,0.01,0.01,-46.27580695768179,-100.308347554694,65.80757575757576,-101.25989390335239,33,0.01,-0.519811,-0.35182792
-103.72418298899102,0.075742565,0.01,3400,-1.4307519,223454,0.10314889,14,0.001,-0.7495785,0.20995952,100,1.1168082409425275,0.01,0.01,-46.27580695768179,-103.72418298899102,65.72176470588235,-101.33237299410646,34,0.01,-0.5197064,-0.35169956
-102.00582312090577,0.16278267,0.01,3500,-1.4259174,230454,0.18414679,14,0.001,-0.7495322,0.20999917,100,1.260365911595327,0.01,0.01,-46.27580695768179,-102.00582312090577,65.844,-101.35161442630073,35,0.01,-0.51974094,-0.3517753
-101.05339594255429,0.2239431,0.01,3600,-1.4187813,237710,0.23562747,14,0.001,-0.749484,0.2100661,100,1.644760357288353,0.01,0.01,-46.27580695768179,-101.05339594255429,66.03055555555555,-101.34333057952999,36,0.01,-0.5199037,-0.35179994
-101.75662751743553,0.047063727,0.01,3700,-1.412204,244518,0.0842959,14,0.001,-0.74948096,0.21003878,100,1.4358556875725312,0.01,0.01,-46.27580695768179,-101.75662751743553,66.08594594594595,-101.35450076704096,37,0.01,-0.52012765,-0.35186785
-100.49874918688766,0.33803904,0.01,3800,-1.4393153,251446,0.3523491,14,0.001,-0.74944335,0.20999233,100,1.3248181548147855,0.01,0.01,-46.27580695768179,-100.49874918688766,66.17,-101.33198098861588,38,0.01,-0.52017474,-0.35183153
-100.70721929572704,0.15184394,0.01,3900,-1.3817239,258521,0.20422836,14,0.001,-0.7494599,0.21033037,100,1.5371018078139247,0.01,0.01,-46.27580695768179,-100.70721929572704,66.2874358974359,-101.31596145802898,39,0.01,-0.5202716,-0.35184634
-99.8699054269782,0.23492312,0.01,4000,-1.4037514,265395,0.24439278,14,0.001,-0.74930805,0.21021192,100,1.5077836120134427,0.01,0.01,-46.27580695768179,-99.8699054269782,66.34875,-101.27981005725272,40,0.01,-0.5202994,-0.3517843
-101.43415648310935,0.10069383,0.01,4100,-1.4102602,272186,0.14464015,14,0.001,-0.7493439,0.209977,100,1.5216796539113298,0.01,0.01,-46.27580695768179,-101.43415648310935,66.38682926829269,-101.28357460422484,41,0.01,-0.52031153,-0.35184005
-101.33517731157053,0.16373284,0.01,4200,-1.3724709,278660,0.19021794,14,0.001,-0.7492432,0.20997198,100,1.2998821099404867,0.01,0.01,-46.27580695768179,-101.33517731157053,66.34761904761905,-101.28480324011402,42,0.01,-0.52022,-0.35179132
-102.14175769376946,0.101540014,0.01,4300,-1.3922964,285063,0.13023803,14,0.001,-0.749328,0.21013571,100,1.3024229746561378,0.01,0.01,-46.27580695768179,-102.14175769376946,66.29372093023255,-101.30473241345483,43,0.01,-0.5201743,-0.35180137
-101.38513775166288,0.05996317,0.01,4400,-1.4097092,291393,0.07697991,14,0.001,-0.7493674,0.21019742,100,1.3558166994955243,0.01,0.01,-46.27580695768179,-101.38513775166288,66.22568181818181,-101.30655980750501,44,0.01,-0.52007276,-0.35183734
-101.39422159116488,0.058346674,0.01,4500,-1.4457506,298271,0.08325849,14,0.001,-0.74930745,0.21022613,100,1.1898384723762276,0.01,0.01,-46.27580695768179,-101.39422159116488,66.28244444444445,-101.3085078471419,45,0.01,-0.5200356,-0.35182613
-102.63954582675285,0.2227618,0.01,4600,-1.3966256,304943,0.2859703,14,0.001,-0.7493205,0.21019797,100,1.1538061844171295,0.01,0.01,-46.27580695768179,-102.63954582675285,66.29195652173912,-101.33744345539432,46,0.01,-0.5200863,-0.35176778
-99.15207094911598,0.043041497,0.01,4700,-1.3822548,311936,0.053881507,14,0.001,-0.74933034,0.2101658,100,1.6499997248114562,0.01,0.01,-46.27580695768179,-99.15207094911598,66.36936170212766,-101.2909461680267,47,0.01,-0.5202624,-0.351545
-99.08352876183126,0.20143443,0.01,4800,-1.4041615,318571,0.28226554,14,0.001,-0.74932146,0.21012276,100,1.4659163981754668,0.01,0.01,-46.27580695768179,-99.08352876183126,66.36895833333334,-101.24495830539762,48,0.01,-0.5202931,-0.35153967
-100.23675449746003,0.25668725,0.01,4900,-1.3942258,325342,0.28247568,14,0.001,-0.74947876,0.210003,100,1.5804852235343596,0.01,0.01,-46.27580695768179,-100.23675449746003,66.39632653061224,-101.22438271748052,49,0.01,-0.52029055,-0.3517411
-101.08128917285872,0.183692,0.01,5000,-1.4483652,331553,0.237839,14,0.001,-0.749531,0.21025969,100,1.6167222512661679,0.01,0.01,-36.2210863846122,-101.08128917285872,66.3106,-101.22152084658809,50,0.01,-0.5203893,-0.35177878
