InvPendulum_std1_higher,NatGradInftyNorm,Iteration,BatchSize,InvPendulum_mu3_higher,ReturnMax,InvPendulum_mu0_higher,VarJ,InvPendulum_mu2_higher,InvPendulum_std0_higher,InvPendulum_mu1_higher,ActionIn1,MinEpLen,AvgEpLen,InvPendulum_std2_higher,NumTrajectories,ReturnMean,NatGrad2Norm,TimestepsSoFar,AvgRet,StepSize,InvPendulum_std3_higher,J
0.01,0.1060355,1,100,-0.24478999,-108.18545643480361,0.278299,0.24279141521286526,0.561099,0.01,-0.74013203,-0.1619556,16,27.77,0.01,100,-119.4091861718913,0.12544465,2777,-119.4091861718913,2.0,0.01,-119.4091861718913
0.01,0.11185637,2,100,-0.32922202,-99.34605411937868,0.3364544,0.4569076572584469,0.47472477,0.01,-0.52806103,0.008447617,12,25.745,0.01,200,-117.12862183434525,0.15626144,5149,-114.84805749679919,2.0,0.01,-114.84805749679919
0.01,0.2177334,3,100,-0.24507494,-99.34605411937868,0.3146825,0.7117713524273422,0.25101203,0.01,-0.728232,-0.4025428,12,31.236666666666668,0.01,300,-121.97279044191629,0.31594828,9371,-131.66112765705842,2.0,0.01,-131.66112765705842
0.01,0.24013834,4,100,0.19039185,-99.34605411937868,0.1328857,0.21830314903373108,0.49629813,0.01,-0.38698933,0.45600942,12,29.2575,0.01,400,-120.95252442936997,0.2893458,11703,-117.89172639173096,2.0,0.01,-117.89172639173096
0.01,0.20955503,5,100,0.12462116,-99.34605411937868,0.17929861,0.5184339448425594,0.18366686,0.01,0.09328735,0.5791607,12,27.872,0.01,500,-119.88867186073134,0.23523985,13936,-115.63326158617681,2.0,0.01,-115.63326158617681
0.01,0.15074496,6,100,0.3341134,-99.34605411937868,0.14037576,1.8011795691821368,0.20086922,0.01,-0.3258227,0.3428417,12,29.745,0.01,600,-122.47415619731389,0.18622608,17847,-135.4015778802267,2.0,0.01,-135.4015778802267
0.01,0.28675935,7,100,0.41047522,-99.34605411937868,0.44186568,3.646204615220972,-0.0030478388,0.01,-0.30554584,0.5356789,12,30.574285714285715,0.01,700,-123.95134991245378,0.30489907,21402,-132.81451220329313,2.0,0.01,-132.81451220329313
0.01,0.21649888,8,100,-0.16304347,-99.34605411937868,0.6348475,1.2772741764439082,0.06332085,0.01,-0.2697226,0.27170616,12,31.00125,0.01,800,-123.79708752315175,0.25654966,24801,-122.7172507980375,2.0,0.01,-122.7172507980375
0.01,0.14465451,9,100,-0.4317036,-89.14163513408292,0.6386455,0.11756879064457251,0.0033947416,0.01,0.16327515,0.38251898,11,29.63,0.01,900,-121.94575054322594,0.2277489,26667,-107.13505470381943,2.0,0.01,-107.13505470381943
0.01,0.08766574,10,100,-0.6875372,-79.90238630377934,0.87050605,0.17942375794277493,-0.0641951,0.01,-0.12603387,-0.027127147,11,28.756,0.01,1000,-120.40806347022556,0.14901812,28756,-106.56887981322217,2.0,0.01,-106.56887981322217
0.01,0.09412343,11,100,-0.7386337,-79.90238630377934,1.0278817,0.20529310943249063,-0.23952657,0.01,-0.3012666,-0.28816402,11,28.154545454545456,0.01,1100,-119.16885984750671,0.14100425,30970,-106.77682362031808,2.0,0.01,-106.77682362031808
0.01,0.13326007,12,100,-0.55038685,-79.90238630377934,0.8466059,0.23962785070799747,-0.3040916,0.01,-0.38530442,-0.37436467,11,27.768333333333334,0.01,1200,-118.17891473784265,0.17129432,33322,-107.289518531538,2.0,0.01,-107.289518531538
0.01,0.12154188,13,100,-0.50192654,-79.90238630377934,0.93127096,0.07599263008141176,-0.5706117,0.01,-0.19342582,-0.37551337,11,26.94076923076923,0.01,1300,-117.4327909217086,0.17342333,35023,-108.47930512810007,2.0,0.01,-108.47930512810007
0.01,0.08643109,14,100,-0.2893551,-79.90238630377934,0.6881872,0.07872861650538573,-0.49794847,0.01,-0.089761324,-0.17234159,11,26.18,0.01,1400,-116.80629638734773,0.11868638,36652,-108.66186744065634,2.0,0.01,-108.66186744065634
0.01,0.13046508,15,100,-0.46221727,-79.90238630377934,0.743401,0.08258387508861736,-0.6179851,0.01,-0.1846672,-0.5296995,11,25.549333333333333,0.01,1500,-116.24277950687906,0.19450705,38324,-108.35354318031767,2.0,0.01,-108.35354318031767
0.01,0.16359752,16,100,-0.37213048,-79.90238630377934,0.9987732,0.08217344388555396,-0.71756834,0.01,-0.44559735,-0.5355397,11,24.98,0.01,1600,-115.69013228304051,0.23908512,39968,-107.40042392546253,2.0,0.01,-107.40042392546253
0.01,0.23304105,17,100,-0.5740489,-79.90238630377934,1.3259683,0.13725851554455593,-0.553295,0.01,-0.67761767,-0.45967758,11,24.501176470588234,0.01,1700,-115.27034923106416,0.3410609,41652,-108.5538203994423,2.0,0.01,-108.5538203994423
0.01,0.2592917,18,100,-0.9518477,-79.90238630377934,1.5810678,0.1111525332096166,-0.7539188,0.01,-0.21153557,-0.3216523,10,24.088333333333335,0.01,1800,-114.87715883434349,0.29026908,43359,-108.19292209009207,2.0,0.01,-108.19292209009207
0.01,0.08717455,19,100,-1.072257,-79.90238630377934,1.8123835,0.07248863266464467,-1.2725022,0.01,-0.20202743,-0.75029325,10,23.68842105263158,0.01,1900,-114.52654194510826,0.12344553,45008,-108.21543793887433,2.0,0.01,-108.21543793887433
0.01,0.21237266,20,100,-0.897908,-79.90238630377934,1.6741008,0.06777689638608468,-1.167378,0.01,-0.22163194,-0.6388193,10,23.31,0.01,2000,-114.18573771372637,0.3235004,46620,-107.71045731747031,2.0,0.01,-107.71045731747031
0.01,0.10552924,21,100,-0.47316265,-79.90238630377934,2.0078454,0.07184015859244178,-0.82062984,0.01,-0.14050424,0.5679705,10,22.99809523809524,0.01,2100,-113.89633377650362,0.12917165,48296,-108.10825503204838,2.0,0.01,-108.10825503204838
0.01,0.0894871,22,100,-0.68422115,-79.90238630377934,2.0577197,0.08526621198938157,-0.89855886,0.01,-0.023734346,0.4456674,10,22.667727272727273,0.01,2200,-113.626006770312,0.11927531,49869,-107.94913964028838,2.0,0.01,-107.94913964028838
0.01,0.11824451,23,100,-0.59612966,-79.90238630377934,1.930318,0.09020232314540387,-0.92827946,0.01,0.15523985,0.5714755,10,22.409565217391304,0.01,2300,-113.39070771094705,0.18709148,51542,-108.21412840491811,2.0,0.01,-108.21412840491811
0.01,0.104696654,24,100,-0.38795108,-79.90238630377934,1.7773496,0.0657138409726894,-0.69179046,0.01,0.28695244,0.95325476,10,22.1375,0.01,2400,-113.16638816494623,0.16073298,53130,-108.00703860692738,2.0,0.01,-108.00703860692738
0.01,0.12020478,25,100,-0.24977516,-79.90238630377934,1.9324732,0.07780155989373677,-0.8196141,0.01,0.49634576,1.3470006,10,21.9,0.01,2500,-112.96428767605396,0.20436557,54750,-108.11387594263891,2.0,0.01,-108.11387594263891
0.01,0.23085806,26,100,-0.012282848,-79.90238630377934,2.1275198,0.07740122978998518,-1.0600237,0.01,0.37461412,1.4472477,10,21.70423076923077,0.01,2600,-112.79647196318473,0.26115134,56431,-108.60107914145445,2.0,0.01,-108.60107914145445
0.01,0.11081751,27,100,0.44943327,-79.90238630377934,2.343293,0.11557228184021552,-1.1491117,0.01,0.30303484,1.9682847,10,21.540370370370372,0.01,2700,-112.65337775360625,0.16464208,58159,-108.932928304565,2.0,0.01,-108.932928304565
0.01,0.17026116,28,100,0.47694364,-79.90238630377934,2.1824114,0.09805230009519939,-1.3707467,0.01,0.48377317,1.7687452,10,21.3625,0.01,2800,-112.50233158851991,0.23317142,59815,-108.42408513118902,2.0,0.01,-108.42408513118902
0.01,0.19830455,29,100,0.617924,-79.90238630377934,1.8418891,0.10686761523805396,-1.3714148,0.01,0.7695078,1.8510473,10,21.193103448275863,0.01,2900,-112.37146083575357,0.21234958,61460,-108.70707975829654,2.0,0.01,-108.70707975829654
0.01,0.101311736,30,100,0.22131488,-79.90238630377934,1.7298113,0.06888211399655676,-1.4662198,0.01,0.80851007,1.3161113,10,21.012666666666668,0.01,3000,-112.21786838974687,0.1524648,63038,-107.76368745555236,2.0,0.01,-107.76368745555236
0.01,0.15561607,31,100,0.42393833,-79.90238630377934,1.6527357,0.09268531506555103,-1.3050004,0.01,0.6671119,1.4583424,10,20.857419354838708,0.01,3100,-112.09351196407854,0.24695452,64658,-108.36281919402896,2.0,0.01,-108.36281919402896
0.01,0.05938999,32,100,0.112706184,-79.90238630377934,1.6792471,0.07847288050559859,-1.0588547,0.01,0.96001124,1.6876626,10,20.70375,0.01,3200,-111.9519235507095,0.08160227,66252,-107.56268273626901,2.0,0.01,-107.56268273626901
0.01,0.1907486,33,100,0.23148617,-79.90238630377934,1.7341524,0.08318596977781198,-1.0457227,0.01,0.8633676,1.7860792,10,20.560606060606062,0.01,3300,-111.82785710250502,0.20113882,67850,-107.8577307599616,2.0,0.01,-107.8577307599616
0.01,0.10614648,34,100,0.25215358,-79.90238630377934,1.8081197,0.08068442059316651,-0.6642255,0.01,0.96529347,2.3971257,10,20.412352941176472,0.01,3400,-111.72177103511967,0.16608003,69402,-108.22093081140288,2.0,0.01,-108.22093081140288
0.01,0.09742457,35,100,0.452852,-79.90238630377934,2.0204127,0.13844254697210892,-0.783313,0.01,0.86136883,2.5196745,10,20.296285714285716,0.01,3500,-111.64248717073258,0.1297683,71037,-108.94683578157202,2.0,0.01,-108.94683578157202
0.01,0.3342149,36,100,0.58137524,-79.90238630377934,1.9084194,0.12183635395096637,-0.58846384,0.01,0.87959933,2.7827716,10,20.175555555555555,0.01,3600,-111.57830718975335,0.41344172,72632,-109.33200785547992,2.0,0.01,-109.33200785547992
0.01,0.22022447,37,100,0.28407916,-79.90238630377934,2.2250278,0.08223167173361313,-0.8082639,0.01,1.5480292,3.231039,10,20.042972972972972,0.01,3700,-111.48330023577378,0.24195841,74159,-108.06304989250944,2.0,0.01,-108.06304989250944
0.01,0.17867789,38,100,0.45942008,-79.90238630377934,2.3218608,0.10199045437608763,-0.36781496,0.01,1.555718,3.9874387,10,19.91315789473684,0.01,3800,-111.4078301266016,0.20912038,75670,-108.61543608723021,2.0,0.01,-108.61543608723021
0.01,0.116476335,39,100,0.5701024,-79.90238630377934,2.1659007,0.08001848488833029,-0.26462564,0.01,1.9130738,4.3653774,10,19.772820512820513,0.01,3900,-111.31523180582313,0.15023847,77114,-107.7964956162422,2.0,0.01,-107.7964956162422
0.01,0.370221,40,100,0.33714974,-79.90238630377934,2.3535519,0.07498108647694418,-0.24404067,0.01,1.9326375,4.3950105,10,19.64925,0.01,4000,-111.23992956468385,0.41974244,78597,-108.30314216025177,2.0,0.01,-108.30314216025177
