InvPendulum_mu0_higher,BatchSize,ActionIn1,TimestepsSoFar,InvPendulum_std0_higher,NumTrajectories,InvPendulum_mu1_higher,NatGrad2Norm,Iteration,InvPendulum_std3_higher,MinEpLen,NatGradInftyNorm,VarJ,AvgEpLen,ReturnMean,InvPendulum_std1_higher,InvPendulum_mu3_higher,InvPendulum_std2_higher,StepSize,ReturnMax,AvgRet,J,InvPendulum_mu2_higher
0.8060292,100,0.7989546,2025,0.01,100,-0.4217885,0.29234192,1,0.01,10,0.26007122,0.30012582406537897,20.25,-112.85270437853737,0.01,-0.06532505,0.01,0.001,-105.1993111700676,-112.85270437853737,-112.85270437853737,0.41005367
0.80601484,100,0.7228983,4114,0.01,200,-0.42185894,0.23030202,2,0.01,10,0.1479545,0.34927017246915265,20.57,-112.66884617125166,0.01,-0.06506498,0.01,0.001,-102.41705085506014,-112.48498796396596,-112.48498796396596,0.40994114
0.8060934,100,0.6943023,6174,0.01,300,-0.42192128,0.21270773,3,0.01,10,0.19472146,0.30061500073345604,20.58,-112.94063190369326,0.01,-0.06491703,0.01,0.001,-102.41705085506014,-113.48420336857649,-113.48420336857649,0.41008636
0.8061467,100,0.7331529,8252,0.01,400,-0.42185745,0.2554439,4,0.01,10,0.16248383,0.28369161230479945,20.63,-113.08330071921097,0.01,-0.06472231,0.01,0.001,-102.41705085506014,-113.5113071657641,-113.5113071657641,0.41006598
0.8060073,100,0.7029663,10299,0.01,500,-0.42187622,0.27535644,5,0.01,10,0.22549033,0.3164780937091763,20.598,-113.04028029230236,0.01,-0.064860426,0.01,0.001,-102.41705085506014,-112.86819858466787,-112.86819858466787,0.4099035
0.8060203,100,0.69834554,12281,0.01,600,-0.42165074,0.16388306,6,0.01,10,0.124638736,0.2699594458671346,20.468333333333334,-112.91394642295714,0.01,-0.06480055,0.01,0.001,-102.41705085506014,-112.28227707623108,-112.28227707623108,0.41004917
0.8059931,100,0.73899204,14352,0.01,700,-0.42173934,0.13612415,7,0.01,10,0.113649316,0.26752680024743064,20.502857142857142,-112.91780547901053,0.01,-0.06467591,0.01,0.001,-102.41705085506014,-112.94095981533081,-112.94095981533081,0.41010144
0.80610675,100,0.7446952,16305,0.01,800,-0.42168826,0.14978462,8,0.01,10,0.12927984,0.26148621975516584,20.38125,-112.82469263167778,0.01,-0.06472945,0.01,0.001,-102.41705085506014,-112.17290270034853,-112.17290270034853,0.4100897
0.8060982,100,0.74641687,18390,0.01,900,-0.421743,0.15626189,9,0.01,10,0.12709779,0.33839953527845074,20.433333333333334,-112.86467390524732,0.01,-0.064780965,0.01,0.001,-102.41705085506014,-113.18452409380357,-113.18452409380357,0.40996042
0.8062253,100,0.7391425,20405,0.01,1000,-0.4217553,0.22866441,10,0.01,10,0.19044831,0.2882149671427067,20.405,-112.8738407663241,0.01,-0.06473194,0.01,0.001,-102.41705085506014,-112.9563425160151,-112.9563425160151,0.40988487
0.80603486,100,0.72269017,22496,0.01,1100,-0.42180794,0.14667793,11,0.01,10,0.13880983,0.292870525384834,20.45090909090909,-112.86532689014082,0.01,-0.06475346,0.01,0.001,-102.41705085506014,-112.7801881283081,-112.7801881283081,0.40999794
0.8060647,100,0.74021924,24560,0.01,1200,-0.42194676,0.12498037,12,0.01,10,0.11328368,0.3229145546622587,20.466666666666665,-112.909804241471,0.01,-0.06472505,0.01,0.001,-102.41705085506014,-113.39905510610274,-113.39905510610274,0.4100213
0.8060288,100,0.7378824,26650,0.01,1300,-0.42198402,0.21387395,13,0.01,10,0.14079502,0.271369390661201,20.5,-112.92213027658688,0.01,-0.064838335,0.01,0.001,-102.41705085506014,-113.07004269797773,-113.07004269797773,0.41003168
