InvPendulum_mu1_higher,MinEpLen,AvgRet,InvPendulum_std3_higher,StepSize,BatchSize,NatGrad2Norm,ReturnMax,InvPendulum_std1_higher,AvgEpLen,NatGradInftyNorm,InvPendulum_mu0_higher,NumTrajectories,TimestepsSoFar,J,ActionIn1,InvPendulum_std0_higher,VarJ,ReturnMean,InvPendulum_mu3_higher,InvPendulum_std2_higher,Iteration,InvPendulum_mu2_higher
-0.34939533,15,-99.61684947822037,0.01,0.1,100,0.12922856,-27.14482516983452,0.01,66.6352380952381,0.090288766,-0.75563806,2100,139934,-99.61684947822037,-1.4761636,0.01,1.7109291987562307,-100.78534587758735,-0.5284604,0.01,21,0.15588498
-0.3579458,15,-95.94591353950537,0.01,0.1,100,0.1782561,-27.14482516983452,0.01,66.89136363636364,0.17670803,-0.7466092,2200,147161,-95.94591353950537,-1.4818752,0.01,1.8448872659926427,-100.56537168040181,-0.5262222,0.01,22,0.15859784
-0.3756166,15,-97.16723707760028,0.01,0.1,100,0.20853914,-27.14482516983452,0.01,67.06652173913044,0.20149241,-0.74785787,2300,154253,-97.16723707760028,-1.5084958,0.01,2.1886507484722317,-100.41762669767131,-0.52446973,0.01,23,0.15766793
-0.38048986,15,-101.67326597132849,0.01,0.1,100,0.14955854,-27.14482516983452,0.01,67.19708333333334,0.10531853,-0.7456987,2400,161273,-101.67326597132849,-1.4674253,0.01,1.6581331434018194,-100.46994500074037,-0.5251648,0.01,24,0.17781718
-0.3887086,15,-104.13500108040488,0.01,0.1,100,0.13316053,-27.14482516983452,0.01,66.9764,0.10190308,-0.7506029,2500,167441,-104.13500108040488,-1.5145583,0.01,1.2345705161075282,-100.61654724392695,-0.51463294,0.01,25,0.18241705
-0.3822899,15,-102.79384962092197,0.01,0.1,100,0.086444594,-27.14482516983452,0.01,66.85884615384616,0.061324183,-0.7404126,2600,173833,-102.79384962092197,-1.4429874,0.01,1.3594239099559073,-100.70028964304213,-0.5116701,0.01,26,0.1872644
-0.37846297,15,-104.23890453501666,0.01,0.1,100,0.34619722,-27.14482516983452,0.01,66.78703703703704,0.30315033,-0.74500567,2700,180325,-104.23890453501666,-1.4432225,0.01,1.6313038606984294,-100.831349453856,-0.5128441,0.01,27,0.18113197
-0.3743675,15,-102.68682925169637,0.01,0.1,100,0.17070985,-27.14482516983452,0.01,66.89142857142858,0.14609736,-0.73692715,2800,187296,-102.68682925169637,-1.4158616,0.01,1.6959248409651135,-100.89761658949315,-0.48252904,0.01,28,0.19518504
-0.3793927,15,-102.94346453792295,0.01,0.1,100,0.26758513,-27.14482516983452,0.01,66.81689655172414,0.21209723,-0.7223174,2900,193769,-102.94346453792295,-1.3496612,0.01,1.813000217997084,-100.9681630704735,-0.4797212,0.01,29,0.20188111
-0.38724244,15,-102.98077309752468,0.01,0.1,100,0.1714689,-27.14482516983452,0.01,66.94833333333334,0.12959102,-0.7435271,3000,200845,-102.98077309752468,-1.384957,0.01,2.1195451602448885,-101.0352500713752,-0.47724113,0.01,30,0.21596646
-0.37865773,15,-102.52411841987612,0.01,0.1,100,0.19839531,-27.14482516983452,0.01,67.11032258064516,0.15084814,-0.730568,3100,208042,-102.52411841987612,-1.3708912,0.01,2.175712758789025,-101.08327808261717,-0.47758585,0.01,31,0.20873727
-0.38059604,15,-103.87771491816315,0.01,0.1,100,0.23894705,-27.14482516983452,0.01,67.0521875,0.23387635,-0.74330556,3200,214567,-103.87771491816315,-1.3699472,0.01,1.9454005219643185,-101.17060423372797,-0.47781572,0.01,32,0.19365245
-0.3771874,15,-103.03633073001349,0.01,0.1,100,0.18497024,-27.14482516983452,0.01,67.11818181818182,0.12812366,-0.7666932,3300,221490,-103.03633073001349,-1.4324838,0.01,1.848379815688504,-101.2271414002821,-0.47982866,0.01,33,0.19653425
-0.36437503,15,-103.81668318661606,0.01,0.1,100,0.105443016,-27.14482516983452,0.01,67.26,0.09675211,-0.7654045,3400,228684,-103.81668318661606,-1.4151676,0.01,1.9435742049788323,-101.3033043939978,-0.46778283,0.01,34,0.2021218
-0.37405023,15,-103.62942530277131,0.01,0.1,100,0.18196355,-27.14482516983452,0.01,67.22685714285714,0.15906513,-0.7659005,3500,235294,-103.62942530277131,-1.4185722,0.01,1.4642000610054204,-101.36976499139132,-0.46961343,0.01,35,0.20586018
-0.3759176,15,-102.68439715698327,0.01,0.1,100,0.22354063,-27.14482516983452,0.01,67.225,0.20476314,-0.76089096,3600,242010,-102.68439715698327,-1.417092,0.01,2.4715593023871447,-101.40628255154665,-0.48551995,0.01,36,0.21289635
-0.38421014,15,-104.11323949911821,0.01,0.1,100,0.103214614,-27.14482516983452,0.01,67.09918918918919,0.06496169,-0.75749034,3700,248267,-104.11323949911821,-1.4352589,0.01,1.2030111604638194,-101.47944355012969,-0.5059963,0.01,37,0.21320431
-0.37819684,15,-103.92594067514102,0.01,0.1,100,0.36642548,-27.14482516983452,0.01,67.11131578947368,0.33843455,-0.75099415,3800,255023,-103.92594067514102,-1.4570136,0.01,1.4904418218231195,-101.54382505341943,-0.50847584,0.01,38,0.20851128
-0.3789345,15,-102.96656086103286,0.01,0.1,100,0.18350065,-27.14482516983452,0.01,67.0576923076923,0.12664238,-0.75358075,3900,261525,-102.96656086103286,-1.382899,0.01,1.272065661545272,-101.58030545874286,-0.52226216,0.01,39,0.24235474
-0.37338665,15,-102.60984754787532,0.01,0.1,100,0.2682141,-27.14482516983452,0.01,66.8435,0.25453466,-0.7409165,4000,267374,-102.60984754787532,-1.4021735,0.01,1.0786631274323677,-101.60604401097117,-0.5262758,0.01,40,0.23097695
