InvPendulum_std2_higher,InvPendulum_std1_higher,InvPendulum_std0_higher,TimestepsSoFar,InvPendulum_mu1_higher,InvPendulum_mu2_higher,J,ReturnMean,NatGradInftyNorm,AvgEpLen,NatGrad2Norm,ActionIn1,MinEpLen,StepSize,AvgRet,InvPendulum_mu0_higher,NumTrajectories,BatchSize,Iteration,ReturnMax,VarJ,InvPendulum_mu3_higher,InvPendulum_std3_higher
0.01,0.01,0.01,51088,-0.46169287,-0.101105176,-102.90608860165652,-101.99174273211895,0.09804962,42.57333333333333,0.11575987,-1.7406625,13,0.01,-102.90608860165652,-0.35761374,1200,100,12,-46.65908122768146,0.5866953366110659,-0.80727834,0.01
0.01,0.01,0.01,55576,-0.46196917,-0.10012468,-103.2994771098011,-102.09233768424833,0.10353389,42.75076923076923,0.17068808,-1.7468622,13,0.01,-103.2994771098011,-0.3581633,1300,100,13,-46.65908122768146,0.5168897797715293,-0.8072961,0.01
0.01,0.01,0.01,59469,-0.4629209,-0.10098793,-102.37440326910055,-102.11248522602348,0.109620854,42.47785714285714,0.17060652,-1.7150482,13,0.01,-102.37440326910055,-0.35859975,1400,100,14,-46.65908122768146,0.5336442978984103,-0.80626076,0.01
0.01,0.01,0.01,63664,-0.46401712,-0.10006089,-102.10596428496909,-102.11205049661987,0.27981114,42.44266666666667,0.33938816,-1.731953,13,0.01,-102.10596428496909,-0.358815,1500,100,15,-46.65908122768146,0.5813258820951062,-0.807157,0.01
0.01,0.01,0.01,68133,-0.46681523,-0.09855064,-100.65572593313314,-102.02103021140196,0.05405684,42.583125,0.08837742,-1.7614992,13,0.01,-100.65572593313314,-0.35983405,1600,100,16,-46.65908122768146,0.7782037341449255,-0.80654895,0.01
0.01,0.01,0.01,72717,-0.4673558,-0.09904143,-101.13269639479735,-101.96877528101345,0.15040931,42.77470588235294,0.24251652,-1.7186897,13,0.01,-101.13269639479735,-0.35988024,1700,100,17,-46.65908122768146,0.48928512776880745,-0.80605316,0.01
0.01,0.01,0.01,77131,-0.46884,-0.09753734,-99.84976875805272,-101.85105269640451,0.16246018,42.85055555555556,0.2380948,-1.705896,13,0.01,-99.84976875805272,-0.3602433,1800,100,18,-46.65908122768146,0.6565168933976147,-0.80491984,0.01
0.01,0.01,0.01,81412,-0.46928898,-0.09857151,-100.0513140700198,-101.75632961080532,0.11079711,42.84842105263158,0.14597328,-1.7144338,13,0.01,-100.0513140700198,-0.3589172,1900,100,19,-46.65908122768146,0.9618348321125582,-0.8065444,0.01
0.01,0.01,0.01,85955,-0.46985918,-0.09787111,-100.80020655413507,-101.70852345797181,0.1788161,42.9775,0.23405191,-1.7350014,13,0.01,-100.80020655413507,-0.36002517,2000,100,20,-46.65908122768146,0.5991816327342672,-0.8062486,0.01
0.01,0.01,0.01,90114,-0.470051,-0.09965927,-103.0259770843813,-101.77125934494369,0.16830395,42.91142857142857,0.2241685,-1.7497921,13,0.01,-103.0259770843813,-0.3612674,2100,100,21,-46.65908122768146,0.33394874337504576,-0.80708563,0.01
