InvPendulum_mu0_higher,TimestepsSoFar,InvPendulum_std3_higher,AvgEpLen,NumTrajectories,Iteration,InvPendulum_std0_higher,ReturnMax,InvPendulum_std2_higher,NatGradInftyNorm,InvPendulum_mu2_higher,ActionIn1,StepSize,InvPendulum_mu3_higher,NatGrad2Norm,InvPendulum_std1_higher,ReturnMean,MinEpLen,VarJ,BatchSize,AvgRet,InvPendulum_mu1_higher,J
-0.22476089,7033,0.01,70.33,100,1,0.01,-111.54714944845783,0.01,0.23142505,-0.3480244,-1.1124316,0.01,0.32162514,0.28190935,0.01,-159.65418683822202,22,1.7814225106320816,100,-159.65418683822202,-0.85142165,-159.65418683822202
-0.22577344,13933,0.01,69.665,200,2,0.01,-111.54714944845783,0.01,0.16327688,-0.35033864,-1.1103238,0.01,0.32081527,0.24057749,0.01,-159.05211741548104,22,1.785462030964326,100,-158.45004799274002,-0.8523758,-158.45004799274002
-0.22656596,20753,0.01,69.17666666666666,300,3,0.01,-111.54714944845783,0.01,0.25162196,-0.35186228,-1.1107085,0.01,0.32040024,0.28423437,0.01,-158.46911530613113,22,1.8302757615196228,100,-157.30311108743138,-0.85400856,-157.30311108743138
-0.22547968,27533,0.01,68.8325,400,4,0.01,-111.54714944845783,0.01,0.27340028,-0.3543785,-1.1093209,0.01,0.31995258,0.44631624,0.01,-158.26923521192816,22,1.3876602233242636,100,-157.66959492931926,-0.8546145,-157.66959492931926
-0.22418417,34168,0.01,68.336,500,5,0.01,-111.54714944845783,0.01,0.37634385,-0.3571125,-1.1014296,0.01,0.3223956,0.48682418,0.01,-157.84467021835567,22,1.1779668599621602,100,-156.14641024406575,-0.856805,-156.14641024406575
-0.22463268,40777,0.01,67.96166666666667,600,6,0.01,-111.54714944845783,0.01,0.40911934,-0.35677794,-1.1108754,0.01,0.31935862,0.48504138,0.01,-157.48107373741072,22,1.3257205581793945,100,-155.6630913326859,-0.8530416,-155.6630913326859
-0.22228126,47548,0.01,67.92571428571429,700,7,0.01,-111.54714944845783,0.01,0.2758075,-0.3565422,-1.1051245,0.01,0.32045585,0.42169943,0.01,-157.32954748324116,22,1.4525782581038467,100,-156.42038995822372,-0.8489504,-156.42038995822372
-0.22493368,54091,0.01,67.61375,800,8,0.01,-110.1387042290491,0.01,0.3415069,-0.35723686,-1.0885068,0.01,0.32208622,0.43302292,0.01,-157.11052857644458,21,1.3299191597873452,100,-155.57739622886857,-0.8517085,-155.57739622886857
-0.22834875,60821,0.01,67.57888888888888,900,9,0.01,-110.1387042290491,0.01,0.171489,-0.35797954,-1.0971045,0.01,0.31957364,0.20079239,0.01,-157.07888645351804,21,1.1098560260966737,100,-156.8257494701056,-0.8512357,-156.8257494701056
-0.22663386,67392,0.01,67.392,1000,10,0.01,-110.1387042290491,0.01,0.26843372,-0.3586391,-1.0832918,0.01,0.3203629,0.281557,0.01,-156.90506070277263,21,1.1709516135020253,100,-155.34062894606393,-0.8510541,-155.34062894606393
