AvgEpLen,AvgRet,ReturnMean,MinEpLen,ReturnMax,InvPendulum_mu0_higher,TimestepsSoFar,J,StepSize,InvPendulum_std1_higher,NumTrajectories,NatGrad2Norm,NatGradInftyNorm,BatchSize,ActionIn1,InvPendulum_mu1_higher,InvPendulum_mu3_higher,InvPendulum_mu2_higher,Iteration,VarJ,InvPendulum_std3_higher,InvPendulum_std0_higher,InvPendulum_std2_higher
21.54952380952381,-108.28161892472734,-112.63496504168376,10,-101.96495660268451,-1.3318554,45254,-108.28161892472734,2.0,0.01,2100,0.12591991,0.0799862,100,-4.580156,-0.43313587,-0.8646604,-1.9810407,21,0.08081252264522325,0.01,0.01,0.01
21.321363636363635,-108.4236828781064,-112.4435431251575,10,-101.96495660268451,-1.4617236,46907,-108.4236828781064,2.0,0.01,2200,0.22013514,0.1630945,100,-4.413234,-0.27316347,-0.86785305,-1.8362781,22,0.08021736855816718,0.01,0.01,0.01
21.092173913043478,-108.25040036878792,-112.26123257053273,10,-101.96495660268451,-1.6273965,48512,-108.25040036878792,2.0,0.01,2300,0.19723962,0.13964467,100,-3.945669,-0.045048133,-0.541664,-1.7470899,23,0.09343411924046423,0.01,0.01,0.01
20.88625,-107.82751982113088,-112.07649453930766,10,-101.96495660268451,-1.5678358,50127,-107.82751982113088,2.0,0.01,2400,0.12581217,0.09824584,100,-3.3682723,0.22489254,-0.26237467,-1.7816719,24,0.08905037787828263,0.01,0.01,0.01
20.71,-108.06951314263895,-111.91621528344092,10,-101.96495660268451,-1.718009,51775,-108.06951314263895,2.0,0.01,2500,0.3477052,0.30756456,100,-3.8095913,0.028400868,-0.30576095,-1.7981492,25,0.08138813368679632,0.01,0.01,0.01
20.559615384615384,-108.07793735515915,-111.76858920927626,10,-101.96495660268451,-1.4288518,53455,-108.07793735515915,2.0,0.01,2600,0.077793814,0.05787892,100,-3.0684538,-0.0029513761,-0.44934693,-1.1830201,26,0.0977587898486863,0.01,0.01,0.01
20.396296296296295,-107.73763054670931,-111.61929444399598,10,-101.96495660268451,-1.313094,55070,-107.73763054670931,2.0,0.01,2700,0.25389355,0.21846053,100,-2.8019667,0.07930497,-0.38646862,-1.1923926,27,0.08893178013844288,0.01,0.01,0.01
20.250357142857144,-108.01001254630457,-111.49039151907844,10,-101.96495660268451,-1.5344203,56701,-108.01001254630457,2.0,0.01,2800,0.11850176,0.08066452,100,-2.8039894,-0.039567053,0.05045244,-1.2542948,28,0.0879409539652182,0.01,0.01,0.01
20.123103448275863,-108.21249424872785,-111.37736057872151,10,-101.96495660268451,-1.3777788,58357,-108.21249424872785,2.0,0.01,2900,0.26272047,0.18883787,100,-2.7185733,0.034059495,-0.110876605,-1.267939,29,0.08638571445276172,0.01,0.01,0.01
20.112666666666666,-108.43847625617231,-111.27939776796987,10,-101.96495660268451,-1.4033992,60338,-108.43847625617231,2.0,0.01,3000,0.28470892,0.1921105,100,-2.8544254,-0.070323065,-0.48855233,-0.9188014,30,0.1356955108212246,0.01,0.01,0.01
20.536451612903225,-106.04475349430963,-111.11053827527117,10,-52.71970163522355,-1.4561112,63663,-106.04475349430963,2.0,0.01,3100,0.14200471,0.09855693,100,-3.1153734,-0.23835412,-0.8727733,-0.53722847,31,0.5869435559490053,0.01,0.01,0.01
