J,InvPendulum_mu3_higher,InvPendulum_std1_higher,ReturnMax,ActionIn1,NumTrajectories,Iteration,StepSize,InvPendulum_std3_higher,NatGradInftyNorm,InvPendulum_mu1_higher,InvPendulum_std0_higher,InvPendulum_mu2_higher,AvgEpLen,NatGrad2Norm,ReturnMean,InvPendulum_std2_higher,TimestepsSoFar,AvgRet,BatchSize,MinEpLen,VarJ,InvPendulum_mu0_higher
-118.75544382893746,-0.25632653,0.01,-100.9820345722333,-0.116102755,2100,21,0.1,0.01,0.13010551,-0.7051674,0.01,0.4812097,28.773333333333333,0.15295987,-119.47172565072425,0.01,60424,-118.75544382893746,100,15,0.3178423182414412,0.36975965
-118.50315459175967,-0.2693371,0.01,-100.9820345722333,-0.12509269,2200,22,0.1,0.01,0.09868314,-0.6992494,0.01,0.47651315,28.72909090909091,0.13329355,-119.4276996934986,0.01,63204,-118.50315459175967,100,15,0.30798024397139667,0.37251866
-118.55210436953467,-0.26415357,0.01,-100.9820345722333,-0.10312256,2300,23,0.1,0.01,0.1416718,-0.68938106,0.01,0.4746282,28.743478260869566,0.20288928,-119.38963033158711,0.01,66110,-118.55210436953467,100,15,0.4164847450537622,0.36545706
-117.18958365409443,-0.2534006,0.01,-100.9820345722333,-0.12032992,2400,24,0.1,0.01,0.12439089,-0.68272984,0.01,0.4887954,28.72833333333333,0.18362758,-119.29796172002493,0.01,68948,-117.18958365409443,100,15,0.42869854674543734,0.358311
-117.8811673425509,-0.24613504,0.01,-100.9820345722333,-0.078903556,2500,25,0.1,0.01,0.12500471,-0.67029077,0.01,0.48229244,28.674,0.21804027,-119.24128994492595,0.01,71685,-117.8811673425509,100,15,0.335793793991647,0.3676589
-119.23386095402846,-0.23367311,0.01,-100.9820345722333,-0.044961706,2600,26,0.1,0.01,0.23655327,-0.67703784,0.01,0.46979198,28.66923076923077,0.27244857,-119.24100421450683,0.01,74540,-119.23386095402846,100,15,0.34444992703037935,0.37853694
-119.4645648857945,-0.21001779,0.01,-100.9820345722333,-0.011940315,2700,27,0.1,0.01,0.108224966,-0.6795513,0.01,0.4650504,28.630370370370372,0.17751756,-119.24928423936933,0.01,77302,-119.4645648857945,100,15,0.308219762202362,0.3909429
-120.27014443113607,-0.20763297,0.01,-100.9820345722333,-0.0437434,2800,28,0.1,0.01,0.19539933,-0.6688386,0.01,0.4542279,28.6025,0.26310506,-119.28574353193241,0.01,80087,-120.27014443113607,100,15,0.3145142023363501,0.38213664
-118.74353189072426,-0.20165272,0.01,-100.9820345722333,-0.043499142,2900,29,0.1,0.01,0.20391952,-0.6522718,0.01,0.45468783,28.538275862068964,0.22102514,-119.2670465787873,0.01,82761,-118.74353189072426,100,15,0.2764427288979125,0.36259672
-119.69479240388378,-0.22204468,0.01,-100.9820345722333,-0.042754054,3000,30,0.1,0.01,0.10914506,-0.6493648,0.01,0.44927278,28.562666666666665,0.17085148,-119.28130477295718,0.01,85688,-119.69479240388378,100,15,0.32884403850768945,0.35668775
-119.24861334442927,-0.21113017,0.01,-100.9820345722333,-0.038074195,3100,31,0.1,0.01,0.17373961,-0.656967,0.01,0.4587655,28.526451612903227,0.28256026,-119.28025021074663,0.01,88432,-119.24861334442927,100,15,0.24760364468341822,0.3517006
-117.53622624339683,-0.22850414,0.01,-100.9820345722333,-0.04764758,3200,32,0.1,0.01,0.074111685,-0.6405169,0.01,0.47373274,28.4853125,0.094815,-119.22574946176694,0.01,91153,-117.53622624339683,100,15,0.29214460302651707,0.35308808
-117.40124981958296,-0.22109297,0.01,-100.9820345722333,-0.03179714,3300,33,0.1,0.01,0.21212144,-0.64492273,0.01,0.474457,28.432424242424243,0.2269124,-119.17046159382197,0.01,93827,-117.40124981958296,100,15,0.2955813517403464,0.3569659
-116.83436905915791,-0.22170496,0.01,-100.9820345722333,0.03308323,3400,34,0.1,0.01,0.1316745,-0.63863873,0.01,0.49566913,28.38529411764706,0.18323879,-119.10175298986124,0.01,96510,-116.83436905915791,100,15,0.4579348597601942,0.3619733
-117.14823827427658,-0.21179135,0.01,-100.9820345722333,-0.022450462,3500,35,0.1,0.01,0.1032318,-0.6433474,0.01,0.48919365,28.31942857142857,0.13488671,-119.04593828370169,0.01,99118,-117.14823827427658,100,14,0.3702101540418649,0.37514073
-118.05499836566374,-0.20564377,0.01,-100.9820345722333,0.023646817,3600,36,0.1,0.01,0.36196896,-0.6413966,0.01,0.49951681,28.275833333333335,0.44685087,-119.01841217486731,0.01,101793,-118.05499836566374,100,14,0.3090836552525997,0.36932886
-116.99466351478506,-0.22232063,0.01,-100.9820345722333,0.029817507,3700,37,0.1,0.01,0.23784715,-0.6051997,0.01,0.48874345,28.19864864864865,0.26116326,-118.96371626513535,0.01,104335,-116.99466351478506,100,14,0.3269694923512176,0.38642737
-115.00942576451746,-0.21277279,0.01,-99.8996137421906,0.10525015,3800,38,0.1,0.01,0.19171917,-0.6040797,0.01,0.5125282,28.07921052631579,0.22709906,-118.85965598880331,0.01,106701,-115.00942576451746,100,14,0.3699466662327622,0.39131963
-115.05041553020101,-0.20677479,0.01,-99.8996137421906,0.09098731,3900,39,0.1,0.01,0.121046506,-0.5849078,0.01,0.5188919,27.96846153846154,0.1550524,-118.76198315653146,0.01,109077,-115.05041553020101,100,14,0.37351421784278654,0.38285175
-115.5676459739568,-0.21887943,0.01,-99.8996137421906,0.12592137,4000,40,0.1,0.01,0.3849976,-0.5835836,0.01,0.52033025,27.87825,0.43544507,-118.68212472696709,0.01,111513,-115.5676459739568,100,14,0.4537925855436963,0.39234212
-114.13861651787951,-0.2573792,0.01,-99.56521832631783,0.08885856,4100,41,0.1,0.01,0.22697356,-0.6034758,0.01,0.5176706,27.782439024390243,0.3099882,-118.5713074535747,0.01,113908,-114.13861651787951,100,14,0.5245692018931847,0.39567643
-114.72717841238251,-0.23468184,0.01,-99.56521832631783,0.017958194,4200,42,0.1,0.01,0.24374104,-0.62055904,0.01,0.5054319,27.716666666666665,0.4017744,-118.47978057164156,0.01,116410,-114.72717841238251,100,13,0.4412510638751146,0.39771023
-116.06158966398317,-0.23289044,0.01,-99.56521832631783,0.052875504,4300,43,0.1,0.01,0.13667643,-0.6433567,0.01,0.5277296,27.655813953488373,0.21684779,-118.42354357378903,0.01,118920,-116.06158966398317,100,13,0.39887603198790716,0.42208433
-115.82884697808582,-0.22578011,0.01,-99.56521832631783,0.15689836,4400,44,0.1,0.01,0.10420785,-0.6354344,0.01,0.5413972,27.59090909090909,0.16910298,-118.36457319661397,0.01,121400,-115.82884697808582,100,13,0.38193920060156034,0.43512678
-114.5984931634607,-0.22762822,0.01,-99.56521832631783,0.13108662,4500,45,0.1,0.01,0.27353403,-0.6260949,0.01,0.5320847,27.500222222222224,0.40243647,-118.28088252921056,0.01,123751,-114.5984931634607,100,13,0.35071957366811296,0.44554758
-115.89005014658991,-0.21434806,0.01,-99.56521832631783,0.13122891,4600,46,0.1,0.01,0.079699665,-0.6534483,0.01,0.5545366,27.421521739130434,0.13363782,-118.22890791219707,0.01,126139,-115.89005014658991,100,13,0.2975438271635648,0.43173122
-116.14201587253851,-0.2063781,0.01,-99.56521832631783,0.10569304,4700,47,0.1,0.01,0.11496421,-0.6609437,0.01,0.5535348,27.367021276595743,0.1221685,-118.18450595390647,0.01,128625,-116.14201587253851,100,13,0.3485069102114838,0.42412296
-115.3620333125572,-0.20506029,0.01,-99.56521832631783,0.18972543,4800,48,0.1,0.01,0.1068121,-0.6570263,0.01,0.5534994,27.314583333333335,0.14841731,-118.12570444054504,0.01,131110,-115.3620333125572,100,13,0.2918890621990181,0.43561938
-116.12799206800973,-0.19801219,0.01,-99.56521832631783,0.086881265,4900,49,0.1,0.01,0.1957392,-0.6605386,0.01,0.5428182,27.271836734693878,0.30801085,-118.08493480028919,0.01,133632,-116.12799206800973,100,13,0.34070459559457306,0.42897284
-116.0048665265073,-0.2094135,0.01,-99.56521832631783,0.12220642,5000,50,0.1,0.01,0.115499504,-0.64943004,0.01,0.56048673,27.225,0.15108679,-118.04333343481356,0.01,136125,-116.0048665265073,100,13,0.33817823681350184,0.4093989
