ReturnMean,AvgRet,ReturnMax,NatGrad2Norm,NatGradInftyNorm,MountainCar_mu0_higher,J,BatchSize,VarJ,MinEpLen,MountainCar_std0_higher,MountainCar_mu1_higher,Iteration,TimestepsSoFar,MountainCar_std1_higher,StepSize,ActionIn1,AvgEpLen,NumTrajectories
-0.06309450952571372,-0.3189691725742292,-6.896648600482938e-06,0.013182456,0.012621832,0.05171383,-0.06309450952571372,100,8.925204000006656e-05,500,0.14999999,-0.99866194,1,50000,1.5,0.001,-0.32980525,500.0,100
-0.08127895609857518,-0.5046754811334049,-6.888539587554455e-06,0.03381441,0.02774029,0.05171003,-0.09946340267143663,100,0.00024956665404942486,500,0.14999999,-0.9986493,2,50000,1.5,0.001,-3.9230304,500.0,200
-0.07363599969781738,-0.29548516324782415,-6.888539587554455e-06,0.002693754,0.0026849317,0.05169069,-0.058350086896301806,100,5.6877991758369315e-05,500,0.14999999,-0.998677,3,50000,1.5,0.001,-0.24904466,500.0,300
-0.07788761131791906,-0.45976956330188706,-3.2522486488137728e-06,0.019480608,0.01563666,0.051688004,-0.09064244617822405,100,0.00016833852970916775,500,0.14999999,-0.9986768,4,50000,1.5,0.001,-0.39579526,500.0,400
-0.07740104825885367,-0.3825680084701283,-3.2522486488137728e-06,0.012360467,0.01116089,0.051676385,-0.07545479602259224,100,0.00011714848702152567,500,0.14999999,-0.99866116,5,50000,1.5,0.001,-2.460841,500.0,500
-0.07902705885327845,-0.44196991955091197,-3.2522486488137728e-06,0.008253913,0.00821984,0.051665224,-0.0871571118254022,100,0.00011053493137576482,500,0.14999999,-0.99866647,6,50000,1.5,0.001,0.6803983,500.0,600
-0.07950708455127124,-0.4180835437820422,-3.2522486488137728e-06,0.014676364,0.012264897,0.051657006,-0.08238723873922792,100,0.00010111983941773196,500,0.14999999,-0.99866724,7,50000,1.5,0.001,-0.2542922,500.0,700
-0.07823244526199566,-0.3509956336805022,-3.2522486488137728e-06,0.044045527,0.0433213,0.051648945,-0.06930997023706668,100,0.00011327212201389765,500,0.14999999,-0.99865496,8,50000,1.5,0.001,-2.4730732,500.0,800
-0.0753157582689794,-0.26137557565160935,-3.2522486488137728e-06,0.0034087033,0.0027908569,0.05164099,-0.05198226232484937,100,4.361867903281362e-05,500,0.14999999,-0.9986983,9,50000,1.5,0.001,-0.6968646,500.0,900
-0.07685118870110151,-0.46002868614244685,-3.2522486488137728e-06,0.013775361,0.01158313,0.051639035,-0.09067006259020056,100,0.000167814751632292,500,0.14999999,-0.9986955,10,50000,1.5,0.001,-2.3243053,500.0,1000
