ActionIn1,StepSize,ReturnMean,ReturnMax,TimestepsSoFar,BatchSize,AvgRet,VarJ,MountainCar_mu0_higher,MountainCar_std0_higher,NatGradInftyNorm,MountainCar_std1_higher,J,NumTrajectories,AvgEpLen,Iteration,MinEpLen,MountainCar_mu1_higher,NatGrad2Norm
0.8603903,0.01,-0.6779650162478668,-0.05426376004149096,50000,100,-3.4377626049465557,0.0027712307467661172,0.40025148,0.14999999,0.08439115,1.5,-0.6779650162478668,100,500.0,1,500,0.9164054,0.08470068
4.8503995,0.01,-0.6447518341096568,-7.47905139595682e-06,50000,100,-3.1464584355978626,0.002820409009743609,0.39940757,0.14999999,0.24762325,1.5,-0.6115386519714466,200,500.0,2,500,0.916333,0.25659016
-3.4700189,0.01,-0.675128127292156,-7.47905139595682e-06,50000,100,-3.7880415398489333,0.003926422305173684,0.39873517,0.14999999,0.14975235,1.5,-0.7358807136571545,300,500.0,3,500,0.9138568,0.18693581
2.8287444,0.01,-0.6597061518376063,-7.47905139595682e-06,50000,100,-3.1449257248596836,0.0027208344481581925,0.39761627,0.14999999,0.09279038,1.5,-0.6134402254739573,400,500.0,4,500,0.9123593,0.115192614
0.9211186,0.01,-0.6525759202121891,-7.47905139595682e-06,50000,100,-3.2156444139568587,0.0025048001491982676,0.39693367,0.14999999,0.07000979,1.5,-0.6240549937105202,500,500.0,5,500,0.9132872,0.07006139
0.45243266,0.01,-0.6494694055314111,-7.47905139595682e-06,50000,100,-3.2327071735246244,0.0029436347275538038,0.3962336,0.14999999,0.07978361,1.5,-0.6339368321275213,600,500.0,6,500,0.91326034,0.10218967
2.5332477,0.01,-0.6499225327249948,-7.47905139595682e-06,50000,100,-3.3183491721158815,0.0019015424295714825,0.39543575,0.14999999,0.06686305,1.5,-0.6526412958864968,700,500.0,7,500,0.9138989,0.06903726
1.8232423,0.01,-0.6397971723038679,-7.47905139595682e-06,50000,100,-2.921057056942131,0.001925896240746582,0.3947671,0.14999999,0.20910843,1.5,-0.56891964935598,800,500.0,8,500,0.913727,0.21447097
-0.10396701,0.01,-0.6323445556992773,-7.47905139595682e-06,50000,100,-2.9070086148124203,0.001731213986610482,0.3942905,0.14999999,0.06899228,1.5,-0.5727236228625527,900,500.0,9,500,0.9116359,0.08494688
0.67927957,0.01,-0.6298957830513051,-7.47905139595682e-06,50000,100,-3.1159720798312582,0.0020948306386392775,0.39379492,0.14999999,0.06036349,1.5,-0.6078568292195553,1000,500.0,10,500,0.9123258,0.07692741
-0.11756766,0.01,-0.6313918297652168,-7.47905139595682e-06,50000,100,-3.3131211892729637,0.002307347410114771,0.39319128,0.14999999,0.13968445,1.5,-0.646352296904333,1100,500.0,11,500,0.9128027,0.15759516
0.9119513,0.01,-0.6325085926572411,-7.47905139595682e-06,50000,100,-3.3043479899985355,0.0033688348217450438,0.3924616,0.14999999,0.3423445,1.5,-0.6447929844695088,1200,500.0,12,500,0.91140586,0.35355818
3.2926517,0.01,-0.6275377402362107,-7.47905139595682e-06,50000,100,-2.8930301398514326,0.002230566201799144,0.39157823,0.14999999,0.11421097,1.5,-0.5678875111838455,1300,500.0,13,500,0.9079824,0.1288028
