ActionIn1,StepSize,ReturnMean,ReturnMax,TimestepsSoFar,BatchSize,AvgRet,VarJ,MountainCar_mu0_higher,MountainCar_std0_higher,NatGradInftyNorm,MountainCar_std1_higher,J,NumTrajectories,AvgEpLen,Iteration,MinEpLen,MountainCar_mu1_higher,NatGrad2Norm
1.7618937,0.01,-0.6285534224400983,-7.47905139595682e-06,50000,100,-3.3337683502133246,0.0037523536603550002,0.39098275,0.14999999,0.10198628,1.5,-0.6417572910906366,1400,500.0,14,500,0.9068403,0.13909253
3.3925104,0.01,-0.624963136241637,-7.47905139595682e-06,50000,100,-2.9715705149975093,0.0025333960733961002,0.39003694,0.14999999,0.10889139,1.5,-0.5746991294631784,1500,500.0,15,500,0.9058205,0.12655944
3.1435342,0.01,-0.6220216170392786,-7.47905139595682e-06,50000,100,-2.9508679673791893,0.0017976823428708221,0.38939196,0.14999999,0.055435278,1.5,-0.5778988290039044,1600,500.0,16,500,0.9047316,0.074429326
4.043261,0.01,-0.6188237933246116,-7.47905139595682e-06,50000,100,-2.901340080049974,0.0021021109371270174,0.3888376,0.14999999,0.07960553,1.5,-0.5676586138899384,1700,500.0,17,500,0.90423495,0.09902795
1.0921657,0.01,-0.6155736299341413,-7.47905139595682e-06,50000,100,-2.876815627394058,0.0018014240297911683,0.3882486,0.14999999,0.052855875,1.5,-0.5603208522961479,1800,500.0,18,500,0.905031,0.0549434
1.5686318,0.01,-0.6152445205057102,-7.47905139595682e-06,50000,100,-3.1138741220990385,0.0024358928304435345,0.38772005,0.14999999,0.07236527,1.5,-0.6093205507939485,1900,500.0,19,500,0.904881,0.09256696
0.9044269,0.01,-0.6167283359674023,-7.47905139595682e-06,50000,100,-3.2912997229651824,0.0024125967529715427,0.3869964,0.14999999,0.11128186,1.5,-0.6449208297395508,2000,500.0,20,500,0.9043038,0.13742647
2.6466012,0.01,-0.6145248951885303,-7.47905139595682e-06,50000,100,-2.8931817044798707,0.0016315345786376645,0.38619003,0.14999999,0.053767364,1.5,-0.5704560796110909,2100,500.0,21,500,0.903191,0.05829281
0.2924924,0.01,-0.6121892523271165,-7.47905139595682e-06,50000,100,-2.873966648748152,0.0017858895707509826,0.38565236,0.14999999,0.20997371,1.5,-0.5631407522374291,2200,500.0,22,500,0.90341616,0.21601497
0.5055019,0.01,-0.6131338374363116,-7.47905139595682e-06,50000,100,-3.2534219824489568,0.002681482793998509,0.38514507,0.14999999,0.08219987,1.5,-0.6339147098386015,2300,500.0,23,500,0.9013164,0.08458457
2.9180994,0.01,-0.612212360003875,-7.47905139595682e-06,50000,100,-3.0112492134176083,0.002082869818051745,0.38432306,0.14999999,0.06821765,1.5,-0.5910183790578365,2400,500.0,24,500,0.90151584,0.0940322
3.3391786,0.01,-0.6085481846415994,-7.47905139595682e-06,50000,100,-2.6423170338017434,0.001314558625019685,0.38367587,0.14999999,0.04946001,1.5,-0.5206079759469838,2500,500.0,25,500,0.90083367,0.062243283
1.487356,0.01,-0.6075122405050875,-7.47905139595682e-06,50000,100,-3.000899014222691,0.0028328722655709287,0.38329798,0.14999999,0.07424033,1.5,-0.5816136370922912,2600,500.0,26,500,0.90132827,0.094181195
1.030678,0.01,-0.607567339009302,-7.47905139595682e-06,50000,100,-3.0897970481650923,0.002081664189231131,0.38255557,0.14999999,0.06932017,1.5,-0.6089999001188788,2700,500.0,27,500,0.9007487,0.082501724
0.21349639,0.01,-0.6074474492044547,-7.47905139595682e-06,50000,100,-3.075206379780246,0.0022389932340577206,0.38186237,0.14999999,0.06850291,1.5,-0.6042104244735775,2800,500.0,28,500,0.90119606,0.078641236
0.4783606,0.01,-0.6072761036338911,-7.47905139595682e-06,50000,100,-3.09298813421266,0.0027085333453071726,0.38117734,0.14999999,0.07727474,1.5,-0.6024784276581078,2900,500.0,29,500,0.9008098,0.09077987
2.435468,0.01,-0.6044872214952733,-7.47905139595682e-06,50000,100,-2.6590706352487636,0.001706838263121629,0.3804046,0.14999999,0.13621175,1.5,-0.5236096394753613,3000,500.0,30,500,0.9003334,0.14455114
-1.6404853,0.01,-0.6052786902799445,-7.47905139595682e-06,50000,100,-3.222333628732552,0.001869364662883555,0.37992072,0.14999999,0.22546025,1.5,-0.6290227538200763,3100,500.0,31,500,0.89897126,0.2368923
-0.6691417,0.01,-0.6056576177682945,-7.47905139595682e-06,50000,100,-3.1532245703089843,0.0028267801112238622,0.3791937,0.14999999,0.08639158,1.5,-0.6174043699071455,3200,500.0,32,500,0.89671665,0.092020646
2.1845806,0.01,-0.6047442953152149,-7.47905139595682e-06,50000,100,-2.922855637083212,0.002306260748930106,0.37832978,0.14999999,0.070996694,1.5,-0.5755179768166654,3300,500.0,33,500,0.89639974,0.09958337
0.3655756,0.01,-0.6027731206984243,-7.47905139595682e-06,50000,100,-2.7503479042599643,0.001796267179077127,0.3776198,0.14999999,0.052539226,1.5,-0.5377243583443331,3400,500.0,34,500,0.89709806,0.07204914
0.52066255,0.01,-0.5999000929686082,-7.47905139595682e-06,50000,100,-2.543193385071244,0.0017164334409479822,0.37709442,0.14999999,0.28936014,1.5,-0.5022171501548667,3500,500.0,35,500,0.8975911,0.29300427
1.3171058,0.01,-0.5986328022542297,-7.47905139595682e-06,50000,100,-2.8164535100868964,0.002039156140568173,0.37663373,0.14999999,0.061453,1.5,-0.5542776272509843,3600,500.0,36,500,0.90048474,0.07486873
2.590335,0.01,-0.5990716754613469,-7.47905139595682e-06,50000,100,-3.165480257181408,0.0019550243242934225,0.3760192,0.14999999,0.20375787,1.5,-0.6148711109175576,3700,500.0,37,500,0.9009124,0.21597041
2.2791474,0.01,-0.5968856800498761,-7.47905139595682e-06,50000,100,-2.6392250716326497,0.0014781984558026736,0.37530324,0.14999999,0.122300275,1.5,-0.5160038498254594,3800,500.0,38,500,0.8988748,0.13035929
2.5838883,0.01,-0.5942327090897813,-7.47905139595682e-06,50000,100,-2.5008973507153396,0.0015079815196582134,0.374852,0.14999999,0.041310653,1.5,-0.49341981260617956,3900,500.0,39,500,0.8976518,0.041743644
1.4103746,0.01,-0.592795546212402,-7.47905139595682e-06,50000,100,-2.740173949555421,0.0017312643225804692,0.37443888,0.14999999,0.053176083,1.5,-0.5367461939946144,4000,500.0,40,500,0.89771175,0.057365682
1.0072436,0.01,-0.5910487230675335,-7.47905139595682e-06,50000,100,-2.6851050376830625,0.002062559260643716,0.37390712,0.14999999,0.05506121,1.5,-0.5211757972727914,4100,500.0,41,500,0.897927,0.055227935
0.3367765,0.01,-0.5882944758572782,-7.47905139595682e-06,50000,100,-2.4284887128068657,0.00158562325495078,0.37335652,0.14999999,0.038585193,1.5,-0.47537034023681385,4200,500.0,42,500,0.89788413,0.041802205
-1.5535814,0.01,-0.5881461413595167,-7.47905139595682e-06,50000,100,-2.9854691027492994,0.002148651903193182,0.37297067,0.14999999,0.3510219,1.5,-0.5819160924535306,4300,500.0,43,500,0.8977233,0.35764408
1.153469,0.01,-0.5868083362739098,-7.47905139595682e-06,50000,100,-2.710311312674747,0.0024395026000768273,0.37228563,0.14999999,0.2102546,1.5,-0.5292827175928138,4400,500.0,44,500,0.8942131,0.21998863
-0.7690771,0.01,-0.5868928488271775,-7.47905139595682e-06,50000,100,-3.001804635861545,0.002205112722288601,0.37163848,0.14999999,0.10733209,1.5,-0.5906114011709578,4500,500.0,45,500,0.8921105,0.13153462
1.5314214,0.01,-0.5843052974837206,-7.47905139595682e-06,50000,100,-2.3792513231586945,0.0014530868674469926,0.37087813,0.14999999,0.03532606,1.5,-0.46786548702815495,4600,500.0,46,500,0.8931838,0.0495165
-0.8583005,0.01,-0.5842079602845826,-7.47905139595682e-06,50000,100,-2.9556338324325777,0.001896676349891368,0.37053114,0.14999999,0.06769473,1.5,-0.5797304491242354,4700,500.0,47,500,0.89283055,0.069971174
2.4453106,0.01,-0.5838975492045267,-7.47905139595682e-06,50000,100,-2.90183366750618,0.0015948818675004897,0.36985418,0.14999999,0.05917484,1.5,-0.5693082284418979,4800,500.0,48,500,0.8930076,0.05949613
-0.69614494,0.01,-0.58218291922468,-7.47905139595682e-06,50000,100,-2.539813338509053,0.002597941332956682,0.36926243,0.14999999,0.10576264,1.5,-0.4998806801920391,4900,500.0,49,500,0.8929458,0.1235989
-2.2704937,0.01,-0.579767731017099,-7.47905139595682e-06,50000,100,-2.361642353331047,0.001420875600739797,0.3686228,0.14999999,0.04179741,1.5,-0.4614235088456249,5000,500.0,50,500,0.89400345,0.055891663
