MountainCar_mu1_higher,VarJ,TimestepsSoFar,AvgRet,MountainCar_mu0_higher,ActionIn1,MountainCar_std1_higher,MinEpLen,NatGrad2Norm,BatchSize,AvgEpLen,ReturnMax,Iteration,StepSize,MountainCar_std0_higher,NatGradInftyNorm,ReturnMean,NumTrajectories,J
-0.99866194,8.925204000006656e-05,50000,-0.3189691725742292,0.05171383,-0.32980525,1.5,500,0.013182456,100,500.0,-6.896648600482938e-06,1,1.0,0.14999999,0.012621832,-0.06309450952571372,100,-0.06309450952571372
-0.9860401,0.00023960351693612516,50000,-0.49639048720482165,0.047910348,-3.914221,1.5,500,0.033247653,100,500.0,-6.369963093330057e-06,2,1.0,0.14999999,0.027537301,-0.0804613701344967,200,-0.09782823074327965
-1.0135775,4.757152907515493e-05,50000,-0.27520288073532123,0.029279634,-0.28635615,1.5,500,0.0025095202,100,500.0,-6.369963093330057e-06,3,1.0,0.14999999,0.002491074,-0.07177518116902208,300,-0.05440280323807291
-1.0110863,0.00013674436802863527,50000,-0.4183109762433098,0.028975919,-0.4309169,1.5,500,0.014152663,100,500.0,-6.369963093330057e-06,4,1.0,0.14999999,0.01174396,-0.07446043208171625,400,-0.0825161848197987
-0.9993424,8.389938022064798e-05,50000,-0.32008455229026345,0.02107799,-2.4921207,1.5,500,0.0076065017,100,500.0,-6.369963093330057e-06,5,1.0,0.14999999,0.0072613773,-0.07220988747173587,500,-0.06320770903181433
-1.0016077,8.22441203915696e-05,50000,-0.38025515548423683,0.013816614,0.6396085,1.5,500,0.0038638827,100,500.0,-1.8591079846184218e-06,6,1.0,0.14999999,0.0029984172,-0.07269132222446419,600,-0.07509849598810578
-0.99860924,7.116274153828411e-05,50000,-0.3606505741348047,0.01137959,-0.29451162,1.5,500,0.009173717,100,500.0,-1.8591079846184218e-06,7,1.0,0.14999999,0.008910185,-0.0724726183789771,700,-0.0711603953060546
-0.98969907,7.901973500689406e-05,50000,-0.29469339324122745,0.009196544,-2.5065696,1.5,500,0.030071195,100,500.0,-1.8591079846184218e-06,8,1.0,0.14999999,0.029934773,-0.07069868092789192,800,-0.05828111877029556
-1.0196339,3.5608547231294555e-05,50000,-0.23607677052005155,0.0063353963,-0.76310575,1.5,500,0.0063453573,100,500.0,-1.8591079846184218e-06,9,1.0,0.14999999,0.0059325756,-0.06807587496027101,900,-0.04709342721930385
-1.0137013,0.00011937667586243864,50000,-0.3851751345969234,0.008586642,-2.3823633,1.5,500,0.0063707926,100,500.0,-1.8591079846184218e-06,10,1.0,0.14999999,0.0047641345,-0.06887081272051603,1000,-0.07602525256272114
-1.017931,7.015916456369486e-05,50000,-0.32139004480766487,0.0038225078,-0.18851954,1.5,500,0.01510774,100,500.0,-1.8591079846184218e-06,11,1.0,0.14999999,0.012964313,-0.06839354264676005,1100,-0.06362084190920045
-1.0308954,8.761693201171098e-05,50000,-0.29167327847070845,-0.003934449,-1.1718516,1.5,500,0.0020663599,100,500.0,-1.8591079846184218e-06,12,1.0,0.14999999,0.0019929446,-0.0675141327400577,1200,-0.057840623766331846
-1.0289024,6.188411567032502e-05,50000,-0.3251561804869786,-0.0033885418,-2.6198168,1.5,500,0.033500485,100,500.0,-1.8591079846184218e-06,13,1.0,0.14999999,0.0330368,-0.06726032633305716,1300,-0.0642146494490507
-1.0619392,6.24797845503043e-05,50000,-0.30474995862985343,-0.008943041,-2.9920006,1.5,500,0.017304378,100,500.0,-1.8591079846184218e-06,14,1.0,0.14999999,0.017194783,-0.06676240799603567,1400,-0.06028946961475615
-1.079134,9.623403134799712e-05,50000,-0.35017982533439024,-0.006998576,-5.2627516,1.5,500,0.009027823,100,500.0,-1.8591079846184218e-06,15,1.0,0.14999999,0.008445368,-0.06693445733756107,1500,-0.06934314811891676
-1.0759438,4.112121887161094e-05,50000,-0.2311547084262848,-0.015443944,-1.4663901,1.5,500,0.031230936,100,500.0,-1.8591079846184218e-06,16,1.0,0.14999999,0.031229094,-0.0656103657760917,1600,-0.04574899235405102
-1.107173,8.125543209627977e-05,50000,-0.333324715897585,-0.015104674,0.5302001,1.5,500,0.009516935,100,500.0,-1.8591079846184218e-06,17,1.0,0.14999999,0.008502753,-0.06563289919566523,1700,-0.0659934339088416
-1.0986702,7.474832217425338e-05,50000,-0.34686119119297637,-0.019379627,-1.2042294,1.5,500,0.013305478,100,500.0,-1.8591079846184218e-06,18,1.0,0.14999999,0.012323318,-0.06580293749040103,1800,-0.06869358850090986
-1.1109935,9.079453890213833e-05,50000,-0.3364582075649041,-0.014362497,-0.62433314,1.5,500,0.018332817,100,500.0,-1.8591079846184218e-06,19,1.0,0.14999999,0.01795398,-0.065847800700922,1900,-0.06665533849029949
