MountainCar_mu0_higher,ReturnMean,MinEpLen,Iteration,AvgEpLen,NumTrajectories,J,MountainCar_std0_higher,VarJ,TimestepsSoFar,NatGrad2Norm,ActionIn1,NatGradInftyNorm,MountainCar_std1_higher,BatchSize,MountainCar_mu1_higher,ReturnMax,StepSize,AvgRet
-0.79315424,-1.3725902458163028,500,1,500.0,100,-1.3725902458163028,0.14999999,0.0017670129832850325,50000,0.09087578,-1.5687647,0.090568066,1.5,100,0.60902077,-0.6084713348704734,0.001,-6.942817822256652
-0.7930637,-1.363997786469373,500,2,500.0,200,-1.355405327122443,0.14999999,0.001647762036706158,50000,0.29970244,-1.1026592,0.28978008,1.5,100,0.6090282,-0.5992286055250398,0.001,-6.861381298945084
-0.7929872,-1.3450585566243654,500,3,500.0,300,-1.3071800969343506,0.14999999,0.0016897341299739984,50000,0.11496893,-0.19496432,0.10096196,1.5,100,0.6087384,-0.4479001114856093,0.001,-6.60993131056989
-0.7929322,-1.345753661037531,500,4,500.0,400,-1.347838974277026,0.14999999,0.001615640539414807,50000,0.0804173,1.4643464,0.06986672,1.5,100,0.6088394,-0.4479001114856093,0.001,-6.82652334737901
-0.79286236,-1.3475573817209372,500,5,500.0,500,-1.3547722644545634,0.14999999,0.0017867851688757727,50000,0.3504737,-2.305393,0.341666,1.5,100,0.6087996,-0.4479001114856093,0.001,-6.857848092992096
-0.7927843,-1.3400738349690633,500,6,500.0,600,-1.3026561012096953,0.14999999,0.0021665084912705856,50000,0.3974076,1.340734,0.39261776,1.5,100,0.60914123,-0.4479001114856093,0.001,-6.6362124722960845
-0.79272276,-1.3343493802660809,500,7,500.0,700,-1.300002652048186,0.14999999,0.0019866206888208096,50000,0.05814089,2.0940208,0.05796713,1.5,100,0.6087486,-0.27758739334731347,0.001,-6.579462966627245
-0.79266477,-1.336225121683101,500,8,500.0,800,-1.34935531160224,0.14999999,0.001717487616683715,50000,0.083417945,-0.2509032,0.07669757,1.5,100,0.60874414,-0.27758739334731347,0.001,-6.82653648255413
-0.79258806,-1.3259596936045088,500,9,500.0,900,-1.2438362689757727,0.14999999,0.0014496270334103541,50000,0.06498344,0.5958583,0.062089767,1.5,100,0.6087769,-0.27758739334731347,0.001,-6.298362142012093
-0.79256886,-1.3314867346656283,500,10,500.0,1000,-1.3812301042157022,0.14999999,0.0017170879262568255,50000,0.10867996,-0.42699236,0.09218098,1.5,100,0.6087148,-0.27758739334731347,0.001,-6.9968761547196205
-0.79247665,-1.3282537617749,500,11,500.0,1100,-1.2959240328676185,0.14999999,0.002149865034495903,50000,0.17903832,-2.0863147,0.1674073,1.5,100,0.60865724,-0.27758739334731347,0.001,-6.5555503792545515
-0.7924132,-1.3353967389161434,500,12,500.0,1200,-1.413969487469819,0.14999999,0.002436741649049559,50000,0.20729095,-0.8789705,0.16492043,1.5,100,0.6088247,-0.27758739334731347,0.001,-7.172408380290772
-0.7922876,-1.331295482809395,409,13,499.09,1300,-1.2820804095284186,0.14999999,0.0022695925660177487,49909,0.061570607,-1.48874,0.06155053,1.5,100,0.60865974,0.15516782134367357,0.001,-5.579910907074564
-0.792226,-1.3309417764239788,500,14,500.0,1400,-1.3263435934135668,0.14999999,0.001404238829118981,50000,0.17276065,-1.3986554,0.1626215,1.5,100,0.6086613,0.15516782134367357,0.001,-6.711570578232394
-0.7921677,-1.3329447720812355,500,15,500.0,1500,-1.3609867112828276,0.14999999,0.002061855972292159,50000,0.2842442,-1.2143104,0.2696817,1.5,100,0.6084987,0.15516782134367357,0.001,-6.905124921459645
