AvgRet,MinEpLen,ReturnMax,NumTrajectories,MountainCar_std0_higher,J,NatGradInftyNorm,NatGrad2Norm,Iteration,BatchSize,StepSize,MountainCar_mu1_higher,ActionIn1,ReturnMean,MountainCar_mu0_higher,AvgEpLen,VarJ,TimestepsSoFar,MountainCar_std1_higher
-6.942817822256652,500,-0.6084713348704734,100,0.14999999,-1.3725902458163028,0.090568066,0.09087578,1,100,0.01,0.60902077,-1.5687647,-1.3725902458163028,-0.79315424,500.0,0.0017670129832850325,50000,1.5
-6.849620596199457,500,-0.5975341441284505,200,0.14999999,-1.3530912902005234,0.2893245,0.2992448,2,100,0.01,0.6090955,-1.1017768,-1.3628407680084136,-0.79224855,500.0,0.0016457942688189663,50000,1.5
-6.588540122852504,500,-0.4451047448285244,300,0.14999999,-1.3029652812060084,0.10067912,0.11469167,3,100,0.01,0.60620224,-0.19599769,-1.3428822724076115,-0.7914844,500.0,0.0016857637015439124,50000,1.5
-6.797542561190291,500,-0.4451047448285244,400,0.14999999,-1.3421471805085625,0.0697262,0.080306925,4,100,0.01,0.607209,1.4647131,-1.3426984994328495,-0.79093504,500.0,0.0016110204469800948,50000,1.5
-6.81984690666567,500,-0.4451047448285244,500,0.14999999,-1.3472970355231086,0.34014025,0.34893847,5,100,0.01,0.60681057,-2.3047574,-1.3436182066509013,-0.7902378,500.0,0.0017796708605020738,50000,1.5
-6.588642487817959,500,-0.4451047448285244,600,0.14999999,-1.2933685344718109,0.39032775,0.39512777,6,100,0.01,0.61021197,1.3451298,-1.3352432612877196,-0.78945917,500.0,0.0021550181030739277,50000,1.5
-6.524519912169531,500,-0.271692020198299,700,0.14999999,-1.2891704999667875,0.057837613,0.057978623,7,100,0.01,0.6063087,2.0954585,-1.3286614382418722,-0.7888451,500.0,0.0019741654836993956,50000,1.5
-6.763313571920796,500,-0.271692020198299,800,0.14999999,-1.3369121455842647,0.07634533,0.083042264,8,100,0.01,0.6062683,-0.248981,-1.3296927766596713,-0.7882667,500.0,0.0017065143475538335,50000,1.5
-6.2270885452531015,500,-0.271692020198299,900,0.14999999,-1.2298104347550707,0.06161195,0.06457034,9,100,0.01,0.606595,0.5987611,-1.3185947386702712,-0.78750324,500.0,0.0014371897263796803,50000,1.5
-6.9204820909089895,500,-0.271692020198299,1000,0.14999999,-1.3662203633725658,0.09158016,0.10803506,10,100,0.01,0.60597885,-0.42446947,-1.3233573011405007,-0.78731,500.0,0.0017026047597239551,50000,1.5
-6.469876782210107,500,-0.271692020198299,1100,0.14999999,-1.2790508100820086,0.1652675,0.17696108,11,100,0.01,0.60540575,-2.0834837,-1.3193294383170013,-0.7863942,500.0,0.002128762101558326,50000,1.5
-7.075276261227442,500,-0.271692020198299,1200,0.14999999,-1.3948989531926514,0.1628672,0.20504361,12,100,0.01,0.6070584,-0.8740851,-1.3256268978899721,-0.7857616,500.0,0.00241290145360323,50000,1.5
-5.470430728872658,409,0.18084085503459124,1300,0.14999999,-1.260472493400763,0.061283093,0.061316412,13,100,0.01,0.6054297,-1.4841983,-1.3206150206215714,-0.7845159,499.09,0.0022460161324827413,49909,1.5
-6.592742357480628,500,0.18084085503459124,1400,0.14999999,-1.3029519290142508,0.15909432,0.1692831,14,100,0.01,0.6054499,-1.3935438,-1.3193533712210486,-0.78390306,500.0,0.0013859837722509836,50000,1.5
-6.7775046468102325,500,0.18084085503459124,1500,0.14999999,-1.3359452813126935,0.26297328,0.27761272,15,100,0.01,0.60385895,-1.2101071,-1.3204594985604914,-0.78332466,500.0,0.002033804338445326,50000,1.5
-6.814395894141925,500,0.18084085503459124,1600,0.14999999,-1.3407706122688825,0.168172,0.1929126,16,100,0.01,0.6064887,-2.1527143,-1.321728943167266,-0.78243506,500.0,0.0021366351118189846,50000,1.5
-6.279638900465502,500,0.18084085503459124,1700,0.14999999,-1.2391042740988347,0.042642694,0.042643886,17,100,0.01,0.60480696,-2.308001,-1.3168686685161817,-0.7814899,500.0,0.0018654009026657379,50000,1.5
-6.586475408065208,500,0.18084085503459124,1800,0.14999999,-1.299188142201967,0.063784294,0.084381774,18,100,0.01,0.6048102,-1.464531,-1.315886417054281,-0.7810635,500.0,0.0013481471700727225,50000,1.5
-6.507113889195701,500,0.18084085503459124,1900,0.14999999,-1.2801141470539255,0.2536545,0.25988132,19,100,0.01,0.60417235,1.1834104,-1.3140036660016308,-0.7805111,500.0,0.0016486651143033492,50000,1.5
-6.770786326171402,500,0.18084085503459124,2000,0.14999999,-1.3337638215326573,0.08852949,0.08883903,20,100,0.01,0.6016358,-0.67584145,-1.3149916737781822,-0.7799456,500.0,0.0019062930196539465,50000,1.5
-5.346047144639044,471,0.18084085503459124,2100,0.14999999,-1.2437226401533752,0.07049608,0.08598937,21,100,0.01,0.6017099,0.47103757,-1.3115979102722388,-0.7790603,499.71,0.0017544924246167195,49971,1.5
-6.513002556670362,500,0.18084085503459124,2200,0.14999999,-1.2905021161723016,0.3240312,0.33309314,22,100,0.01,0.60241485,-0.3551747,-1.3106390105404235,-0.7785679,500.0,0.002003820930291303,50000,1.5
