MountainCar_mu0_higher,MountainCar_std1_higher,J,VarJ,MountainCar_mu1_higher,StepSize,NumTrajectories,MinEpLen,Iteration,ReturnMax,BatchSize,ReturnMean,TimestepsSoFar,AvgRet,AvgEpLen,NatGradInftyNorm,NatGrad2Norm,MountainCar_std0_higher,ActionIn1
-0.4416444,1.5,-0.45628552085709834,0.0005529518441252606,-0.8971903,0.1,100,500,1,-0.00010227112839682561,100,-0.45628552085709834,50000,-2.2992829136054445,500.0,0.024601443,0.02461328,0.14999999,3.768553
-0.43918425,1.5,-0.5205127664592046,0.0009110854155798187,-0.8971139,0.1,200,500,2,-0.00010227112839682561,100,-0.48839914365815146,50000,-2.6252350921251115,500.0,0.10538174,0.119210936,0.14999999,-1.0479339
-0.43361115,1.5,-0.4958874455112452,0.0006637839352597647,-0.88657576,0.1,300,500,3,-0.00010227112839682561,100,-0.49089524427584935,50000,-2.4987069906652137,500.0,0.04261261,0.04357843,0.14999999,-1.4617867
-0.4293499,1.5,-0.4204050980697832,0.0005645717337569331,-0.8874881,0.1,400,500,4,-0.00010227112839682561,100,-0.47327270772433283,50000,-2.1191161584100526,500.0,0.063623674,0.0673715,0.14999999,1.6248064
-0.42713416,1.5,-0.49122870661127555,0.001003893042752441,-0.8938505,0.1,500,500,5,-0.00010227112839682561,100,-0.4768639075017214,50000,-2.4736371965733137,500.0,0.17400761,0.18309328,0.14999999,-3.69951
-0.4214381,1.5,-0.4115404308256368,0.00076546044284484,-0.87644976,0.1,600,500,6,-0.00010227112839682561,100,-0.4659766613890406,50000,-2.071442355820329,500.0,0.03170274,0.0319248,0.14999999,-2.0275457
-0.41826782,1.5,-0.45888680108888186,0.0009486939947025298,-0.8760739,0.1,700,500,7,-0.00010227112839682561,100,-0.46496382420330373,50000,-2.310814722946782,500.0,0.1771751,0.1846543,0.14999999,-1.5572876
-0.4130657,1.5,-0.44857479237607767,0.0009300354509312795,-0.85835636,0.1,800,500,8,-0.00010227112839682561,100,-0.46291519522490043,50000,-2.260629835764737,500.0,0.0913771,0.104526445,0.14999999,-0.4007954
-0.40799028,1.5,-0.44066415867818015,0.0007682540771805448,-0.84921867,0.1,900,500,9,-0.00010227112839682561,100,-0.46044285783082045,50000,-2.220133940949116,500.0,0.14398305,0.15064439,0.14999999,-0.40477747
-0.40356013,1.5,-0.43200814352348277,0.0007088115989888129,-0.86361694,0.1,1000,500,10,-0.00010227112839682561,100,-0.45759938640008657,50000,-2.177641556641363,500.0,0.081332974,0.09138165,0.14999999,-1.9690697
-0.39939412,1.5,-0.41307553497637806,0.0006289448404421601,-0.87175024,0.1,1100,500,11,-0.00010227112839682561,100,-0.45355176354338583,50000,-2.080756695185709,500.0,0.05545529,0.06583315,0.14999999,-0.24451244
-0.39584628,1.5,-0.4166643917258146,0.0007129199394626806,-0.8662047,0.1,1200,500,12,-1.3854467718804374e-05,100,-0.4504778158919216,50000,-2.098206556588505,500.0,0.0415148,0.04155258,0.14999999,-1.5486894
-0.39169478,1.5,-0.355539813552613,0.0006117619290641812,-0.86602753,0.1,1300,500,13,-1.3854467718804374e-05,100,-0.4431748926350516,50000,-1.7900588523030643,500.0,0.052105896,0.05833456,0.14999999,-2.2134032
-0.389072,1.5,-0.42719502028133294,0.0006022232317217355,-0.86081696,0.1,1400,500,14,-1.3854467718804374e-05,100,-0.44203347318121466,50000,-2.1501391820602045,500.0,0.1300182,0.13686125,0.14999999,-2.0649116
-0.38479853,1.5,-0.3547732962687756,0.000544676856580385,-0.87381876,0.1,1500,500,15,-1.3854467718804374e-05,100,-0.4362161280537186,50000,-1.7859330799862854,500.0,0.124415554,0.12712766,0.14999999,-2.2348163
-0.3821866,1.5,-0.40343972201030387,0.0005105950993060233,-0.8613772,0.1,1600,500,16,-1.3854467718804374e-05,100,-0.43416760267600524,50000,-2.0306860311441453,500.0,0.035866927,0.0467363,0.14999999,-1.4532406
-0.3785999,1.5,-0.4258171309895256,0.0009412621396351267,-0.8583808,0.1,1700,500,17,-1.3854467718804374e-05,100,-0.4336763984591535,50000,-2.1452769654084642,500.0,0.059715305,0.075080656,0.14999999,-2.1298246
-0.3726284,1.5,-0.39953217325325197,0.0005974821138264451,-0.85382974,0.1,1800,500,18,-1.3854467718804374e-05,100,-0.43177949705882573,50000,-2.0117614337736267,500.0,0.045007415,0.062166143,0.14999999,-1.2605978
-0.36834008,1.5,-0.371981414038944,0.0006908926232838267,-0.8583305,0.1,1900,500,19,-1.3854467718804374e-05,100,-0.4286322295314634,50000,-1.874134363321704,500.0,0.04132404,0.053723138,0.14999999,-1.0874579
-0.36420768,1.5,-0.3670330070971406,0.00040775352339309065,-0.8617634,0.1,2000,500,20,-1.3854467718804374e-05,100,-0.4255522684097473,50000,-1.8461760067996877,500.0,0.030175539,0.033695042,0.14999999,-1.7553309
-0.36119014,1.5,-0.3723260224333207,0.0007129808740759674,-0.8602641,0.1,2100,500,21,-1.3854467718804374e-05,100,-0.42301768526801276,50000,-1.8788912460792884,500.0,0.06846084,0.08157311,0.14999999,-1.2853742
-0.35675472,1.5,-0.3335299278100623,0.0007022819020616939,-0.85341805,0.1,2200,500,22,-1.3854467718804374e-05,100,-0.41895005992901496,50000,-1.6814831276649786,500.0,0.03924893,0.04695537,0.14999999,-2.0299795
-0.3528298,1.5,-0.3606056536357526,0.0005145441109263021,-0.85599554,0.1,2300,500,23,-1.3854467718804374e-05,100,-0.4164133466119166,50000,-1.8168058789439758,500.0,0.03695345,0.048046853,0.14999999,-1.4861355
