AvgEpLen,NumTrajectories,ReturnMax,ActionIn1,BatchSize,MountainCar_mu1_higher,TimestepsSoFar,MountainCar_mu0_higher,NatGradInftyNorm,MountainCar_std0_higher,MinEpLen,NatGrad2Norm,MountainCar_std1_higher,Iteration,AvgRet,ReturnMean,J,VarJ,StepSize
500.0,100,-0.6084713348704734,-1.5687647,100,0.60902077,50000,-0.79315424,0.090568066,0.14999999,500,0.09087578,1.5,1,-6.942817822256652,-1.3725902458163028,-1.3725902458163028,0.0017670129832850325,0.0001
500.0,200,-0.5993979685134259,-1.1027474,100,0.60902154,50000,-0.7931452,0.28982553,0.14999999,500,0.2997481,1.5,2,-6.862557175839513,-1.3641134731508202,-1.3556367004853374,0.0016479586761356277,0.0001
500.0,300,-0.4481801204663512,-0.19486049,100,0.6089926,50000,-0.79313755,0.10099031,0.14999999,500,0.114996724,1.5,3,-6.61207247879461,-1.3452763082884773,-1.3076019785637911,0.001690131270047261,0.0001
500.0,400,-0.4481801204663512,1.4643097,100,0.60900265,50000,-0.79313207,0.06988076,0.14999999,500,0.080428354,1.5,4,-6.829426070259412,-1.3460594921879072,-1.3484090438861966,0.0016161027424703145,0.0001
500.0,500,-0.4481801204663512,-2.3054566,100,0.60899866,50000,-0.7931251,0.34181887,0.14999999,500,0.35062748,1.5,5,-6.861656628745981,-1.3479518807002246,-1.3555214347494944,0.0017874970709748726,0.0001
500.0,600,-0.4481801204663512,1.3402925,100,0.6090328,50000,-0.7931173,0.39284727,0.14999999,500,0.3976361,1.5,6,-6.6409835555780345,-1.3405578382611232,-1.3035876260656156,0.0021676588218069092,0.0001
500.0,700,-0.27818090319683675,2.0938773,100,0.60899353,50000,-0.79311115,0.057980035,0.14999999,500,0.058157276,1.5,7,-6.58497587704623,-1.3349195054355725,-1.301089508482269,0.0019878681285823334,0.0001
500.0,800,-0.27818090319683675,-0.25109488,100,0.60899305,50000,-0.79310536,0.07673282,0.14999999,500,0.08345554,1.5,8,-6.832882360031378,-1.3368800954882092,-1.350604225856666,0.00171858598574095,0.0001
500.0,900,-0.27818090319683675,0.595568,100,0.60899633,50000,-0.7930977,0.062137727,0.14999999,500,0.065024935,1.5,9,-6.305522324893689,-1.3266984521495604,-1.2452453054403696,0.0014508727619437739,0.0001
500.0,1000,-0.27818090319683675,-0.42724395,100,0.60899013,50000,-0.79309577,0.092241146,0.14999999,500,0.10874453,1.5,10,-7.004547327954265,-1.3323023396095894,-1.3827373267498502,0.0017185381224977558,0.0001
500.0,1100,-0.27818090319683675,-2.0865974,100,0.60898435,50000,-0.7930865,0.16762242,0.14999999,500,0.17924716,1.5,11,-6.564164511654261,-1.3291494472616834,-1.2976205237826233,0.0021519796016567887,0.0001
500.0,1200,-0.27818090319683675,-0.87946105,100,0.6090011,50000,-0.79308015,0.16512685,0.14999999,500,0.20751679,1.5,12,-7.1821751859127145,-1.3363775781670328,-1.4158870181258763,0.0024391308935615822,0.0001
499.09,1300,0.15258139168838558,-1.4891951,100,0.6089846,49909,-0.7930676,0.061577097,0.14999999,409,0.061596032,1.5,13,-5.590936498274349,-1.3323682725022306,-1.2842566045246016,0.002271955452040817,0.0001
500.0,1400,0.15258139168838558,-1.3991673,100,0.60898477,50000,-0.79306144,0.16297716,0.14999999,500,0.17311136,1.5,14,-6.723541642573297,-1.3321062543128404,-1.3287000178507677,0.0014060683184243664,0.0001
500.0,1500,0.15258139168838558,-1.2147284,100,0.6089685,50000,-0.7930556,0.27035832,0.14999999,500,0.28491327,1.5,15,-6.917987696939492,-1.334199871384342,-1.3635105103853682,0.002064671159078812,0.0001
500.0,1600,0.15258139168838558,-2.1608188,100,0.60899556,50000,-0.7930466,0.17038827,0.14999999,500,0.19538565,1.5,16,-6.968046516894913,-1.3364921589001866,-1.370876471637856,0.0021734343471219875,0.0001
500.0,1700,0.15258139168838558,-2.3153768,100,0.6089785,50000,-0.79303706,0.04266827,0.14999999,500,0.042697787,1.5,17,-6.442234747554698,-1.332639491528204,-1.2709968135764778,0.0019011782673304684,0.0001
500.0,1800,0.15258139168838558,-1.472332,100,0.60897833,50000,-0.79303277,0.06562017,0.14999999,500,0.08620804,1.5,18,-6.758958257464734,-1.33266128442112,-1.333031763600693,0.0013738748535738312,0.0001
500.0,1900,0.15258139168838558,1.1756939,100,0.6089718,50000,-0.79302716,0.26079562,0.14999999,500,0.26697665,1.5,19,-6.685917223236678,-1.331738537220493,-1.3151290876092105,0.0016839151024564583,0.0001
500.0,2000,0.15258139168838558,-0.68160737,100,0.60894567,50000,-0.79302144,0.089828014,0.14999999,500,0.09007243,1.5,20,-6.960861994291783,-1.333697434327395,-1.370916479358537,0.0019449770552815416,0.0001
499.71,2100,0.15258139168838558,0.4643219,100,0.6089463,49971,-0.79301244,0.070031345,0.14999999,471,0.08580046,1.5,21,-5.543648369259563,-1.3312583806323948,-1.2824773067323847,0.0017943882145385565,0.0001
500.0,2200,0.15258139168838558,-0.36307582,100,0.6089533,50000,-0.7930075,0.3343541,0.14999999,500,0.34336868,1.5,22,-6.716202973077507,-1.3312353449430638,-1.330751595467114,0.002047501717612374,0.0001
500.0,2300,0.15258139168838558,3.3354535,100,0.60898674,50000,-0.7929997,0.18835609,0.14999999,500,0.20098935,1.5,23,-6.718277472392913,-1.3309443357149064,-1.3245421326954474,0.002066592022179266,0.0001
500.0,2400,0.15258139168838558,-0.3507428,100,0.6089679,50000,-0.79299265,0.13285616,0.14999999,500,0.14586385,1.5,24,-6.621626049320611,-1.3297424015542636,-1.3020979158594748,0.0020129730585244036,0.0001
500.0,2500,0.15258139168838558,1.3066409,100,0.6089546,50000,-0.79298663,0.37713674,0.14999999,500,0.38147897,1.5,25,-6.6470346035809325,-1.3291684508817423,-1.3153936347412298,0.0016132106066975376,0.0001
500.0,2600,0.15258139168838558,-1.7443318,100,0.60899234,50000,-0.7929809,0.30079612,0.14999999,500,0.31070462,1.5,26,-6.758646603724117,-1.3293101633815654,-1.3328529758771421,0.0021221834964826685,0.0001
500.0,2700,0.15258139168838558,-0.7812567,100,0.60896224,50000,-0.7929731,0.05450667,0.14999999,500,0.06776036,1.5,27,-6.503297814773692,-1.3277163876097235,-1.2862782175418384,0.0019671700899536373,0.0001
500.0,2800,0.15258139168838558,-0.49397776,100,0.6089663,50000,-0.7929677,0.19108218,0.14999999,500,0.2068165,1.5,28,-6.7122298666341464,-1.3276481011990704,-1.3258043681114307,0.0022505061789503907,0.0001
500.0,2900,0.15258139168838558,-0.61993,100,0.60894716,50000,-0.79295975,0.07934403,0.14999999,500,0.10396403,1.5,29,-6.76844308150263,-1.327847522682598,-1.3334313242213744,0.0018160270180849944,0.0001
500.0,3000,0.15258139168838558,-1.2304949,100,0.60893923,50000,-0.792953,0.4577064,0.14999999,500,0.4601002,1.5,30,-6.504221391052666,-1.326422440930356,-1.2850950701153452,0.0017803111045649345,0.0001
500.0,3100,0.15258139168838558,0.7311302,100,0.608985,50000,-0.7929483,0.05781884,0.14999999,500,0.0578328,1.5,31,-6.628982816986505,-1.3258885301595147,-1.3098712070342773,0.0017002990167316013,0.0001
500.0,3200,0.15258139168838558,0.24107087,100,0.6089849,50000,-0.7929425,0.06977999,0.14999999,500,0.08918481,1.5,32,-6.612729000548875,-1.3252316907185433,-1.3048696680484213,0.0018522496879513717,0.0001
499.84,3300,0.15258139168838558,-0.5829591,100,0.6089779,49984,-0.792937,0.45842442,0.14999999,484,0.46030977,1.5,33,-5.398728503648593,-1.3229988066627816,-1.2515465168784121,0.0020833289422883404,0.0001
500.0,3400,0.15258139168838558,0.7195278,100,0.6089321,50000,-0.7929328,0.135311,0.14999999,500,0.14149535,1.5,34,-6.495568406559704,-1.3218168255625402,-1.282811449254566,0.0016344864913756154,0.0001
500.0,3500,0.15258139168838558,-2.67481,100,0.60891855,50000,-0.7929287,0.1316037,0.14999999,500,0.13922016,1.5,35,-6.502198047536294,-1.3207287548322946,-1.2837343500039444,0.001709346066864352,0.0001
500.0,3600,0.15258139168838558,-0.18645775,100,0.6089317,50000,-0.79292417,0.23319034,0.14999999,500,0.24337643,1.5,36,-6.774487966395693,-1.3211595479807157,-1.3362373081754544,0.0018367000963397308,0.0001
500.0,3700,0.15258139168838558,-2.6371787,100,0.6089084,50000,-0.7929172,0.10157836,0.14999999,500,0.136925,1.5,37,-6.775420221010091,-1.3216064170997481,-1.337693705384916,0.0025295430993592222,0.0001
500.0,3800,0.15258139168838558,2.484539,100,0.60891855,50000,-0.792908,0.14669374,0.14999999,500,0.15177928,1.5,38,-6.356535957813962,-1.3198602667949375,-1.2552527055169451,0.0019191924003248203,0.0001
500.0,3900,0.15258139168838558,0.5968713,100,0.6089332,50000,-0.79290414,0.055133425,0.14999999,500,0.060482703,1.5,39,-6.206167075542777,-1.3174888978269583,-1.2273768770437596,0.0017983907306605073,0.0001
500.0,4000,0.15258139168838558,0.44915402,100,0.6089387,50000,-0.79290164,0.008496714,0.14999999,500,0.00856057,1.5,40,-6.1190377292968,-1.314735519627458,-1.2073537698469368,0.001294982386763777,0.0001
500.0,4100,0.15258139168838558,-0.69540113,100,0.60893786,50000,-0.7929015,0.06430288,0.14999999,500,0.08052046,1.5,41,-6.7613410542699555,-1.3151562167248303,-1.3319841006197195,0.0017264310351438271,0.0001
500.0,4200,0.15258139168838558,-0.24234414,100,0.60893303,50000,-0.7928951,0.102892004,0.14999999,500,0.12908675,1.5,42,-6.91182002829603,-1.3163587946470112,-1.3656644894564252,0.0015195925614286158,0.0001
500.0,4300,0.15258139168838558,-1.7154443,100,0.60894334,50000,-0.7928873,0.0669032,0.14999999,500,0.07951822,1.5,43,-6.739088916814854,-1.3166960846591247,-1.3308622651678885,0.0017436783918285742,0.0001
