ReturnMean,NatGradInftyNorm,BatchSize,AvgEpLen,ActionIn1,VarJ,MountainCar_mu1_higher,StepSize,MountainCar_mu0_higher,J,TimestepsSoFar,MountainCar_std0_higher,ReturnMax,Iteration,MinEpLen,NumTrajectories,MountainCar_std1_higher,AvgRet,NatGrad2Norm
-0.45628552085709834,0.024601443,100,500.0,3.768553,0.0005529518441252606,-0.8971903,0.001,-0.4416444,-0.45628552085709834,50000,0.14999999,-0.00010227112839682561,1,500,100,1.5,-2.2992829136054445,0.02461328
-0.49070604682581925,0.10606361,100,500.0,-1.0504451,0.0009180112754538477,-0.8971895,0.001,-0.4416198,-0.5251265727945402,50000,0.14999999,-0.00010227112839682561,2,500,200,1.5,-2.648518795942272,0.119940154
-0.49740582043967646,0.04333888,100,500.0,-1.4802471,0.0006821215091616605,-0.89708346,0.001,-0.4415638,-0.5108053676673907,50000,0.14999999,-0.00010227112839682561,3,500,300,1.5,-2.5739241902532912,0.0443937
-0.48348771865385787,0.066556044,100,500.0,1.6030308,0.00059063876030003,-0.89709306,0.001,-0.44152048,-0.44173341329640203,50000,0.14999999,-0.00010227112839682561,4,500,400,1.5,-2.2267026153525786,0.07023948
-0.4903289125095889,0.18144338,100,500.0,-3.717183,0.001049939718504764,-0.89715964,0.001,-0.44149804,-0.5176936879325131,50000,0.14999999,-0.00010227112839682561,5,500,500,1.5,-2.607028266142737,0.19065599
-0.48291641171400246,0.03246446,100,500.0,-2.0680757,0.0008218976360835773,-0.8969782,0.001,-0.44143948,-0.44585390773607086,50000,0.14999999,-0.00010227112839682561,6,500,600,1.5,-2.2444173974597312,0.033300884
-0.48537145017876,0.19156952,100,500.0,-1.6013237,0.0010276626476099517,-0.8969708,0.001,-0.44140702,-0.500101680967305,50000,0.14999999,-0.00010227112839682561,7,500,700,1.5,-2.5185029335647195,0.19912484
-0.48706188510571025,0.09689502,100,500.0,-0.46750528,0.0010236762239721696,-0.89677924,0.001,-0.4413527,-0.4988949295943618,50000,0.14999999,-0.00010227112839682561,8,500,800,1.5,-2.5143021704001582,0.11067082
-0.48856439304889726,0.15994385,100,500.0,-0.48555008,0.000862628834030125,-0.8966823,0.001,-0.44129923,-0.5005844565943931,50000,0.14999999,-0.00010227112839682561,9,500,900,1.5,-2.522461614298598,0.1667788
-0.48966884569814706,0.09044004,100,500.0,-2.0399868,0.0008105387144593548,-0.89684224,0.001,-0.44125196,-0.49960891954139536,50000,0.14999999,-0.00010227112839682561,10,500,1000,1.5,-2.5191319965877224,0.10099347
-0.48948591516043444,0.05956027,100,500.0,-0.31150776,0.0007259302131742159,-0.89693266,0.001,-0.44120702,-0.487656609783309,50000,0.14999999,-0.00010227112839682561,11,500,1100,1.5,-2.456783886731748,0.07085006
-0.4901150525479399,0.045392945,100,500.0,-1.62468,0.0008344893177172049,-0.8968731,0.001,-0.44116864,-0.49703556381050057,50000,0.14999999,-0.00010227112839682561,12,500,1200,1.5,-2.5033301651868363,0.04541473
-0.4860295135635182,0.054875888,100,500.0,-2.293676,0.0007432836438069972,-0.8968717,0.001,-0.44112325,-0.43700304575045723,50000,0.14999999,-0.00010227112839682561,13,500,1300,1.5,-2.2006594418892815,0.061576795
-0.4885039910607991,0.15357737,100,500.0,-2.1529348,0.000735910881539108,-0.8968168,0.001,-0.44109532,-0.5206721985254508,50000,0.14999999,-0.00010227112839682561,14,500,1400,1.5,-2.6214436278153164,0.1610762
-0.4858338781922692,0.15669382,100,500.0,-2.3142161,0.000683520842005397,-0.8969704,0.001,-0.44104674,-0.4484522980328501,50000,0.14999999,-0.00010227112839682561,15,500,1500,1.5,-2.257975005204137,0.15926626
-0.48730040773426736,0.040965788,100,500.0,-1.5475087,0.0006267387448920238,-0.8968137,0.001,-0.44101822,-0.5092983508642407,50000,0.14999999,-0.00010227112839682561,16,500,1600,1.5,-2.5642478819670655,0.05710131
-0.49025660613761174,0.0680028,100,500.0,-2.2305949,0.0011524368102328187,-0.89677393,0.001,-0.44097725,-0.5375557805911206,50000,0.14999999,-0.00010227112839682561,17,500,1700,1.5,-2.708711156818028,0.09066576
-0.49196380150902375,0.068998195,100,500.0,-1.371763,0.000773383069520142,-0.896714,0.001,-0.44090924,-0.5209861228230279,50000,0.14999999,-0.00010227112839682561,18,500,1800,1.5,-2.6239571960703376,0.0853885
-0.49220314570553214,0.047851745,100,500.0,-1.1984293,0.0008948264110199985,-0.896783,0.001,-0.44085893,-0.49651134124268437,50000,0.14999999,-0.00010227112839682561,19,500,1900,1.5,-2.501573008646682,0.066022806
-0.49267117929392085,0.03632415,100,500.0,-1.8669994,0.0005511465597446262,-0.8968285,0.001,-0.44081107,-0.5015638174733046,50000,0.14999999,-0.00010227112839682561,20,500,2000,1.5,-2.524399913449248,0.04083464
-0.49338686809250565,0.08478295,100,500.0,-1.4015045,0.0009691042832692441,-0.8968098,0.001,-0.44077474,-0.5077006440642013,50000,0.14999999,-0.00010227112839682561,21,500,2100,1.5,-2.5620225847548186,0.100203566
-0.4922189922630469,0.046445206,100,500.0,-2.1572533,0.0010034936026384648,-0.89672506,0.001,-0.44072133,-0.4676935998444147,50000,0.14999999,-0.00010227112839682561,22,500,2200,1.5,-2.3571141161541833,0.058916442
-0.4931980661190836,0.04653027,100,500.0,-1.6147463,0.0007027993943446025,-0.8967613,0.001,-0.4406749,-0.5147376909518925,50000,0.14999999,-0.00010227112839682561,23,500,2300,1.5,-2.594209609294014,0.06495498
-0.49175109160380487,0.03045958,100,500.0,-1.2438372,0.0007146380816212749,-0.89680785,0.001,-0.44062957,-0.4584706777523937,50000,0.14999999,-0.00010227112839682561,24,500,2400,1.5,-2.3128418796477295,0.033154447
-0.4911891759063874,0.04602455,100,500.0,-2.8916137,0.0009601287161831591,-0.89679474,0.001,-0.4405991,-0.47770319916836684,50000,0.14999999,-0.00010227112839682561,25,500,2500,1.5,-2.403456004318575,0.046299573
-0.4912339733753622,0.044861022,100,500.0,-1.0098134,0.0008408365015891779,-0.89678967,0.001,-0.4405531,-0.4923539100997326,50000,0.14999999,-0.00010227112839682561,26,500,2600,1.5,-2.4807380232736485,0.063371755
-0.49189809972936943,0.07279805,100,500.0,-1.7553321,0.0008988101547989286,-0.89683443,0.001,-0.44050825,-0.5091653849335583,50000,0.14999999,-0.00010227112839682561,27,500,2700,1.5,-2.5671778193778714,0.08907086
-0.4927637039324958,0.058111124,100,500.0,-1.5438142,0.0010431552295279301,-0.89676166,0.001,-0.44045693,-0.5161350174169054,50000,0.14999999,-0.00010227112839682561,28,500,2800,1.5,-2.5995024153821413,0.060330514
-0.49228336824498214,0.036331862,100,500.0,-1.7593919,0.0007093848668532657,-0.89674544,0.001,-0.4403988,-0.4788339689946007,50000,0.14999999,-0.00010227112839682561,29,500,2900,1.5,-2.4119722046963816,0.03638255
-0.49249764725606626,0.15605707,100,500.0,-0.2710876,0.0007834685216673695,-0.89674735,0.001,-0.44036248,-0.49871173857750606,50000,0.14999999,-0.00010227112839682561,30,500,3000,1.5,-2.5140744769959698,0.16243754
-0.49325116535209595,0.045435116,100,500.0,-1.5059669,0.0006936963861561162,-0.8969034,0.001,-0.4403174,-0.5158567082329858,50000,0.14999999,-0.00010227112839682561,31,500,3100,1.5,-2.6025576215721213,0.05214059
-0.4924393572367316,0.09357579,100,500.0,-2.3803856,0.0007031202213028273,-0.8968778,0.001,-0.44027194,-0.46727330566043873,50000,0.14999999,-0.00010227112839682561,32,500,3200,1.5,-2.3531031929680655,0.09929683
-0.4930174323926221,0.048468057,100,500.0,-1.6063789,0.0008019920776011212,-0.8969714,0.001,-0.4402387,-0.5115158373811158,50000,0.14999999,-0.00010227112839682561,33,500,3300,1.5,-2.57716238584963,0.06558926
-0.49174430334712643,0.089096576,100,500.0,0.6104466,0.0007762439654693039,-0.89692724,0.001,-0.44019026,-0.44973104484577,50000,0.14999999,-0.00010227112839682561,34,500,3400,1.5,-2.266568450049112,0.09475039
-0.4923540552836069,0.05578546,100,500.0,-3.6058044,0.0009651791196445947,-0.8968381,0.001,-0.440158,-0.5130856211239434,50000,0.14999999,-0.00010227112839682561,35,500,3500,1.5,-2.5817940205501952,0.06258866
-0.49264069768595053,0.05228361,100,500.0,-0.6651201,0.0009416512584288904,-0.89680976,0.001,-0.44010222,-0.502673181767977,50000,0.14999999,-0.00010227112839682561,36,500,3600,1.5,-2.532805108809297,0.057611387
-0.4907919935886907,0.047645528,100,500.0,-1.1250691,0.0007907477376820766,-0.89678556,0.001,-0.44004995,-0.424238646087336,50000,0.14999999,-0.00010227112839682561,37,500,3700,1.5,-2.136669158538072,0.05478112
-0.49068136585566163,0.12364549,100,500.0,-3.4863553,0.000830283071397962,-0.8968332,0.001,-0.44002292,-0.48658813973358983,50000,0.14999999,-0.00010227112839682561,38,500,3800,1.5,-2.4519253887410932,0.13078915
