J,NatGradInftyNorm,MountainCar_mu0_higher,MountainCar_std1_higher,VarJ,MinEpLen,AvgRet,ReturnMax,ReturnMean,Iteration,NumTrajectories,AvgEpLen,MountainCar_std0_higher,TimestepsSoFar,MountainCar_mu1_higher,StepSize,ActionIn1,BatchSize,NatGrad2Norm
-0.6779650162478668,0.08439115,0.40025148,1.5,0.0027712307467661172,500,-3.4377626049465557,-0.05426376004149096,-0.6779650162478668,1,100,500.0,0.14999999,50000,0.9164054,0.001,0.8603903,100,0.08470068
-0.6137916655565444,0.24844259,0.40016708,1.5,0.002832814052989094,500,-3.158093196427404,-1.5903712313438004e-05,-0.6458783409022055,2,200,500.0,0.14999999,50000,0.91639817,0.001,4.851224,100,0.25742126
-0.7404825598964809,0.15042727,0.4000997,1.5,0.003956201160755309,500,-3.8120328225165814,-1.5903712313438004e-05,-0.6774130805669639,3,300,500.0,0.14999999,50000,0.91614974,0.001,-3.4663615,100,0.18777166
-0.620589613567033,0.09356483,0.3999873,1.5,0.002758697863961514,500,-3.18148037397366,-1.5903712313438004e-05,-0.6632072138169812,4,400,500.0,0.14999999,50000,0.9159993,0.001,2.8347554,100,0.11610533
-0.6331223801469168,0.07066994,0.39991856,1.5,0.0025514689404918427,500,-3.2631768222162485,-1.5903712313438004e-05,-0.6571902470829685,5,500,500.0,0.14999999,50000,0.9160929,0.001,0.9269091,100,0.070747174
-0.6449277306695206,0.080663,0.3998479,1.5,0.0030049988363960605,500,-3.2893694107577276,-1.5903712313438004e-05,-0.6551464943473938,6,600,500.0,0.14999999,50000,0.9160896,0.001,0.45887622,100,0.103218764
-0.6663584436945146,0.06787184,0.39976722,1.5,0.0019525404176552422,500,-3.387859850405499,-1.5903712313438004e-05,-0.6567482013969824,7,700,500.0,0.14999999,50000,0.91615397,0.001,2.5398343,100,0.069979645
-0.5832882192891784,0.21350232,0.39969936,1.5,0.0019839208926504203,500,-2.9952380347852987,-1.5903712313438004e-05,-0.6475657036335069,8,800,500.0,0.14999999,50000,0.9161369,0.001,1.8305845,100,0.21890873
-0.5882916642676862,0.07039624,0.39965102,1.5,0.001790397044673927,500,-2.9860033941697544,-1.5903712313438004e-05,-0.6409796992595269,9,900,500.0,0.14999999,50000,0.9159234,0.001,-0.094318956,100,0.086563766
-0.6254569093397933,0.061490852,0.39960065,1.5,0.002170262378844631,500,-3.2084199540174643,-1.5903712313438004e-05,-0.6394274202675535,10,1000,500.0,0.14999999,50000,0.9159938,0.001,0.68875325,100,0.07867043
