AvgRet,NatGradInftyNorm,VarJ,NumTrajectories,ReturnMax,AvgEpLen,MountainCar_mu0_higher,ActionIn1,MountainCar_std0_higher,StepSize,MountainCar_std1_higher,MinEpLen,NatGrad2Norm,TimestepsSoFar,MountainCar_mu1_higher,ReturnMean,Iteration,J,BatchSize
-5.942918939210615,0.1540353,0.0019229158682895014,100,-0.2333355906802736,499.67,-0.820599,-0.78957117,0.14999999,0.1,1.5,467,0.16110815,49967,0.57150435,-1.3552929403478433,1,-1.3552929403478433,100
-6.763319095847358,0.16014086,0.0016089967882475578,200,-0.2333355906802736,500.0,-0.81587785,-0.98765314,0.14999999,0.1,1.5,500,0.1642091,50000,0.55610085,-1.345520158437206,2,-1.3357473765265686,100
-6.7318316079545255,0.12050357,0.0012424677417004501,300,-0.2333355906802736,500.0,-0.8122453,0.45089382,0.14999999,0.1,1.5,500,0.12334217,50000,0.54008675,-1.3405817836549143,3,-1.3307050340903308,100
-6.690728920423401,0.041432984,0.0017677489506858204,400,-0.2333355906802736,500.0,-0.80961436,1.2987115,0.14999999,0.1,1.5,500,0.047077168,50000,0.5280364,-1.3357118859672967,4,-1.3211021929044444,100
-6.701663394529175,0.05424973,0.001847393997700904,500,-0.2333355906802736,500.0,-0.80547106,-0.2801895,0.14999999,0.1,1.5,500,0.07458543,50000,0.5258013,-1.3340506183877368,5,-1.3274055480694964,100
-6.879303456621325,0.07084808,0.00170310043735867,600,-0.2333355906802736,500.0,-0.8000461,-1.0881994,0.14999999,0.1,1.5,500,0.07516203,50000,0.53091985,-1.3382584990389552,6,-1.3592979022950475,100
-6.833020986364363,0.3953354,0.001903509399983677,700,-0.2333355906802736,500.0,-0.7929613,-1.4693385,0.14999999,0.1,1.5,500,0.40229994,50000,0.5334296,-1.3390489863863047,7,-1.3437919104704017,100
-6.665396079312261,0.25651896,0.0021579789710316146,800,-0.2333355906802736,500.0,-0.785508,-1.1273236,0.14999999,0.1,1.5,500,0.26919767,50000,0.49389607,-1.3360124873078365,8,-1.314756993758559,100
-6.526795170848864,0.06276268,0.0016016114188128045,900,-0.2333355906802736,500.0,-0.7773438,-1.126955,0.14999999,0.1,1.5,500,0.08794645,50000,0.46824417,-1.3308452189767046,9,-1.2895070723276498,100
-6.002462480899635,0.47863916,0.0016605615948304803,1000,-0.2333355906802736,500.0,-0.77106756,1.4550705,0.14999999,0.1,1.5,500,0.47960192,50000,0.47440487,-1.316576838330082,10,-1.1881614125104782,100
-6.559848383687571,0.56207794,0.001362368372901014,1100,-0.2333355906802736,500.0,-0.76803017,-1.0612848,0.14999999,0.1,1.5,500,0.56706804,50000,0.5222688,-1.314907356063434,11,-1.298212533396954,100
-6.387412757752571,0.36067623,0.0017807258377639235,1200,-0.2333355906802736,500.0,-0.76052386,-3.3085902,0.14999999,0.1,1.5,500,0.3692182,50000,0.57847655,-1.3105471468922767,12,-1.262584846009547,100
-6.098181335790302,0.31199214,0.001607524118069692,1300,-0.2333355906802736,500.0,-0.75262785,-1.2184529,0.14999999,0.1,1.5,500,0.3171703,50000,0.61454415,-1.3023433412634748,13,-1.2038976737178524,100
-5.821243685802424,0.4807096,0.0016829989038707341,1400,-0.2333355906802736,500.0,-0.74692005,1.8712816,0.14999999,0.1,1.5,500,0.48247442,50000,0.58334494,-1.2913233096223808,14,-1.1480628982881607,100
-5.636616918364913,0.34089354,0.0019638876529325783,1500,-0.2333355906802736,500.0,-0.74279714,-0.20993501,0.14999999,0.1,1.5,500,0.34372517,50000,0.53527397,-1.2796395469255668,15,-1.116066869170167,100
-5.767067491078243,0.054876905,0.0014433015690142107,1600,-0.21524911715530612,500.0,-0.7383942,-1.17377,0.14999999,0.1,1.5,500,0.070244126,50000,0.5693633,-1.2708675120242376,16,-1.1392869885042993,100
-6.184251579518555,0.12375725,0.0018177319589528806,1700,-0.21524911715530612,500.0,-0.73400927,0.5979523,0.14999999,0.1,1.5,500,0.15389977,50000,0.5638756,-1.267821722010252,17,-1.2190890817864852,100
-5.8409340517498585,0.108351536,0.0018854782374614033,1800,-0.21524911715530612,500.0,-0.7248609,0.38521695,0.14999999,0.1,1.5,500,0.1312329,50000,0.5514999,-1.2614440902027617,18,-1.1530243494754266,100
-5.7401952927029924,0.12755455,0.0019059212376166042,1900,-0.21524911715530612,500.0,-0.7174568,-2.4895947,0.14999999,0.1,1.5,500,0.14856517,50000,0.5623351,-1.2546909369625876,19,-1.1331341786394498,100
-5.395980515897155,0.21077053,0.0013636675203934022,2000,-0.21524911715530612,500.0,-0.7098401,-0.5144143,0.14999999,0.1,1.5,500,0.21522114,50000,0.5495796,-1.2453595446547339,20,-1.068063090805516,100
-5.374957355857673,0.056795783,0.0017938826869127653,2100,-0.20501414700220055,500.0,-0.7054859,-1.2478333,0.14999999,0.1,1.5,500,0.06597718,50000,0.57065666,-1.2365982299254512,21,-1.0613719353397946,100
-5.267539124753109,0.20009747,0.0014906743947037822,2200,-0.20501414700220055,500.0,-0.6998063,-1.7146136,0.14999999,0.1,1.5,500,0.20570809,50000,0.56729925,-1.2277401094588105,22,-1.0417195796593595,100
-5.500054005578114,0.12376677,0.0020446336327051037,2300,-0.14578661877706364,500.0,-0.6950347,-0.79659706,0.14999999,0.1,1.5,500,0.15077618,50000,0.587309,-1.2215540408742074,23,-1.0854605320129378,100
-5.0025824682271445,0.03289077,0.0012782060265487426,2400,-0.14578661877706364,500.0,-0.6864235,1.4192336,0.14999999,0.1,1.5,500,0.03330018,50000,0.57493234,-1.2118075374571526,24,-0.9876379588648899,100
