MountainCar_mu0_higher,NumTrajectories,NatGrad2Norm,MountainCar_std0_higher,ReturnMean,StepSize,AvgRet,J,ReturnMax,MountainCar_std1_higher,TimestepsSoFar,MinEpLen,BatchSize,NatGradInftyNorm,AvgEpLen,VarJ,Iteration,ActionIn1,MountainCar_mu1_higher
-0.18701184,1400,0.015937356,0.14999999,-0.550035290303547,1.0,-0.6868823787305887,-0.13528115503102783,0.5264412477771757,1.5,50000,500,100,0.015933055,500.0,0.00016014615416777063,14,-1.0097444,0.39235803
-0.17107879,1500,0.029628493,0.14999999,-0.5227117778499099,1.0,-0.7064232916952897,-0.1401826034989903,0.5264412477771757,1.5,50000,500,100,0.02493784,500.0,0.00026039918774333837,15,-0.8089918,0.39272827
-0.14614095,1600,0.035493784,0.14999999,-0.49798404821944503,1.0,-0.6449082148008317,-0.1270681037624727,0.5264412477771757,1.5,50000,500,100,0.02857594,500.0,0.00019874522916965272,16,-1.746179,0.3767298
-0.12508805,1700,0.02746328,0.14999999,-0.4739330134191478,1.0,-0.4505383538817593,-0.08911645661439145,0.5264412477771757,1.5,50000,500,100,0.025558453,500.0,0.00013741239764908107,17,-1.9082524,0.34815386
-0.11503832,1800,0.010521228,0.14999999,-0.45192969658010085,1.0,-0.3937089126422479,-0.07787331031630344,0.5264412477771757,1.5,50000,500,100,0.010521036,500.0,8.412759992889759e-05,18,-1.0296036,0.3737123
-0.10451728,1900,0.023999218,0.14999999,-0.43245244929159093,1.0,-0.41769609846825134,-0.08186199809841256,0.5264412477771757,1.5,50000,500,100,0.022713725,500.0,9.40088876288053e-05,19,1.6290079,0.37377602
-0.09676814,2000,0.014831447,0.14999999,-0.41532951944189445,1.0,-0.4530050834952844,-0.08999385229766058,0.5264412477771757,1.5,50000,500,100,0.014578229,500.0,0.00012488467104908096,20,-0.24323747,0.3510623
-0.08218991,2100,0.007898084,0.14999999,-0.39905332404869015,1.0,-0.3731494035757184,-0.07352941618460415,0.5264412477771757,1.5,50000,500,100,0.0056847245,500.0,7.611351932421796e-05,21,0.91453147,0.34833336
-0.076505184,2200,0.012490446,0.14999999,-0.3845027100000707,1.0,-0.40005486452165273,-0.07893981497906302,0.5264412477771757,1.5,50000,500,100,0.012304662,500.0,0.00013125831829174852,22,0.09828961,0.3538164
-0.06420052,2300,0.009008665,0.14999999,-0.37107366613001785,1.0,-0.3855992477517677,-0.07563470098885385,0.5264412477771757,1.5,50000,500,100,0.008130189,500.0,9.499180173506611e-05,23,3.8069358,0.35167012
-0.05607033,2400,0.0074663693,0.14999999,-0.35856814141649385,1.0,-0.35897373763160756,-0.07094107300544296,0.5264412477771757,1.5,50000,500,100,0.0054922607,500.0,8.547923983303925e-05,24,0.12500155,0.3477899
-0.05101249,2500,0.011720474,0.14999999,-0.3467710259681062,1.0,-0.3223641139188021,-0.06364025520680276,0.5264412477771757,1.5,50000,500,100,0.011720348,500.0,0.00010612590159244842,25,1.7929426,0.35328218
-0.050958086,2600,0.012372459,0.14999999,-0.336348462487198,1.0,-0.3874414869759264,-0.07578437546449265,0.5264412477771757,1.5,50000,500,100,0.010362672,500.0,0.00010315128335876254,26,-1.2462989,0.36500254
-0.044198442,2700,0.00811529,0.14999999,-0.32646331381586263,1.0,-0.35397856350447726,-0.06944944836114172,0.5264412477771757,1.5,50000,500,100,0.0077971644,500.0,6.0122139328469285e-05,27,-0.2868044,0.35463986
-0.04194852,2800,0.028604275,0.14999999,-0.3176516432945911,1.0,-0.4052707679124129,-0.079736539220261,0.5264412477771757,1.5,50000,500,100,0.02852617,500.0,0.00015606870719570682,28,-0.00508219,0.3468427
-0.03983616,2900,0.0149767,0.14999999,-0.3087985437176054,1.0,-0.3085529085299345,-0.060911755562005246,0.5264412477771757,1.5,50000,500,100,0.013886445,500.0,7.26850676632509e-05,29,-0.15743703,0.31831655
-0.03422651,3000,0.032203354,0.14999999,-0.30063149483522833,1.0,-0.3222854789215579,-0.0637870772462931,0.5264412477771757,1.5,50000,500,100,0.032190647,500.0,7.743884587611412e-05,30,-0.7485045,0.332203
-0.035131082,3100,0.009008259,0.14999999,-0.2928402843231593,1.0,-0.3004194191922112,-0.05910396896108902,0.5264412477771757,1.5,50000,500,100,0.008252782,500.0,5.759393399364068e-05,31,1.244356,0.36439365
-0.031519946,3200,0.006197572,0.14999999,-0.28582201897962134,1.0,-0.34807526841172354,-0.06825579332994552,0.5264412477771757,1.5,50000,500,100,0.0051700543,500.0,0.00011892023071827843,32,0.74964947,0.35614088
-0.034937613,3300,0.034943655,0.14999999,-0.2793703466385165,1.0,-0.3718591929700646,-0.07291683172316238,0.5264412477771757,1.5,50000,500,100,0.034852095,500.0,9.47656419495271e-05,33,-0.08296683,0.35097083
-0.037465587,3400,0.008148743,0.14999999,-0.27284595663711453,1.0,-0.29251038335578167,-0.057541086590846495,0.5264412477771757,1.5,50000,500,100,0.008148583,500.0,5.0363913645117744e-05,34,1.1821817,0.31611875
-0.037414495,3500,0.0092412,0.14999999,-0.26681482858218336,1.0,-0.3133740378183361,-0.06175647471452427,0.5264412477771757,1.5,50000,500,100,0.009238236,500.0,7.852882001549796e-05,35,-2.2202442,0.30797017
-0.037648525,3600,0.00703434,0.14999999,-0.2611051318876782,1.0,-0.31413500531581157,-0.06126574757999791,0.5264412477771757,1.5,50000,500,100,0.0069519347,500.0,8.624309468097933e-05,36,0.25861803,0.29873192
-0.03069659,3700,0.0330694,0.14999999,-0.2564766087725353,1.0,-0.4563419720830519,-0.08984977662739169,0.5264412477771757,1.5,50000,500,100,0.03306837,500.0,0.00013768188719907848,37,-2.186208,0.29765835
-0.030435877,3800,0.002846742,0.14999999,-0.2515491669118383,1.0,-0.35220241329099217,-0.0692338180660487,0.5264412477771757,1.5,50000,500,100,0.0027325787,500.0,9.918790628019484e-05,38,2.9688191,0.3307267
-0.033168457,3900,0.01009653,0.14999999,-0.24697955344187725,1.0,-0.3717475117919756,-0.07333424158335833,0.5264412477771757,1.5,50000,500,100,0.009891068,500.0,0.00011516770697420898,39,1.0791986,0.33152482
-0.043059524,4000,0.0155715225,0.14999999,-0.2420414556965003,1.0,-0.25234522527623005,-0.04945564362679841,0.5264412477771757,1.5,50000,500,100,0.015118982,500.0,4.0480063158028976e-05,40,0.9236088,0.33355132
-0.04678628,4100,0.015031602,0.14999999,-0.23760696586832505,1.0,-0.3081077284750577,-0.060227372741316065,0.5264412477771757,1.5,50000,500,100,0.014098699,500.0,7.014573425657629e-05,41,-0.20955344,0.3486703
-0.04157324,4200,0.0053908257,0.14999999,-0.233355717109252,1.0,-0.29904342121397093,-0.05905451798725543,0.5264412477771757,1.5,50000,500,100,0.0038672949,500.0,5.424746328452863e-05,42,0.2346162,0.3345716
-0.037705947,4300,0.013002165,0.14999999,-0.22934577316432728,1.0,-0.30931725978667524,-0.06092812747748979,0.5264412477771757,1.5,50000,500,100,0.012315128,500.0,6.246431109141118e-05,43,-1.2383904,0.33081594
-0.033535346,4400,0.010808333,0.14999999,-0.22546905743314646,1.0,-0.30319222847142374,-0.05877028099237122,0.5264412477771757,1.5,50000,500,100,0.010623745,500.0,5.3029401634204197e-05,44,-1.4142755,0.34313107
-0.03154635,4500,0.0077785803,0.14999999,-0.22191098398887854,1.0,-0.33299793483801876,-0.06535575244109142,0.5264412477771757,1.5,50000,500,100,0.0056859357,500.0,8.445621900913764e-05,45,3.3293731,0.3325073
-0.026238201,4600,0.042612664,0.14999999,-0.21884143900371913,1.0,-0.4090166515450071,-0.08071191467154432,0.5264412477771757,1.5,50000,500,100,0.042434294,500.0,0.0001444060017113208,46,0.8666746,0.33819324
-0.030133085,4700,0.007959307,0.14999999,-0.21555025165333921,1.0,-0.3288144741398971,-0.06415563353586301,0.5264412477771757,1.5,50000,500,100,0.007948765,500.0,5.545357018002191e-05,47,-0.11085569,0.29575893
-0.030542608,4800,0.004968844,0.14999999,-0.21217977985451564,1.0,-0.2768900948814909,-0.053767605309808335,0.5264412477771757,1.5,50000,500,100,0.0046626073,500.0,5.165092629255333e-05,48,0.12658045,0.3037077
-0.03226002,4900,0.00971377,0.14999999,-0.20897663527162752,1.0,-0.2813034483846907,-0.05522569529299649,0.5264412477771757,1.5,50000,500,100,0.007912171,500.0,6.0981255066900345e-05,49,0.8935219,0.2990451
-0.026624873,5000,0.009379303,0.14999999,-0.2057235862737037,1.0,-0.2377874432726653,-0.04632418537543731,0.5264412477771757,1.5,50000,500,100,0.008796911,500.0,3.649796220392647e-05,50,-2.5894067,0.29113293
