J,ReturnMean,MountainCar_std0_higher,NatGrad2Norm,VarJ,BatchSize,AvgEpLen,MountainCar_std1_higher,MountainCar_mu1_higher,NatGradInftyNorm,MinEpLen,TimestepsSoFar,Iteration,StepSize,ActionIn1,ReturnMax,AvgRet,MountainCar_mu0_higher,NumTrajectories
-0.6779650162478668,-0.6779650162478668,0.14999999,0.08470068,0.0027712307467661172,100,500.0,1.5,0.9164054,0.08439115,500,50000,1,1.0,0.8603903,-0.05426376004149096,-3.4377626049465557,0.40025148,100
-0.39621102613573855,-0.5370880211918027,0.14999999,0.1768042,0.001698151822437076,100,500.0,1.5,0.90917075,0.16923629,500,50000,2,1.0,4.75969,-0.00045587222477619214,-2.037757850000764,0.31586033,200
-0.37227143782687266,-0.48214916007015923,0.14999999,0.117030375,0.0017691560011173957,100,500.0,1.5,0.73993444,0.094022475,500,50000,3,1.0,-3.7779903,-0.00045587222477619214,-1.9023903865520935,0.26468605,300
-0.18679841211039894,-0.40831147308021926,0.14999999,0.04846508,0.0006921294940614373,100,500.0,1.5,0.645912,0.036214918,500,50000,4,1.0,2.3596828,-0.00045587222477619214,-0.9503514461467246,0.19500189,400
-0.15793639902733284,-0.3582364582696419,0.14999999,0.026837869,0.0004169731964412304,100,500.0,1.5,0.6821269,0.02574346,500,50000,5,1.0,0.45581865,-1.6407852572422763e-05,-0.8119941143361864,0.16279407,500
-0.13901095546754344,-0.3216988744692922,0.14999999,0.04005126,0.0004747458039146681,100,500.0,1.5,0.68971276,0.02945606,500,50000,6,1.0,-0.03029789,-1.6407852572422763e-05,-0.7147830029084266,0.13705061,600
-0.10663802750886298,-0.290975896332088,0.14999999,0.021713724,0.00018748163667622295,100,500.0,1.5,0.71916884,0.015919155,500,50000,7,1.0,2.0529952,-1.6407852572422763e-05,-0.5426806526146482,0.10991312,700
-0.07361673496668118,-0.2638060011614122,0.14999999,0.03972349,0.000177409983337214,100,500.0,1.5,0.7044018,0.037826717,500,50000,8,1.0,1.3131441,-1.6407852572422763e-05,-0.3771989240988804,0.09399396,800
-0.07322191518796746,-0.2426299916088072,0.14999999,0.013094539,0.00010088167596835765,100,500.0,1.5,0.6665751,0.009418029,500,50000,9,1.0,-0.66145265,-3.4381062385611065e-06,-0.37374741336231265,0.08186568,900
-0.07392232228539557,-0.22575922467646603,0.14999999,0.013866418,0.00014063407231455674,100,500.0,1.5,0.6759931,0.0119462395,500,50000,10,1.0,0.12191987,-3.4381062385611065e-06,-0.3798717097828896,0.07276801,1000
-0.08030564653732125,-0.21253617211836195,0.14999999,0.013406771,0.00014695424933936662,100,500.0,1.5,0.68303335,0.01147091,500,50000,11,1.0,-0.6797065,-3.4381062385611065e-06,-0.4114864364025793,0.06082177,1100
-0.09039350104376773,-0.2023576161954791,0.14999999,0.06018592,0.0002903832672997949,100,500.0,1.5,0.67609364,0.058570903,500,50000,12,1.0,0.3335283,-3.4381062385611065e-06,-0.4633039830687001,0.04935086,1200
-0.07528724024272927,-0.19258297189142143,0.14999999,0.0042196186,0.00010485552204399335,100,500.0,1.5,0.6175227,0.0039468817,500,50000,13,1.0,2.6461155,-3.4381062385611065e-06,-0.38402075477449027,0.03550188,1300
-0.0919567222456973,-0.18539538263101255,0.14999999,0.025401374,0.00023725115616713598,100,500.0,1.5,0.6214696,0.022411747,500,50000,14,1.0,1.1195498,-3.4381062385611065e-06,-0.4695901974919354,0.034009464,1400
-0.07336326760001696,-0.1779265749622795,0.14999999,0.025109585,0.0001172112391554042,100,500.0,1.5,0.59905785,0.024985509,500,50000,15,1.0,2.7177641,-3.4381062385611065e-06,-0.37531389385415254,0.02205357,1500
-0.06322463508546929,-0.1707577037199789,0.14999999,0.000643166,6.0591452794083637e-05,100,500.0,1.5,0.57407236,0.000642474,500,50000,16,1.0,2.4430435,-3.4381062385611065e-06,-0.323537392332849,0.019560462,1600
-0.0666401893078587,-0.16463314404867768,0.14999999,0.00830993,8.274224481519831e-05,100,500.0,1.5,0.5734299,0.007893506,500,50000,17,1.0,3.3432086,-3.4381062385611065e-06,-0.34120377060862245,0.01959029,1700
-0.06317152668863772,-0.15899638752867545,0.14999999,0.0011407022,5.5465037059289155e-05,100,500.0,1.5,0.5813234,0.0009059567,500,50000,18,1.0,0.39720216,-3.4381062385611065e-06,-0.3220558415270839,0.016992697,1800
-0.06730259236068886,-0.15417039830930776,0.14999999,0.0068991478,9.814128689060386e-05,100,500.0,1.5,0.5820165,0.006788577,500,50000,19,1.0,0.87594587,-3.4381062385611065e-06,-0.3446185328691782,0.017898655,1900
-0.07314234677443954,-0.15011899573256435,0.14999999,0.010637802,9.625712073763328e-05,100,500.0,1.5,0.58324677,0.009932289,500,50000,20,1.0,0.20748356,-3.4381062385611065e-06,-0.37208133643635954,0.011110078,2000
-0.0610639815921,-0.14587828077349463,0.14999999,0.013602012,6.766340919417043e-05,100,500.0,1.5,0.5733145,0.013431375,500,50000,21,1.0,1.9378353,-3.4381062385611065e-06,-0.3100899197637748,0.007300555,2100
-0.05261450145147797,-0.1416390180770393,0.14999999,0.010874376,6.616891810428778e-05,100,500.0,1.5,0.58674586,0.010697824,500,50000,22,1.0,-0.40038195,-3.4381062385611065e-06,-0.2724344594998313,0.009448319,2200
-0.06960678933749875,-0.13850718204488538,0.14999999,0.021658678,0.00010695896054469236,100,500.0,1.5,0.576048,0.020283472,500,50000,23,1.0,-0.19741479,-3.1326880836854387e-06,-0.3564543901103416,0.007496752,2300
-0.06123674109412064,-0.13528758033860352,0.14999999,0.008080513,6.455149485911396e-05,100,500.0,1.5,0.5963315,0.0077962363,500,50000,24,1.0,2.228494,-3.1326880836854387e-06,-0.3116511817598552,-9.792345e-05,2400
-0.04544861357007597,-0.1316940216678624,0.14999999,0.015451576,4.1846364060554603e-05,100,500.0,1.5,0.6041277,0.015403443,500,50000,25,1.0,2.6565742,-3.1326880836854387e-06,-0.23147028357645372,-0.0022223992,2500
-0.0711057906022578,-0.12936370508841608,0.14999999,0.017669244,0.00010808118201175785,100,500.0,1.5,0.61953115,0.01695411,500,50000,26,1.0,0.8212571,-3.1326880836854387e-06,-0.36376718468788355,-0.0010037379,2600
-0.06201190206592768,-0.12686919386536097,0.14999999,0.01306983,8.834980727373343e-05,100,500.0,1.5,0.6364853,0.013000813,500,50000,27,1.0,0.37787932,-3.1326880836854387e-06,-0.3158233040161732,-0.005979715,2700
-0.06099443850882705,-0.12451652403119902,0.14999999,0.017522698,0.00013580068625454494,100,500.0,1.5,0.64948606,0.017477103,500,50000,28,1.0,-0.42739707,-3.1326880836854387e-06,-0.31115152214914416,-0.007321102,2800
-0.0707053734448491,-0.12266096711442832,0.14999999,0.0034836787,0.00012257263526914606,100,500.0,1.5,0.63200897,0.0026379155,500,50000,29,1.0,-0.18020195,-3.1326880836854387e-06,-0.36019950110499943,-0.0085843615,2900
-0.05838817263761472,-0.12051854063186787,0.14999999,0.011604934,3.687063203860417e-05,100,500.0,1.5,0.62937105,0.011496826,500,50000,30,1.0,1.7732413,-3.1326880836854387e-06,-0.2966731941418357,-0.010859756,3000
-0.05853332071461355,-0.11851901740873064,0.14999999,0.008341238,5.8700274683570415e-05,100,500.0,1.5,0.6178742,0.008080057,500,50000,31,1.0,-2.3107827,-3.1326880836854387e-06,-0.2997107693034556,-0.009279416,3100
-0.07394960770840589,-0.11712622335559551,0.14999999,0.011108137,0.00010532416251203799,100,500.0,1.5,0.60979414,0.010063362,500,50000,32,1.0,-1.3466083,-3.1326880836854387e-06,-0.3786114032371883,-0.01135039,3200
-0.07133090685277821,-0.11573848649187378,0.14999999,0.008659035,9.569656546414652e-05,100,500.0,1.5,0.5997308,0.008628435,500,50000,33,1.0,1.4935282,-3.1326880836854387e-06,-0.36008725875238456,-0.01605352,3300
-0.0579612633019984,-0.11403915639805391,0.14999999,0.023234006,5.128260685837199e-05,100,500.0,1.5,0.59110236,0.023208657,500,50000,34,1.0,-0.3333661,-3.1326880836854387e-06,-0.3005096085223984,-0.015326203,3400
-0.054912973070430166,-0.11234983687440753,0.14999999,0.032783546,5.8639602495487276e-05,100,500.0,1.5,0.61431104,0.0327835,500,50000,35,1.0,-0.15395316,-3.4070192853690256e-07,-0.27894266378450233,-0.014241178,3500
-0.05717789859402811,-0.11081728303328585,0.14999999,0.0058169593,5.014551559865072e-05,100,500.0,1.5,0.64709455,0.0045216396,500,50000,36,1.0,0.67289495,-3.4070192853690256e-07,-0.2933374565972496,-0.014186811,3600
-0.0571815632628029,-0.10936766898543498,0.14999999,0.02027895,5.0644101983261935e-05,100,500.0,1.5,0.6516162,0.02021977,500,50000,37,1.0,1.9471731,-3.4070192853690256e-07,-0.2936303590996674,-0.01784629,3700
-0.057052098036851503,-0.10799094343415645,0.14999999,0.013149449,4.501733079715624e-05,100,500.0,1.5,0.6313965,0.01239297,500,50000,38,1.0,1.6169713,-3.4070192853690256e-07,-0.2911190185800707,-0.019394405,3800
-0.061063848988114754,-0.10678768460220667,0.14999999,0.00952465,9.165235014755919e-05,100,500.0,1.5,0.6190035,0.007108955,500,50000,39,1.0,1.9153892,-3.4070192853690256e-07,-0.30976370541215614,-0.014998692,3900
-0.05624811588515066,-0.10552419538428026,0.14999999,0.0070735295,4.987871310243562e-05,100,500.0,1.5,0.6261124,0.0070626377,500,50000,40,1.0,0.7556767,-3.4070192853690256e-07,-0.2867802592301538,-0.0086597875,4000
-0.06514782157138298,-0.10453940577908764,0.14999999,0.021104544,9.487229835072738e-05,100,500.0,1.5,0.633175,0.021048073,500,50000,41,1.0,0.3603172,-3.4070192853690256e-07,-0.3350532258674207,-0.008267397,4100
-0.050235150671254704,-0.10324644732413926,0.14999999,0.007642857,4.5509873664371724e-05,100,500.0,1.5,0.6542231,0.007640679,500,50000,42,1.0,-0.2869656,-3.4070192853690256e-07,-0.25757698224701425,-0.006724519,4200
-0.05984583270399625,-0.10223713070506615,0.14999999,0.041475855,7.430156890259855e-05,100,500.0,1.5,0.6465824,0.041334197,500,50000,43,1.0,-2.1846,-3.4070192853690256e-07,-0.30673454249737103,-0.0069069597,4300
-0.07079891349932771,-0.1015226257685721,0.14999999,0.033820122,0.00010547811903715997,100,500.0,1.5,0.6052482,0.033757333,500,50000,44,1.0,0.4818865,-3.4070192853690256e-07,-0.36420965527100274,-0.01033198,4400
-0.06925936998172301,-0.10080566452886436,0.14999999,0.019877952,9.481631086836044e-05,100,500.0,1.5,0.5714909,0.01981999,500,50000,45,1.0,-1.4737271,-3.4070192853690256e-07,-0.35136265913064885,-0.0123919295,4500
-0.04630658075251355,-0.09962090183807411,0.14999999,0.021037387,7.043321484407864e-05,100,500.0,1.5,0.59131086,0.02103685,500,50000,46,1.0,0.84476143,-3.4070192853690256e-07,-0.23776907104746314,-0.013908824,4600
-0.06490260168841595,-0.09888221460084733,0.14999999,0.006938184,6.769007671711832e-05,100,500.0,1.5,0.570274,0.0068308623,500,50000,47,1.0,-1.5651468,-3.4070192853690256e-07,-0.3335875789061884,-0.013758583,4700
-0.05431057117998307,-0.097953638696246,0.14999999,0.0014033053,7.564771014251513e-05,100,500.0,1.5,0.57710487,0.0013244526,500,50000,48,1.0,1.747011,-3.4070192853690256e-07,-0.2760906877584832,-0.012542968,4800
-0.0800962587399403,-0.09758920237060711,0.14999999,0.005878689,0.0001537220761278011,100,500.0,1.5,0.5766411,0.0058251955,500,50000,49,1.0,-1.3929306,-3.4070192853690256e-07,-0.4101151050812854,-0.011218515,4900
-0.06180763168160815,-0.09687357095682712,0.14999999,0.0075834803,7.50213329959642e-05,100,500.0,1.5,0.57081586,0.0061644563,500,50000,50,1.0,-2.9727316,-3.4070192853690256e-07,-0.31499030510717363,-0.010427265,5000
