MountainCar_std1_higher,NumTrajectories,VarJ,StepSize,ReturnMax,MountainCar_mu1_higher,BatchSize,NatGrad2Norm,AvgEpLen,MountainCar_std0_higher,J,ActionIn1,ReturnMean,MountainCar_mu0_higher,TimestepsSoFar,MinEpLen,Iteration,NatGradInftyNorm,AvgRet
1.5,1900,0.0008968697900574495,0.0001,-0.00010227112839682561,-0.8971495,100,0.06614611,500.0,0.14999999,-0.49781254288945775,-1.1995027,-0.4928357193817753,-0.44156578,50000,500,19,0.04791313,-2.5081305234091102
1.5,2000,0.0005525960879891075,0.0001,-0.00010227112839682561,-0.8971541,100,0.040903628,500.0,0.14999999,-0.5029768916587409,-1.8680749,-0.49334277799562354,-0.44156098,50000,500,20,0.036383674,-2.531526115456737
1.5,2100,0.0009717471592348481,0.0001,-0.00010227112839682561,-0.89715225,100,0.10038474,500.0,0.14999999,-0.5091396408673609,-1.4026296,-0.4940950095609445,-0.44155735,50000,500,21,0.08494308,-2.5692843435600206
1.5,2200,0.0010066177896852345,0.0001,-0.00010227112839682561,-0.8971437,100,0.05903586,500.0,0.14999999,-0.46914413085305917,-2.1585026,-0.4929608787105859,-0.44155198,50000,500,22,0.046509266,-2.3644184191705544
1.5,2300,0.0007047248664821245,0.0001,-0.00010227112839682561,-0.89714736,100,0.06513847,500.0,0.14999999,-0.5163968967998499,-1.616005,-0.4939798360188149,-0.44154733,50000,500,23,0.046705686,-2.6025790409323246
1.5,2400,0.0007167997391158594,0.0001,-0.00010227112839682561,-0.897152,100,0.033241227,500.0,0.14999999,-0.46011938023657106,-1.2450945,-0.49256898369455465,-0.4415428,50000,500,24,0.030496068,-2.3211725794688287
1.5,2500,0.0009630903921634756,0.0001,-0.00010227112839682561,-0.8971507,100,0.046364136,500.0,0.14999999,-0.47939002074625675,-2.8929102,-0.49204182517662276,-0.44153976,50000,500,25,0.04609304,-2.4119555920598073
1.5,2600,0.0008436599253925019,0.0001,-0.00010227112839682561,-0.8971502,100,0.06356644,500.0,0.14999999,-0.4941563757135662,-1.0111561,-0.4921231540434282,-0.44153515,50000,500,26,0.04495274,-2.4898275930781035
1.5,2700,0.0009017559248318316,0.0001,-0.00010227112839682561,-0.8971547,100,0.08929735,500.0,0.14999999,-0.5110771987230744,-1.7566746,-0.49282515569823,-0.44153064,50000,500,27,0.07300461,-2.57682487669717
1.5,2800,0.0010464987445197125,0.0001,-0.00010227112839682561,-0.8971474,100,0.06040926,500.0,0.14999999,-0.5181361594664867,-1.5452685,-0.4937291201185249,-0.4415255,50000,500,28,0.058226287,-2.6095880962582303
1.5,2900,0.0007122122082257439,0.0001,-0.00010227112839682561,-0.8971458,100,0.0364598,500.0,0.14999999,-0.48088104340897203,-1.7609131,-0.4932860829906093,-0.44151968,50000,500,29,0.03640593,-2.422300015773809
1.5,3000,0.0007867320677443139,0.0001,-0.00010227112839682561,-0.897146,100,0.16303572,500.0,0.14999999,-0.5008479375867987,-0.2726398,-0.4935381448104822,-0.44151604,50000,500,30,0.15664987,-2.5248501092888773
1.5,3100,0.0006964341867201655,0.0001,-0.00010227112839682561,-0.89716166,100,0.052224185,500.0,0.14999999,-0.5181300475951801,-1.5074193,-0.49433143199708535,-0.4415115,50000,500,31,0.04555235,-2.614035957292318
1.5,3200,0.0007061944996047237,0.0001,-0.00010227112839682561,-0.8971591,100,0.09943727,500.0,0.14999999,-0.46950647704286685,-2.381902,-0.4935556521547661,-0.44150695,50000,500,32,0.09370114,-2.3643689254425464
1.5,3300,0.0008054466642716062,0.0001,-0.00010227112839682561,-0.89716846,100,0.065781504,500.0,0.14999999,-0.5138859908980208,-1.6078408,-0.4941717230257738,-0.4415036,50000,500,33,0.048597317,-2.5891096914190097
1.5,3400,0.0007797458019783302,0.0001,-0.00010227112839682561,-0.89716405,100,0.09507496,500.0,0.14999999,-0.4520428717075965,0.60890126,-0.49293263916347446,-0.44149876,50000,500,34,0.08942276,-2.2782346791892594
1.5,3500,0.0009696209618039355,0.0001,-7.269728041599794e-05,-0.8971551,100,0.062761076,500.0,0.14999999,-0.5155593633079277,-3.607459,-0.4935791169961731,-0.44149554,50000,500,35,0.055935435,-2.594247460029377
1.5,3600,0.0009460391915493675,0.0001,-7.269728041599794e-05,-0.89715225,100,0.057856444,500.0,0.14999999,-0.5052293006512562,-0.6668503,-0.49390273320881434,-0.44148993,50000,500,36,0.05242059,-2.5456930885763795
1.5,3700,0.0007945966841814754,0.0001,-7.269728041599794e-05,-0.8971498,100,0.055092283,500.0,0.14999999,-0.4266988530267624,-1.126868,-0.4920864121228129,-0.4414847,50000,500,37,0.047989007,-2.14908070285131
1.5,3800,0.0008343313225532303,0.0001,-7.269728041599794e-05,-0.8971546,100,0.13137823,500.0,0.14999999,-0.4892665539676522,-3.4881356,-0.49201220532925605,-0.44148198,50000,500,38,0.12423018,-2.4654460428864247
1.5,3900,0.000815254930394501,0.0001,-7.269728041599794e-05,-0.897167,100,0.11508279,500.0,0.14999999,-0.5265760926316856,-2.5254867,-0.4928984588498312,-0.44147772,50000,500,39,0.10284399,-2.6545310127675164
1.5,4000,0.0008473719153448509,0.0001,-7.269728041599794e-05,-0.8971567,100,0.07798221,500.0,0.14999999,-0.5272336478207295,-2.8088808,-0.4937568385741036,-0.44147256,50000,500,40,0.05601794,-2.657494053337412
1.5,4100,0.0008312292600794586,0.0001,-7.269728041599794e-05,-0.8971511,100,0.08552305,500.0,0.14999999,-0.5178901996326968,-0.67174745,-0.49434545713650835,-0.44146714,50000,500,41,0.06953367,-2.6133923445731098
1.5,4200,0.0006356642227697627,0.0001,-7.269728041599794e-05,-0.8971581,100,0.12871648,500.0,0.14999999,-0.44880661275615885,-0.95814264,-0.49326119893697634,-0.44146216,50000,500,42,0.12602846,-2.260857274766101
1.5,4300,0.0008694136147028714,0.0001,-7.269728041599794e-05,-0.8971455,100,0.067044415,500.0,0.14999999,-0.44563561331078566,-0.92586565,-0.4921536271782275,-0.44145954,50000,500,43,0.05767932,-2.247490664332647
1.5,4400,0.0011929650796916795,0.0001,-7.269728041599794e-05,-0.8971513,100,0.24523216,500.0,0.14999999,-0.5158501216494839,-0.7614279,-0.49269218387075614,-0.4414561,50000,500,44,0.236915,-2.5985677481942417
1.5,4500,0.0007736549034495156,0.0001,-7.269728041599794e-05,-0.8971276,100,0.064467736,500.0,0.14999999,-0.47940497597512327,-3.43043,-0.4923969125841865,-0.4414498,50000,500,45,0.05214132,-2.4177707025422728
1.5,4600,0.0008149015903209615,0.0001,-7.269728041599794e-05,-0.89712244,100,0.16097966,500.0,0.14999999,-0.450347647158066,-0.080842584,-0.49148279811840123,-0.441446,50000,500,46,0.15748677,-2.26932455606039
1.5,4700,0.0007757855844301453,0.0001,-7.269728041599794e-05,-0.8971067,100,0.04408256,500.0,0.14999999,-0.49488730395533054,-4.206739,-0.49155523441280397,-0.44144267,50000,500,47,0.042243604,-2.490685220563229
1.5,4800,0.0007371411937203456,0.0001,-7.269728041599794e-05,-0.89710546,100,0.14129671,500.0,0.14999999,-0.5085660123330165,-4.603486,-0.49190962561947515,-0.44143844,50000,500,48,0.13394047,-2.5656948580282237
1.5,4900,0.0006155924682724981,0.0001,-7.269728041599794e-05,-0.89709204,100,0.11034856,500.0,0.14999999,-0.45187181522547076,-3.2572665,-0.4910925274481689,-0.44143394,50000,500,49,0.107288435,-2.27792600920487
1.5,5000,0.0007061662468541963,0.0001,-7.269728041599794e-05,-0.8971028,100,0.080681786,500.0,0.14999999,-0.5089002763615857,-0.61820734,-0.49144868242643724,-0.44143134,50000,500,50,0.068155274,-2.564465169844677
