StepSize,VarJ,J,MountainCar_std1_higher,NumTrajectories,BatchSize,ReturnMax,MountainCar_mu1_higher,MinEpLen,MountainCar_std0_higher,ReturnMean,ActionIn1,NatGradInftyNorm,TimestepsSoFar,NatGrad2Norm,MountainCar_mu0_higher,AvgEpLen,AvgRet,Iteration
0.0001,8.925204000006656e-05,-0.06309450952571372,1.5,100,100,-6.896648600482938e-06,-0.99866194,500,0.14999999,-0.06309450952571372,-0.32980525,0.012621832,50000,0.013182456,0.05171383,500.0,-0.3189691725742292,1
0.0001,0.00024957583687270545,-0.09946491708446693,1.5,200,100,-6.859382344397066e-06,-0.9986607,500,0.14999999,-0.08127971330509032,-3.9230382,0.027740467,50000,0.033814922,0.05171345,500.0,-0.5046831558961213,2
0.0001,5.688975170609033e-05,-0.058355088991442976,1.5,300,100,-6.859382344397066e-06,-0.9986635,500,0.14999999,-0.07363817186720789,-0.24901031,0.002687149,50000,0.0026958107,0.05171152,500.0,-0.29551075809870786,3
0.0001,0.00016837658072104675,-0.09065233613242311,1.5,400,100,-3.137319856971901e-06,-0.9986635,500,0.14999999,-0.07789171293351167,-0.39575872,0.015640501,50000,0.019485997,0.05171125,500.0,-0.4598199432798528,4
0.0001,0.00011719338841618279,-0.07547138620424866,1.5,500,100,-3.137319856971901e-06,-0.99866194,500,0.14999999,-0.07740764758765908,-2.4608083,0.011165329,50000,0.012365974,0.051710088,500.0,-0.38265253658809484,5
0.0001,0.00011058334668643745,-0.08717594658519104,1.5,600,100,-3.137319856971901e-06,-0.9986625,500,0.14999999,-0.07903569742058107,0.680446,0.008226722,50000,0.008261077,0.05170897,500.0,-0.44206596340783255,6
0.0001,0.00010117679086106276,-0.0824075470760379,1.5,700,100,-3.137319856971901e-06,-0.99866253,500,0.14999999,-0.07951739022850347,-0.25423634,0.012269186,50000,0.01468416,0.051708147,500.0,-0.4181870485500141,7
0.0001,0.00011333857673063205,-0.06933239240454568,1.5,800,100,-3.137319856971901e-06,-0.9986613,500,0.14999999,-0.07824426550050875,-2.473021,0.043341998,50000,0.04406719,0.05170734,500.0,-0.3511098313579758,8
0.0001,4.3647027740648826e-05,-0.05199773337498063,1.5,900,100,-3.137319856971901e-06,-0.99866563,500,0.14999999,-0.07532798415322785,-0.6967664,0.0027876317,50000,0.0034095703,0.05170654,500.0,-0.2614547125819252,9
0.0001,0.00016792019710314715,-0.09070160825393686,1.5,1000,100,-3.137319856971901e-06,-0.99866533,500,0.14999999,-0.07686534656329877,-2.3242078,0.011594195,50000,0.013787349,0.051706344,500.0,-0.4601893109061387,10
