StepSize,VarJ,J,MountainCar_std1_higher,NumTrajectories,BatchSize,ReturnMax,MountainCar_mu1_higher,MinEpLen,MountainCar_std0_higher,ReturnMean,ActionIn1,NatGradInftyNorm,TimestepsSoFar,NatGrad2Norm,MountainCar_mu0_higher,AvgEpLen,AvgRet,Iteration
0.0001,0.00012757443837439726,-0.08324572516430535,1.5,1100,100,-3.137319856971901e-06,-0.9986661,500,0.14999999,-0.07744538098157208,-0.121371984,0.014317973,50000,0.01932498,0.051705185,500.0,-0.4217831225594656,11
0.0001,0.00012079908298913205,-0.0672091054819761,1.5,1200,100,-3.137319856971901e-06,-0.9986674,500,0.14999999,-0.07659235802327241,-1.0839856,0.006040136,50000,0.00632198,0.051703755,500.0,-0.33991416862662144,12
0.0001,0.00012462079314309483,-0.08069355697737354,1.5,1300,100,-3.137319856971901e-06,-0.9986676,500,0.14999999,-0.07690783486589557,-2.5344903,0.03944354,50000,0.041581754,0.05170315,500.0,-0.4099114521220979,13
0.0001,8.582139555135087e-05,-0.07095269627917912,1.5,1400,100,-3.137319856971901e-06,-0.99867153,500,0.14999999,-0.07648246782398727,-2.868088,0.018583205,50000,0.01938934,0.051701836,500.0,-0.35999608672538225,14
0.0001,0.00018659642222480801,-0.09060599385994188,1.5,1500,100,-3.137319856971901e-06,-0.9986734,500,0.14999999,-0.07742403622638425,-5.1235914,0.017427677,50000,0.018534716,0.05170128,500.0,-0.45852497223733635,15
0.0001,6.375241686461537e-05,-0.06257879274762469,1.5,1600,100,-3.137319856971901e-06,-0.9986727,500,0.14999999,-0.07649620850896176,-1.3219755,0.02854819,50000,0.02923027,0.051699538,500.0,-0.3174814075290805,16
0.0001,0.00015012190022149134,-0.08861337217556223,1.5,1700,100,-3.137319856971901e-06,-0.9986756,500,0.14999999,-0.07720898284229122,0.7055011,0.014030933,50000,0.016381627,0.05169891,500.0,-0.44940074841030714,17
0.0001,9.709473396195163e-05,-0.07305798885242032,1.5,1800,100,-3.137319856971901e-06,-0.99867475,500,0.14999999,-0.07697837206507614,-1.0331566,0.014748647,50000,0.015420048,0.051697504,500.0,-0.3700113479062711,18
0.0001,0.00017084802089783603,-0.08053624771782682,1.5,1900,100,-1.0992051136724342e-07,-0.99867624,500,0.14999999,-0.07716562867837883,-0.44595638,0.028110411,50000,0.030999886,0.051697053,500.0,-0.40742332745268933,19
0.0001,6.692649146017668e-05,-0.062542706095277,1.5,2000,100,-1.0992051136724342e-07,-0.99867904,500,0.14999999,-0.07643448254922373,1.8786265,0.016716376,50000,0.017756693,0.051695745,500.0,-0.3164575353585001,20
0.0001,8.553584446569975e-05,-0.06896932837859536,1.5,2100,100,-1.0992051136724342e-07,-0.9986774,500,0.14999999,-0.07607899901728905,-3.9763498,0.006830595,50000,0.006905078,0.051695146,500.0,-0.34842977188464835,21
0.0001,0.00010974011194635834,-0.0696041245952879,1.5,2200,100,-1.0992051136724342e-07,-0.998678,500,0.14999999,-0.07578468654356171,0.00547342,0.0066163098,50000,0.008798201,0.051695045,500.0,-0.35265819371936724,22
0.0001,8.952724823023434e-05,-0.07608270027039093,1.5,2300,100,-1.0992051136724342e-07,-0.99867743,500,0.14999999,-0.07579764366211951,1.8904586,0.009967397,50000,0.011628066,0.051694382,500.0,-0.3847564810840299,23
0.0001,0.0001377894066056186,-0.06953922720018484,1.5,2400,100,-1.0992051136724342e-07,-0.99867845,500,0.14999999,-0.07553687630953891,0.1988693,0.027695665,50000,0.02873629,0.051693782,500.0,-0.3514987459492805,24
0.0001,0.00012222381909841268,-0.078407447444435,1.5,2500,100,-1.0992051136724342e-07,-0.9986812,500,0.14999999,-0.07565169915493475,-1.1147139,0.023661194,50000,0.026124345,0.051693015,500.0,-0.3986873359689191,25
0.0001,6.737826173197446e-05,-0.06198079547940554,1.5,2600,100,-1.0992051136724342e-07,-0.9986836,500,0.14999999,-0.0751258951674144,-1.5126549,0.014937804,50000,0.015857965,0.05169191,500.0,-0.3139967528958367,26
0.0001,6.498411368831106e-05,-0.06865364856759476,1.5,2700,100,-1.0992051136724342e-07,-0.99868506,500,0.14999999,-0.07488618233038404,-0.67614996,0.02124816,50000,0.02199683,0.051691376,500.0,-0.348432578948912,27
0.0001,7.440928928147766e-05,-0.06901556518421158,1.5,2800,100,-1.0992051136724342e-07,-0.9986829,500,0.14999999,-0.07467651743230645,0.6765868,0.010245417,50000,0.011820629,0.051690806,500.0,-0.350404298491625,28
0.0001,0.00012395244461175188,-0.07690366240819461,1.5,2900,100,-1.0992051136724342e-07,-0.9986819,500,0.14999999,-0.07475331553492329,-0.93596375,0.07004108,50000,0.07074098,0.051690217,500.0,-0.39018902277017603,29
0.0001,0.00012331064507246128,-0.07322874307548047,1.5,3000,100,-1.0992051136724342e-07,-0.99868894,500,0.14999999,-0.07470249645294184,-0.14043681,0.02125407,50000,0.024420494,0.051689226,500.0,-0.37345431557687825,30
0.0001,0.0001000836785156911,-0.0655111639160543,1.5,3100,100,-1.0992051136724342e-07,-0.9986911,500,0.14999999,-0.07440600185497774,-2.8910694,0.006860343,50000,0.008998615,0.051688023,500.0,-0.33188257487114425,31
0.0001,0.00020665377065466422,-0.08793361845739947,1.5,3200,100,-1.0992051136724342e-07,-0.9986917,500,0.14999999,-0.07482873987380341,-1.5862297,0.01794141,50000,0.018211894,0.051687337,500.0,-0.4459726742050318,32
0.0001,8.394539172785508e-05,-0.07069578067147253,1.5,3300,100,-1.0992051136724342e-07,-0.998692,500,0.14999999,-0.07470349868585399,1.138192,0.005269831,50000,0.0064602373,0.051685542,500.0,-0.35778230293857033,33
0.0001,0.00017247857635894635,-0.07954140677656392,1.5,3400,100,-1.0992051136724342e-07,-0.9986916,500,0.14999999,-0.07484579010028664,1.485658,0.015300184,50000,0.021094212,0.051685017,500.0,-0.4026299657487033,34
0.0001,0.0002641939402550765,-0.0781026372638047,1.5,3500,100,-1.0992051136724342e-07,-0.99869305,500,0.14999999,-0.07493884287638716,-3.1242273,0.014545431,50000,0.014545862,0.051683486,500.0,-0.395654067575781,35
0.0001,8.069647982481173e-05,-0.06265839843386752,1.5,3600,100,-1.0992051136724342e-07,-0.99869305,500,0.14999999,-0.07459771941965049,0.33164072,0.03635497,50000,0.036947735,0.051682033,500.0,-0.3187459376121481,36
0.0001,0.00010607502626142964,-0.06918243234598366,1.5,3700,100,-1.0992051136724342e-07,-0.9986967,500,0.14999999,-0.07445136030955139,-3.6760669,0.010169512,50000,0.013818676,0.051681373,500.0,-0.35055661083503287,37
0.0001,0.00030539996199102333,-0.0843097375292876,1.5,3800,100,-1.0992051136724342e-07,-0.9986977,500,0.14999999,-0.07471079128901814,-0.21977192,0.013508823,50000,0.018493865,0.05168044,500.0,-0.42608916977427896,38
0.0001,0.00012105008046288198,-0.07575495931402959,1.5,3900,100,-1.0992051136724342e-07,-0.99869895,500,0.14999999,-0.07473756482812101,-0.8930606,0.03289152,50000,0.033726335,0.051679086,500.0,-0.3847288046773849,39
0.0001,0.00019753280266125335,-0.08615938526778402,1.5,4000,100,-1.0992051136724342e-07,-0.9986957,500,0.14999999,-0.07502311033911258,1.4573243,0.030919755,50000,0.034774605,0.05167834,500.0,-0.4380849822946458,40
0.0001,0.0002850040896925577,-0.11583025712333656,1.5,4100,100,-1.0992051136724342e-07,-0.9986926,500,0.14999999,-0.07601840660214243,-2.2523887,0.07997826,50000,0.08402171,0.05167675,500.0,-0.5877879129754355,41
0.0001,0.00012422034296417914,-0.07795126891176454,1.5,4200,100,-1.0992051136724342e-07,-0.99870056,500,0.14999999,-0.07606442713332391,-1.2136753,0.008766342,50000,0.010026789,0.051674176,500.0,-0.3947732788052731,42
0.0001,0.0001641645572595007,-0.08020106753007733,1.5,4300,100,-1.0992051136724342e-07,-0.99870104,500,0.14999999,-0.07616062807278327,-3.1575403,0.013454929,50000,0.018768584,0.0516733,500.0,-0.40694274837732175,43
0.0001,0.00014640083387405838,-0.08095576228818371,1.5,4400,100,-1.0992051136724342e-07,-0.99870235,500,0.14999999,-0.07626960839586058,1.5506619,0.012207871,50000,0.013007492,0.051671956,500.0,-0.4106616503049927,44
0.0001,9.83422684375749e-05,-0.060095464122611755,1.5,4500,100,-1.0992051136724342e-07,-0.9987019,500,0.14999999,-0.07591018296756614,-1.8606017,0.023589816,50000,0.024806427,0.051670734,500.0,-0.30465318478491027,45
0.0001,0.00015110475331660226,-0.07445289909478083,1.5,4600,100,-1.0992051136724342e-07,-0.9986995,500,0.14999999,-0.07587850288337517,-1.0212072,0.021949219,50000,0.02220729,0.051669966,500.0,-0.37635419669293774,46
0.0001,0.0001949750646563274,-0.09785360854454908,1.5,4700,100,-1.0992051136724342e-07,-0.9987017,500,0.14999999,-0.0763460583229746,0.1087164,0.012880408,50000,0.013673421,0.051669627,500.0,-0.49412990318744654,47
0.0001,0.00020433350408843761,-0.07996975707523818,1.5,4800,100,-1.0992051136724342e-07,-0.9987012,500,0.14999999,-0.0764215520469801,-3.3271816,0.03687418,50000,0.038747665,0.05166834,500.0,-0.40623208015095463,48
0.0001,7.705320717568552e-05,-0.0631930466568143,1.5,4900,100,-1.0992051136724342e-07,-0.9986975,500,0.14999999,-0.07615158254922162,1.0488839,0.010092295,50000,0.012872302,0.051667146,500.0,-0.3198839112862393,49
0.0001,0.00014431358046976988,-0.08903722851444729,1.5,5000,100,-1.0992051136724342e-07,-0.99869853,500,0.14999999,-0.07640929546852612,-0.94296765,0.03127428,50000,0.031569373,0.05166635,500.0,-0.4518249415958323,50
