MinEpLen,AvgRet,BatchSize,ReturnMax,TimestepsSoFar,MountainCar_mu0_higher,VarJ,NumTrajectories,NatGrad2Norm,ReturnMean,ActionIn1,AvgEpLen,StepSize,Iteration,MountainCar_std1_higher,J,NatGradInftyNorm,MountainCar_std0_higher,MountainCar_mu1_higher
500,-0.3189691725742292,100,-6.896648600482938e-06,50000,0.05171383,8.925204000006656e-05,100,0.013182456,-0.06309450952571372,-0.32980525,500.0,0.01,1,1.5,-0.06309450952571372,0.012621832,0.14999999,-0.99866194
500,-0.5045988789068119,100,-6.896648600482938e-06,50000,0.051675797,0.0002494751647381341,200,0.033809233,-0.08127139682666201,-3.922951,500.0,0.01,2,1.5,-0.09944828412761032,0.027738424,0.14999999,-0.9985357
500,-0.2952300527326769,100,-6.896648600482938e-06,50000,0.0514825,5.676079042179753e-05,300,0.0026732774,-0.07361434192398032,-0.24938893,500.0,0.01,3,1.5,-0.05830023211861696,0.0026627646,0.14999999,-0.9988131
500,-0.45926734525478535,100,-4.56130061196304e-06,50000,0.05145587,0.0001679592081937828,400,0.019426778,-0.0778467212176445,-0.39616132,500.0,0.01,4,1.5,-0.090543859098637,0.015598309,0.14999999,-0.9988107
500,-0.38172647534472326,100,-4.56130061196304e-06,50000,0.051340073,0.00011670151198620095,500,0.012305559,-0.07733530432185645,-2.4611712,500.0,0.01,5,1.5,-0.07528963673870433,0.011116607,0.14999999,-0.9986547
500,-0.4410152730440709,100,-4.56130061196304e-06,50000,0.051228907,0.00011005417928288244,600,0.008182574,-0.07894107091664897,0.679921,500.0,0.01,6,1.5,-0.08696990389061149,0.008151276,0.14999999,-0.9987075
500,-0.4170565124972738,100,-4.56130061196304e-06,50000,0.051147394,0.000100555083846845,700,0.014598767,-0.07940459248920252,-0.2548492,500.0,0.01,7,1.5,-0.08218572192452386,0.012222164,0.14999999,-0.9987146
500,-0.3498641940308553,100,-4.56130061196304e-06,50000,0.051067553,0.00011261342503339617,800,0.043830004,-0.07811499537737339,-2.4735918,500.0,0.01,8,1.5,-0.06908781559456949,0.043115344,0.14999999,-0.9985924
500,-0.2605948807909123,100,-4.56130061196304e-06,50000,0.050988726,4.333935985518347e-05,900,0.0034010103,-0.07519440258377114,-0.6978421,500.0,0.01,9,1.5,-0.051829660234953,0.00282317,0.14999999,-0.99902356
500,-0.45843902322684754,100,-4.56130061196304e-06,50000,0.05096976,0.00016677149807851639,1000,0.013656231,-0.07671075050290212,-2.3252742,500.0,0.01,10,1.5,-0.09035788177508097,0.011473172,0.14999999,-0.9989953
500,-0.419389085998938,100,-4.56130061196304e-06,50000,0.05085503,0.00012621124505050597,1100,0.019216351,-0.07726217106391843,-0.122625425,500.0,0.01,11,1.5,-0.08277637667408168,0.014194569,0.14999999,-0.9990694
500,-0.3382683763247914,100,-4.56130061196304e-06,50000,0.050713085,0.00011979535406982229,1200,0.00619111,-0.07639754812092346,-1.0855076,500.0,0.01,12,1.5,-0.0668866957479787,0.0059197657,0.14999999,-0.9991989
500,-0.4074487581276328,100,-4.56130061196304e-06,50000,0.050653886,0.0001229064035663576,1300,0.0413916,-0.07669093933005865,-2.5360892,500.0,0.01,13,1.5,-0.08021163383968088,0.03929378,0.14999999,-0.99921703
500,-0.3578992728486156,100,-4.56130061196304e-06,50000,0.050523784,8.4836096225356e-05,1400,0.019283887,-0.07625183569889482,-2.8702044,500.0,0.01,14,1.5,-0.07054348849376513,0.018517423,0.14999999,-0.99960995
500,-0.4551789333286338,100,-4.56130061196304e-06,50000,0.050469957,0.00018397469876893426,1500,0.018316898,-0.07716488453002839,-5.125944,500.0,0.01,15,1.5,-0.08994756816589815,0.017227182,0.14999999,-0.99979514
500,-0.3143127978803848,100,-4.56130061196304e-06,50000,0.050297685,6.274168327288322e-05,1600,0.029199809,-0.07621442434730902,-1.3244375,500.0,0.01,16,1.5,-0.06195752160651869,0.028549183,0.14999999,-0.9997329
500,-0.445415555445939,100,-4.56130061196304e-06,50000,0.05023639,0.0001477414894721194,1700,0.016177947,-0.07689788514879267,0.70269585,500.0,0.01,17,1.5,-0.08783325797253078,0.013801452,0.14999999,-1.0000184
