MountainCar_mu1_higher,NatGradInftyNorm,TimestepsSoFar,AvgRet,NumTrajectories,BatchSize,StepSize,AvgEpLen,Iteration,ActionIn1,MountainCar_std0_higher,VarJ,MinEpLen,MountainCar_mu0_higher,MountainCar_std1_higher,J,ReturnMax,ReturnMean,NatGrad2Norm
0.57150435,0.1540353,49967,-5.942918939210615,100,100,0.001,499.67,1,-0.78957117,0.14999999,0.0019229158682895014,467,-0.820599,1.5,-1.3552929403478433,-0.2333355906802736,-1.3552929403478433,0.16110815
0.57135034,0.16225974,50000,-6.8312961754537636,200,100,0.001,500.0,2,-0.9770776,0.14999999,0.0016203587177869199,500,-0.8205518,1.5,-1.349037095435647,-0.2333355906802736,-1.3521650178917453,0.16627756
0.5711881,0.122698136,50000,-6.853295184684611,300,100,0.001,500.0,3,0.47372514,0.14999999,0.0012601798461186425,500,-0.82051545,1.5,-1.3544413468775474,-0.2333355906802736,-1.3529237942203458,0.125487
0.57106537,0.04148694,50000,-6.849996225347976,400,100,0.001,500.0,4,1.3308659,0.14999999,0.0017983607296389523,500,-0.82048917,1.5,-1.3520839129210613,-0.2333355906802736,-1.3527138238955247,0.04709473
0.5710431,0.054701455,50000,-6.917201046644886,500,100,0.001,500.0,5,-0.24992436,0.14999999,0.001891560313121651,500,-0.8204477,1.5,-1.3698149976879779,-0.2333355906802736,-1.3561340586540154,0.07512788
0.5710946,0.07232322,50000,-7.177108182757579,600,100,0.001,500.0,6,-1.0683715,0.14999999,0.0017601070427550694,500,-0.82039297,1.5,-1.4177520177006564,-0.2333355906802736,-1.3664037184951223,0.0777631
0.5711231,0.4206328,50000,-7.238348067094612,700,100,0.001,500.0,7,-1.4590044,0.14999999,0.001986899285716404,500,-0.82032067,1.5,-1.4226206087066584,-0.2333355906802736,-1.374434702811056,0.4275192
0.5707025,0.27423057,50000,-7.170822365540148,800,100,0.001,500.0,8,-1.0852535,0.14999999,0.002285911378639655,500,-0.82024425,1.5,-1.413595156189411,-0.2333355906802736,-1.3793297594833507,0.28688508
0.57042825,0.065488935,50000,-7.150125206664396,900,100,0.001,500.0,9,-1.0675871,0.14999999,0.0017210724324797188,500,-0.82016,1.5,-1.4117266426808102,-0.2333355906802736,-1.382929413171957,0.08921822
0.57048887,0.5231895,50000,-6.690714618421489,1000,100,0.001,500.0,10,1.5021276,0.14999999,0.0018140276912423342,500,-0.82009447,1.5,-1.3237477863745173,-0.2333355906802736,-1.3770112504922132,0.5240291
0.5710121,0.62613994,50000,-7.314070666830271,1100,100,0.001,500.0,11,-1.0645761,0.14999999,0.0014744199217273817,500,-0.82006484,1.5,-1.447020661793293,-0.2333355906802736,-1.383375742428675,0.63123745
0.5716382,0.40139276,50000,-7.237930876138439,1200,100,0.001,500.0,12,-3.3748894,0.14999999,0.001940964903812634,500,-0.8199848,1.5,-1.4306203826849824,-0.2333355906802736,-1.3873127957833673,0.41007525
0.5720396,0.36457717,50000,-7.052302974435573,1300,100,0.001,500.0,13,-1.3282304,0.14999999,0.0017877619073267017,500,-0.8199009,1.5,-1.3916638117741056,-0.2333355906802736,-1.3876474893211164,0.36948875
0.571675,0.5521801,50000,-6.842669798789042,1400,100,0.001,500.0,14,1.786691,0.14999999,0.0018842496586399674,500,-0.81984085,1.5,-1.3486560601757258,-0.2333355906802736,-1.3848623872393027,0.55374193
0.5711228,0.39549083,50000,-6.693412618097807,1500,100,0.001,500.0,15,-0.25108832,0.14999999,0.002223442641993134,500,-0.8197993,1.5,-1.325071542222274,-0.2333355906802736,-1.380876330904834,0.39787027
0.5715183,0.072032206,50000,-6.90309114904033,1600,100,0.001,500.0,16,-1.2529765,0.14999999,0.0016559488245455117,500,-0.81975585,1.5,-1.3627482682214898,-0.2333355906802736,-1.379743326987125,0.0852864
0.5714463,0.1566713,50000,-7.418908764401412,1700,100,0.001,500.0,17,0.5198221,0.14999999,0.0021008825679724417,500,-0.8197102,1.5,-1.4609177496355847,-0.2333355906802736,-1.38451829302527,0.18663238
0.5712896,0.13762343,50000,-7.17985955765443,1800,100,0.001,500.0,18,0.3102588,0.14999999,0.002200742054716629,500,-0.81960875,1.5,-1.4162241623438738,-0.2333355906802736,-1.3862797302096366,0.15970872
0.5714272,0.1405478,50000,-7.171433194540174,1900,100,0.001,500.0,19,-2.5825734,0.14999999,0.002249060590777047,500,-0.8195277,1.5,-1.4146693446703014,-0.2333355906802736,-1.3877739204444084,0.16377006
0.5712867,0.26417553,50000,-6.903029908588785,2000,100,0.001,500.0,20,-0.6023108,0.14999999,0.0016302612448451023,500,-0.81944364,1.5,-1.3660050702502666,-0.2333355906802736,-1.3866854779347013,0.26822102
0.57155085,0.060772277,50000,-6.944400793668925,2100,100,0.001,500.0,21,-1.3608505,0.14999999,0.002190758472308232,500,-0.8193972,1.5,-1.3702136417026807,-0.2333355906802736,-1.3859011047807959,0.07992512
