ActionIn1,VarJ,J,Iteration,NatGradInftyNorm,MinEpLen,MountainCar_std0_higher,AvgEpLen,ReturnMax,StepSize,TimestepsSoFar,BatchSize,ReturnMean,NumTrajectories,NatGrad2Norm,MountainCar_std1_higher,MountainCar_mu0_higher,MountainCar_mu1_higher,AvgRet
-0.78957117,0.0019229158682895014,-1.3552929403478433,1,0.1540353,467,0.14999999,499.67,-0.2333355906802736,0.01,49967,100,-1.3552929403478433,100,0.16110815,1.5,-0.820599,0.57150435,-5.942918939210615
-0.978039,0.0016193258253973497,-1.3478268236121562,2,0.16206656,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3515598819799999,200,0.16608892,1.5,-0.8201269,0.569964,-6.825104881538651
0.47163218,0.0012585682992320626,-1.352276641135819,3,0.12249798,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.351798801698606,300,0.12529135,1.5,-0.8197636,0.56834334,-6.84221338029833
1.3279074,0.001795577191542136,-1.3492553562346294,4,0.04148246,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.351162940332612,400,0.047093205,1.5,-0.8195005,0.56711835,-6.8354401168301955
-0.25270998,0.0018875449303972927,-1.3659370746803947,5,0.05466101,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3541177672021685,500,0.07507959,1.5,-0.81908566,0.5668954,-6.897484861243316
-1.070202,0.0017549167214749818,-1.4123875384517348,6,0.07218936,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3638293957437626,600,0.07752118,1.5,-0.818539,0.5674101,-7.1497692738053775
-1.4599314,0.00197928218039729,-1.415336865641234,7,0.41829237,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.371187605729116,700,0.42518586,1.5,-0.81781715,0.56769264,-7.20087744737152
-1.0892565,0.002274169498743236,-1.4044037153255362,8,0.27257973,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3753396194286682,800,0.28523722,1.5,-0.8170546,0.5635097,-7.1237872114986285
-1.0732858,0.0017100155581302385,-1.4002879503502947,9,0.06523949,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.378111656197738,900,0.08911274,1.5,-0.8162144,0.5607839,-7.0917343402320405
1.497562,0.001799813560452162,-1.3109759160632877,10,0.5190202,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3713980821842928,1000,0.519871,1.5,-0.815562,0.56139094,-6.625838799519378
-1.0642071,0.0014641627692248396,-1.4330476463506616,11,0.6201216,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3770025880175991,1100,0.6252094,1.5,-0.8152647,0.56658113,-7.243241733670698
-3.3682292,0.0019262777274556453,-1.4147131027138613,12,0.39756697,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3801451309089543,1200,0.40623695,1.5,-0.81446874,0.57278234,-7.15745877199123
-1.317245,0.001771171258174776,-1.3737542956222415,13,0.35954255,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3796535281945919,1300,0.36447853,1.5,-0.8136339,0.576758,-6.961365100321816
1.7949833,0.0018656033421351754,-1.3294332144734886,14,0.5453519,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3760663629287988,1400,0.54693234,1.5,-0.8130361,0.5731626,-6.744772278517702
-0.24732333,0.0021994742528171447,-1.305009068705464,15,0.39028656,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3713292099805765,1500,0.39270702,1.5,-0.8126206,0.5677091,-6.591975892956412
-1.2453122,0.0016363832325254303,-1.3413298370040079,16,0.07033707,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.369454249169541,1600,0.08378013,1.5,-0.8121852,0.57161194,-6.794198299264632
0.52726454,0.002074642453528446,-1.437716116298413,17,0.15344514,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3734696531182984,1700,0.18342702,1.5,-0.81173,0.57090855,-7.300381998601283
0.31722707,0.0021713187359970886,-1.390686477691716,18,0.13478288,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.374426143372377,1800,0.15693967,1.5,-0.81072503,0.5693741,-7.049928431906331
-2.573672,0.0022169717596951873,-1.3871837057119478,19,0.13933764,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.375097594021828,1900,0.16235994,1.5,-0.8099211,0.5707219,-7.031696765059454
-0.59391296,0.001605304197587963,-1.3367008607039623,20,0.2589508,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3731777573559347,2000,0.2630344,1.5,-0.8090877,0.56932855,-6.7548248922344785
-1.349712,0.002153470140348715,-1.3397342475981793,21,0.060447514,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.371585209272232,2100,0.078473374,1.5,-0.808626,0.5719181,-6.789521109201103
-1.8187104,0.0017895147929649598,-1.332972648643784,22,0.25446966,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3698300928800298,2200,0.25945652,1.5,-0.80802155,0.5714176,-6.745355148441725
-0.9224244,0.0024848768385912702,-1.3915270539986122,23,0.14453535,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3707734390156205,2300,0.17377593,1.5,-0.8075153,0.57396233,-7.055824310147014
1.2966914,0.0015911439330617164,-1.3081909774639078,24,0.033181164,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3681658364509657,2400,0.033536192,1.5,-0.80655056,0.572517,-6.634865719207746
-0.53672576,0.001636171833097254,-1.3570169947408415,25,0.06804105,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3677198827825607,2500,0.08839617,1.5,-0.80621874,0.5724683,-6.8935296710461
-2.2911482,0.0017541002255052154,-1.3688855097102177,26,0.22799727,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3677647145874705,2600,0.23733671,1.5,-0.80565447,0.57314867,-6.960257840059914
1.6566405,0.002005125965604516,-1.420069857664437,27,0.13299726,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3697019421088397,2700,0.16722827,1.5,-0.80499524,0.5708687,-7.19192895795101
-2.3084106,0.0014981105483133483,-1.2771594026320898,28,0.09122802,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3663968514132416,2800,0.09371975,1.5,-0.8039815,0.5695387,-6.475603598205072
0.0810076,0.0015757434954068621,-1.37327112417632,29,0.12767276,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3666338953016235,2900,0.14402384,1.5,-0.8037668,0.5686264,-6.952599293001418
1.5377445,0.0016434650317842109,-1.329450698343626,30,0.119174816,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3653944554030235,3000,0.12932578,1.5,-0.8031003,0.56990314,-6.727028349411528
-0.43029365,0.001595051058042955,-1.298521678816141,31,0.06609655,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.363237269061511,3100,0.07457615,1.5,-0.80259806,0.5710949,-6.57721701198836
-0.618971,0.0016443247344260959,-1.3117775672733154,32,0.19946893,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3616291533806302,3200,0.20395583,1.5,-0.8022527,0.5704339,-6.640694791856261
0.8505591,0.0021947918899363717,-1.358667410341477,33,0.081418455,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.361539403591565,3300,0.08142466,1.5,-0.80182725,0.5724286,-6.884642563593314
-1.5738754,0.0020123098588324053,-1.3427479092122447,34,0.28597936,477,0.14999999,499.77,-0.2333355906802736,0.01,49977,100,-1.3609867125804085,3400,0.29543877,1.5,-0.80101305,0.57243866,-5.836819237855378
1.8243575,0.0017144209901255832,-1.2877376322282075,35,0.03789403,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3588938817132028,3500,0.05143566,1.5,-0.80027145,0.5752984,-6.513608026919968
1.8297727,0.002240744884042734,-1.3604592289373734,36,0.23956685,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.358937363580541,3600,0.25433284,1.5,-0.7998925,0.57495064,-6.878870264220488
0.71830094,0.001718360139827479,-1.308022285409025,37,0.41066745,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.357561280386716,3700,0.41317528,1.5,-0.79903847,0.5773463,-6.6375673152923165
1.3121283,0.0017362819907217884,-1.2969448476197274,38,0.28059515,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3559661111033743,3800,0.28421608,1.5,-0.7985839,0.5732396,-6.55428701007463
0.06976056,0.0014796135704372693,-1.3028613110775353,39,0.039621152,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3546044495642502,3900,0.048131816,1.5,-0.7981317,0.5760456,-6.601469232377289
-0.1507231,0.00198459576537186,-1.3071384100975325,40,0.2513331,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3534177985775824,4000,0.25779867,1.5,-0.7977355,0.5757723,-6.620986289600349
-1.184819,0.0015795705085638087,-1.2782485429034254,41,0.06917927,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3515844020977248,4100,0.07578029,1.5,-0.79716176,0.57325894,-6.480119515195111
0.5147859,0.001994872475363497,-1.358468428558588,42,0.08689788,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3517483074896501,4200,0.11742314,1.5,-0.7968524,0.5739507,-6.886121536366961
-0.05811131,0.0019096740120397907,-1.3663543673243768,43,0.28225836,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.35208798329976,4300,0.29418287,1.5,-0.79606265,0.57308173,-6.931986628893162
2.3124082,0.0016831687018353443,-1.2478956160570265,44,0.027164074,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3497199749533342,4400,0.03509474,1.5,-0.79523355,0.5759043,-6.309040694426228
0.5212,0.0017595071279020206,-1.333220287570367,45,0.43062437,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3493533152337127,4500,0.435685,1.5,-0.7949619,0.5756821,-6.748056572832617
-0.28466856,0.0015674983857586603,-1.302031929714369,46,0.28478947,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.348324589461553,4600,0.2887539,1.5,-0.7942998,0.57998836,-6.585413221603297
-2.5176768,0.0018249449134743697,-1.2993576862759724,47,0.16584735,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3472827404576047,4700,0.17388478,1.5,-0.79382294,0.5828363,-6.5921765533245
-0.6047721,0.0020433045210636294,-1.2627799834466622,48,0.24546242,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3455222663532098,4800,0.24961233,1.5,-0.7933004,0.58449477,-6.395306541956739
1.0779753,0.0017409088574347387,-1.3432617678378542,49,0.14980604,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3454761337304477,4900,0.16729166,1.5,-0.7928471,0.58204013,-6.793792142585532
-1.2895324,0.0014097823138740078,-1.36687588682287,50,0.076175004,500,0.14999999,500.0,-0.2333355906802736,0.01,50000,100,-1.3459041287922962,5000,0.08674902,1.5,-0.79210246,0.5835382,-6.920523983231924
