ReturnMean,MountainCar_std1_higher,AvgRet,MountainCar_mu0_higher,NatGrad2Norm,BatchSize,Iteration,ReturnMax,MountainCar_std0_higher,ActionIn1,NatGradInftyNorm,AvgEpLen,TimestepsSoFar,VarJ,J,NumTrajectories,MountainCar_mu1_higher,StepSize,MinEpLen
-0.45628552085709834,1.5,-2.2992829136054445,-0.4416444,0.02461328,100,1,-0.00010227112839682561,0.14999999,3.768553,0.024601443,500.0,50000,0.0005529518441252606,-0.45628552085709834,100,-0.8971903,0.01,500
-0.49049591676064735,1.5,-2.6463979351621445,-0.44139838,0.11987383,100,2,-0.00010227112839682561,0.14999999,-1.0502167,0.106001586,500.0,50000,0.0009173812633634329,-0.5247063126641963,200,-0.89718264,0.01,500
-0.49680945511249075,1.5,-2.5670224047341543,-0.4408386,0.044319246,100,3,-0.00010227112839682561,0.14999999,-1.4785612,0.043272708,500.0,50000,0.0006804453602244085,-0.5094365318161779,300,-0.89612263,0.01,500
-0.4825468982887451,1.5,-2.2167440256167463,-0.44040588,0.06997342,100,4,-0.00010227112839682561,0.14999999,1.6050202,0.06628388,500.0,50000,0.0005882403001887637,-0.439759227817508,400,-0.89621836,0.01,500
-0.4890855665591946,1.5,-2.594662011954697,-0.44018167,0.1899564,100,5,-0.00010227112839682561,0.14999999,-3.7155883,0.18075506,500.0,50000,0.00104570226833401,-0.5152402396409925,500,-0.8968812,0.01,500
-0.48134416315579465,1.5,-2.228200525776547,-0.43959764,0.033158712,100,6,-0.00010227112839682561,0.14999999,-2.0643291,0.032397285,500.0,50000,0.0008166643066775303,-0.44263714613879485,600,-0.89507365,0.01,500
-0.4834703521924956,1.5,-2.498980172317725,-0.43927366,0.1977685,100,7,-0.00010227112839682561,0.14999999,-1.5972226,0.19021928,500.0,50000,0.0010203273551095664,-0.4962274864127014,700,-0.895003,0.01,500
-0.48480179853410676,1.5,-2.4902402267642625,-0.43873245,0.11009215,100,8,-0.00010227112839682561,0.14999999,-0.46120664,0.09637109,500.0,50000,0.0010149272290243332,-0.4941219229253847,800,-0.89310086,0.01,500
-0.48591871528097236,1.5,-2.4935461111878996,-0.4382002,0.16525583,100,9,-0.00010227112839682561,0.14999999,-0.4779059,0.1584359,500.0,50000,0.0008537591577052175,-0.4948540492558968,900,-0.89213717,0.01,500
-0.4866361524317141,1.5,-2.486215239159257,-0.43773037,0.100077845,100,10,-0.00010227112839682561,0.14999999,-2.0333447,0.089568175,500.0,50000,0.0008009073953742895,-0.49309308678839026,1000,-0.8937215,0.01,500
-0.4860702300909057,1.5,-2.420251273299329,-0.43728393,0.07038964,100,11,-0.00010227112839682561,0.14999999,-0.30526918,0.059184458,500.0,50000,0.0007167191700017821,-0.48041100668282255,1100,-0.8946172,0.01,500
-0.4863293268633307,1.5,-2.4637265980173195,-0.43690288,0.0450576,100,12,-0.00010227112839682561,0.14999999,-1.6175666,0.045034222,500.0,50000,0.0008228760807847306,-0.4891793913600052,1200,-0.8940253,0.01,500
