NatGradInftyNorm,ActionIn1,Iteration,AvgEpLen,BatchSize,ReturnMax,NatGrad2Norm,MinEpLen,J,NumTrajectories,MountainCar_std1_higher,VarJ,TimestepsSoFar,ReturnMean,MountainCar_mu1_higher,StepSize,MountainCar_mu0_higher,AvgRet,MountainCar_std0_higher
0.1540353,-0.78957117,1,499.67,100,-0.2333355906802736,0.16110815,467,-1.3552929403478433,100,1.5,0.0019229158682895014,49967,-1.3552929403478433,0.57150435,0.0001,-0.820599,-5.942918939210615,0.14999999
0.1622791,-0.97698146,2,500.0,100,-0.2333355906802736,0.16629645,500,-1.3491581586513106,200,1.5,0.001620461813430268,50000,-1.352225549499577,0.571489,0.0001,-0.8205943,-6.831915527006871,0.14999999
0.12271816,0.4739346,3,500.0,100,-0.2333355906802736,0.12550658,500,-1.354657982382263,300,1.5,0.0012603410081150864,50000,-1.353036360460472,0.57147276,0.0001,-0.8205907,-6.854404222176933,0.14999999
0.04148739,1.331162,4,500.0,100,-0.2333355906802736,0.04709489,500,-1.3523669320320064,400,1.5,0.0017986389630467803,50000,-1.352869003353356,0.5714605,0.0001,-0.82058805,-6.851452784374295,0.14999999
0.054705475,-0.24964535,5,500.0,100,-0.2333355906802736,0.07513269,500,-1.370203004674201,500,1.5,0.0018919618335530445,50000,-1.3563358036175248,0.5714583,0.0001,-0.8205839,-6.9191737708255685,0.14999999
0.0723366,-1.0681882,6,500.0,100,-0.2333355906802736,0.07778736,500,-1.4182889839291943,600,1.5,0.0017606261099158784,50000,-1.3666613336694695,0.5714634,0.0001,-0.8205784,-7.179844740687471,0.14999999
0.42086747,-1.4589118,7,500.0,100,-0.2333355906802736,0.42775315,500,-1.4233502659034678,700,1.5,0.0019876613563955953,50000,-1.3747597525600408,0.57146627,0.0001,-0.8205712,-7.242101960209648,0.14999999
0.27439603,-1.084851,8,500.0,100,-0.2333355906802736,0.28705025,500,-1.4145165576189422,800,1.5,0.002287086701727595,50000,-1.3797293531924035,0.5714242,0.0001,-0.82056355,-7.175537856471516,0.14999999
0.065513894,-1.0670137,9,500.0,100,-0.2333355906802736,0.089228705,500,-1.412874257092041,900,1.5,0.001722180487559754,50000,-1.3834121202923633,0.57139677,0.0001,-0.82055515,-7.155984042035398,0.14999999
0.5236077,1.5025873,10,500.0,100,-0.2333355906802736,0.5244461,500,-1.3250301055624893,1000,1.5,0.0018154523645326048,50000,-1.3775739188193759,0.57140285,0.0001,-0.8205486,-6.697228845788679,0.14999999
0.6267436,-1.0646138,11,500.0,100,-0.2333355906802736,0.63184214,500,-1.448422853808453,1100,1.5,0.001475446258303123,50000,-1.3840147310911102,0.5714552,0.0001,-0.8205456,-7.321178407780625,0.14999999
0.40177667,-3.3755624,12,500.0,100,-0.2333355906802736,0.41046038,500,-1.4322181339147493,1200,1.5,0.0019424345803544173,50000,-1.3880316813264135,0.5715179,0.0001,-0.8205376,-7.246013045594018,0.14999999
0.36508358,-1.3293403,13,500.0,100,-0.2333355906802736,0.36999273,500,-1.3934641039626805,1300,1.5,0.0017894230293123863,50000,-1.3884495599907416,0.57155806,0.0001,-0.8205292,-7.061443180621256,0.14999999
0.5528666,1.785855,14,500.0,100,-0.2333355906802736,0.5544265,500,-1.3505892275051306,1400,1.5,0.0018861181572588244,50000,-1.3857452505274839,0.5715215,0.0001,-0.8205232,-6.852515250672069,0.14999999
0.3960139,-0.25146466,15,500.0,100,-0.2333355906802736,0.39838922,500,-1.3270893386746425,1500,1.5,0.00222584290081865,50000,-1.3818348564039606,0.5714662,0.0001,-0.82051903,-6.7036146486751775,0.14999999
0.07220326,-1.2537479,16,500.0,100,-0.2333355906802736,0.085438624,500,-1.3649019655784775,1600,1.5,0.0016579071069625648,50000,-1.3807765507273684,0.5715058,0.0001,-0.8205147,-6.914040753839093,0.14999999
