TimestepsSoFar,InitialReturnMax,TimeElapsed,PlainReturnMin,EpRewMean,NumTrajectories,InitialBound,Bound,InitialReturnMin,InitialReturnMean,ReturnMeanIw,IterType,UncReturnMax,Iteration,PlainReturnMean,ReturnMean,MeanIWNorm,Weights,UncReturnStd,D2,MinIWNorm,MinIW,StdIWNorm,PlainReturnMax,MeanIW,UndEpRewMean,ESSClassic,InitialReturnStd,StdIW,MaxIWNorm,UncReturnMin,EpLenMean,PlainReturnStd,EpThisIter,UncReturnMean,ESSRenyi,MaxIW,BatchSize
99900,-5.928213601595144e-06,45.61202931404114,-9.888164715361931,-0.7735411171444657,100,-2.2839832,-2.2724857,-9.888164715361931,-0.7735411171444657,-0.75704515,1,-5.928213601595144e-06,,-0.7735411171444657,-0.7735411171444657,0.010000002,[ 4.5668010e-05 -7.7040624e-03],1.230872559226518,0.0066078827,0.0074917157,0.7496784,0.00087238307,-5.928213601595144e-06,1.0006765,-0.7735411171444657,99.24467657102251,1.230872559226518,0.08729733,0.012096809,-9.888164715361931,999.0,1.230872559226518,100,-0.7735411171444657,99.34139580887381,1.2104993,100
199800,-0.0018211601760702591,90.50983786582947,-6.648753851767644,-0.7110466394922309,200,-1.7266606,-1.7266606,-6.648753851767644,-0.7110466394922309,-0.7110467,1,-0.0018211601760702591,1,-0.7110466394922309,-0.7422938783183483,0.009999998,[-0.01211413  0.00133225],1.1118458537745923,,0.01,1.0,1.8626451e-09,-0.0018211601760702591,1.0,-0.7110466394922309,100.0,1.1118458537745923,,0.01,-6.648753851767644,999.0,1.1118458537745923,100,-0.7110466394922309,100.0,1.0,100
299700,-0.001347067151203089,135.0228831768036,-3.081959489686981,-0.6892568535927827,300,-1.160034,-1.160034,-3.081959489686981,-0.6892568535927827,-0.68925685,1,-0.001347067151203089,2,-0.6892568535927827,-0.7246148700764932,0.009999998,[-0.01211413  0.00133225],0.7111332903057632,,0.01,1.0,1.8626451e-09,-0.001347067151203089,1.0,-0.6892568535927827,100.0,0.7111332903057632,,0.01,-3.081959489686981,999.0,0.7111332903057632,100,-0.6892568535927827,100.0,1.0,100
399600,-0.0010963944201115967,178.50824117660522,-3.942461559955796,-0.6031854369905263,400,-1.2054064,-1.2054064,-3.942461559955796,-0.6031854369905263,-0.6031854,1,-0.0010963944201115967,3,-0.6031854369905263,-0.6942575118050013,0.009999998,[-0.01211413  0.00133225],0.8134131914920162,,0.01,1.0,1.8626451e-09,-0.0010963944201115967,1.0,-0.6031854369905263,100.0,0.8134131914920162,,0.01,-3.942461559955796,999.0,0.8134131914920162,100,-0.6031854369905263,100.0,1.0,100
499500,-0.00016615841768027537,222.44031190872192,-5.249673412773433,-0.6032827917820192,500,-1.4051837,-1.4051837,-5.249673412773433,-0.6032827917820192,-0.6032828,1,-0.00016615841768027537,4,-0.6032827917820192,-0.676062567800405,0.009999998,[-0.01211413  0.00133225],0.8297528788140471,,0.01,1.0,1.8626451e-09,-0.00016615841768027537,1.0,-0.6032827917820192,100.0,0.8297528788140471,,0.01,-5.249673412773433,999.0,0.8297528788140471,100,-0.6032827917820192,100.0,1.0,100
599307,99.00447927554887,266.5361170768738,-5.678550805121303,0.3946283658179413,600,-14.728556,-14.518145,-5.678550805121303,0.3946283658179413,0.9012763,1,99.00447927554887,5,0.3946283658179413,-0.497614078864014,0.010000002,[-0.01211413  0.00133225],9.957297255911266,0.038797677,0.005915103,0.59518343,0.002095915,99.00447927554887,1.0062097,0.3946283658179413,95.79196582067402,9.957297255911266,0.210893,0.018067913,-5.678550805121303,998.07,9.957297255911266,100,0.3946283658179413,96.19453648212675,1.8180109,100
698886,99.2311818985735,310.0746338367462,-4.527857420343694,1.3817686656145691,700,-13.776045,-11.233951,-4.527857420343694,1.3817686656145691,9.714948,1,99.2311818985735,6,1.3817686656145691,-0.22913082965278786,0.01,[-0.02270091  0.2771706 ],13.88305412733247,0.64714,0.0009974942,0.10900183,0.010010736,99.2311818985735,1.0927566,1.3817686656145691,49.94634812254623,13.88305412733247,1.0939296,0.061227884,-4.527857420343694,995.79,13.88305412733247,100,1.3817686656145691,52.35409398002138,6.690717,100
798315,98.49245996385713,353.89046907424927,-2.8197169466826995,1.4636028143621138,800,-13.581369,-11.517233,-2.8197169466826995,1.4636028143621138,9.478075,1,98.49245996385713,7,1.4636028143621138,-0.017539124150925005,0.01,[-0.06097896  1.4215238 ],13.775891438245871,0.6665103,0.002462257,0.22896281,0.008575062,98.49245996385713,0.92989,1.4636028143621138,57.62636018038547,13.775891438245871,0.7973864,0.060579292,-2.8197169466826995,994.29,13.775891438245871,100,1.4636028143621138,51.34974292097647,5.633208,100
893538,99.04170849791383,396.91710138320923,-5.039816119479124,17.658271698249564,900,2.5294008,23.62513,-5.039816119479124,17.658271698249564,51.457954,1,99.04170849791383,8,17.658271698249564,1.9464398561157958,0.009999999,[-0.13318028  2.4106371 ],39.01681095561495,1.2192222,0.00021936167,0.028909974,0.015623626,99.04170849791383,1.3179137,17.658271698249564,29.06151743610259,39.01681095561495,2.0590591,0.108753406,-5.039816119479124,952.23,39.01681095561495,100,17.658271698249564,29.545989112732883,14.33276,100
982153,99.28775534084318,436.1778390407562,-6.984418679552982,37.30229334260327,1000,22.135834,43.470245,-6.984418679552982,37.30229334260327,71.020096,1,99.28775534084318,9,37.30229334260327,5.482025204764544,0.010000002,[-0.17155686  4.0218396 ],48.54629313261344,1.1938219,0.00032759891,0.042861246,0.024313774,99.28775534084318,1.3083452,37.30229334260327,14.468435661343507,48.54629313261344,3.1810813,0.22015563,-6.984418679552982,886.15,48.54629313261344,100,37.30229334260327,30.306078601795935,28.803955,100
