EpThisIter,UncReturnMax,StdIWNorm,MaxIWNorm,InitialBound,StdIW,PlainReturnMax,EpLenMean,UncReturnMin,NumTrajectories,MinIW,MeanIW,TimeElapsed,MaxIW,ReturnMeanIw,EpRewMean,UncReturnStd,PlainReturnMean,InitialReturnStd,PlainReturnStd,D2,MinIWNorm,MeanIWNorm,UndEpRewMean,InitialReturnMin,Bound,Weights,UncReturnMean,TimestepsSoFar,ESSClassic,ESSRenyi,PlainReturnMin,ReturnMean,Iteration,IterType,InitialReturnMean,InitialReturnMax,BatchSize
100,-1.537834220130697e-05,1.8626451e-09,0.01,-1.066294,,-1.537834220130697e-05,999.0,-3.2957493442672487,100,1.0,1.0,46.25835728645325,1.0,-0.56285983,-0.5628598332896444,0.6747107111413586,-0.5628598332896444,0.6747107111413586,0.6747107111413586,,0.01,0.009999998,-0.5628598332896444,-3.2957493442672487,-1.066294,[0.00587336 0.0142819 ],-0.5628598332896444,99900,100.0,100.0,-3.2957493442672487,-0.5628598332896444,,1,-0.5628598332896444,-1.537834220130697e-05,100
100,-4.101912326849933e-05,0.0017611852,0.013796937,-1.9211969,0.17891961,-4.101912326849933e-05,999.0,-8.243709697629715,200,0.52567816,1.0159047,91.18690371513367,1.4016372,-0.5880426,-0.661949544560885,1.1692258568496592,-0.661949544560885,1.1692258568496592,1.1692258568496592,0.035236437,0.005174483,0.010000002,-0.661949544560885,-8.243709697629715,-1.8696723,[0.00587336 0.0142819 ],-0.661949544560885,199800,96.99152588861085,96.53771430268066,-8.243709697629715,-0.6124046889252647,1,1,-0.661949544560885,-4.101912326849933e-05,100
100,-9.273260682967113e-05,0.001825654,0.015525077,-1.5175169,0.17861049,-9.273260682967113e-05,999.0,-5.88570328923658,300,0.5919382,0.97833705,135.9944121837616,1.5188757,-0.58499694,-0.6184609253805895,0.9514225217278336,-0.6184609253805895,0.9514225217278336,0.9514225217278336,0.026627567,0.0060504526,0.010000002,-0.6184609253805895,-5.88570328923658,-1.4961028,[-0.02098185 -0.07034513],-0.6184609253805895,299700,96.77448018094583,97.37237835922255,-5.88570328923658,-0.614423434410373,2,1,-0.6184609253805895,-9.273260682967113e-05,100
100,-7.386839203222949e-05,1.8626451e-09,0.01,-1.3101718,,-7.386839203222949e-05,999.0,-4.4627076637122585,400,1.0,1.0,180.3828022480011,1.0,-0.6284819,-0.6284819508491332,0.8931343928547092,-0.6284819508491332,0.8931343928547092,0.8931343928547092,,0.01,0.009999998,-0.6284819508491332,-4.4627076637122585,-1.3101718,[-0.03419831 -0.27636582],-0.6284819508491332,399600,100.0,100.0,-4.4627076637122585,-0.617938063520063,3,1,-0.6284819508491332,-7.386839203222949e-05,100
100,-0.0015695334610650047,1.8626451e-09,0.01,-1.2986097,,-0.0015695334610650047,999.0,-3.9958472587290235,500,1.0,1.0,224.84508633613586,1.0,-0.68823403,-0.688233997546548,0.9004666547027692,-0.688233997546548,0.9004666547027692,0.9004666547027692,,0.01,0.009999998,-0.688233997546548,-3.9958472587290235,-1.2986097,[-0.03419831 -0.27636582],-0.688233997546548,499500,100.0,100.0,-3.9958472587290235,-0.63199725032536,4,1,-0.688233997546548,-0.0015695334610650047,100
100,-0.00040883897559149313,1.8626451e-09,0.01,-1.3108822,,-0.00040883897559149313,999.0,-5.097794802590183,600,1.0,1.0,269.45178484916687,1.0,-0.5321812,-0.5321811731039141,0.7661358370619962,-0.5321811731039141,0.7661358370619962,0.7661358370619962,,0.01,0.009999998,-0.5321811731039141,-5.097794802590183,-1.3108822,[-0.03419831 -0.27636582],-0.5321811731039141,599400,100.0,100.0,-5.097794802590183,-0.6153612374551191,5,1,-0.5321811731039141,-0.00040883897559149313,100
100,-0.001250551122024614,2.7705869e-09,0.010000007,-1.4452019,2.7236126e-07,-0.001250551122024614,999.0,-4.862554844186796,700,0.9999994,1.0,313.9150366783142,1.0000007,-0.70243436,-0.7024343920207192,0.8879665380920754,-0.7024343920207192,0.8879665380920754,0.8879665380920754,6.9302596e-14,0.009999994,0.01,-0.7024343920207192,-4.862554844186796,-1.4452019,[-0.03419831 -0.27636582],-0.7024343920207192,699300,100.0,100.0,-4.862554844186796,-0.6278002595359191,6,1,-0.7024343920207192,-0.001250551122024614,100
100,-0.00016351627643832023,1.8626451e-09,0.01,-1.5095315,,-0.00016351627643832023,999.0,-5.643417636069817,800,1.0,1.0,358.2647852897644,1.0,-0.64748526,-0.6474852822536162,0.8372918035492103,-0.6474852822536162,0.8372918035492103,0.8372918035492103,,0.01,0.009999998,-0.6474852822536162,-5.643417636069817,-1.5095315,[-0.03419828 -0.27636603],-0.6474852822536162,799200,100.0,100.0,-5.643417636069817,-0.6302608873756312,7,1,-0.6474852822536162,-0.00016351627643832023,100
100,98.21261044207054,0.004042897,0.027704373,-14.758606,0.42318735,98.21261044207054,997.61,-5.112471724312689,900,0.35358247,1.0467428,407.2973458766937,2.8999352,2.0397131,0.24361692963407097,9.899904636854307,0.24361692963407097,9.899904636854307,9.899904636854307,0.15736194,0.0033779307,0.010000002,0.24361692963407097,-5.112471724312689,-14.190578,[-0.03419828 -0.27636603],0.24361692963407097,898961,85.95125652554167,85.43947213070274,-5.112471724312689,-0.5331633521523309,8,1,0.24361692963407097,98.21261044207054,100
100,99.38633957325158,0.010876934,0.073304415,-13.937179,1.2935423,99.38633957325158,992.33,-5.328586782291821,1000,0.091672175,1.1892527,451.5826590061188,8.717748,11.764545,1.2443353237275465,13.972525842848112,1.2443353237275465,13.972525842848112,13.972525842848112,0.8015657,0.00077083847,0.010000002,1.2443353237275465,-5.328586782291821,-10.901348,[-0.06240258  0.24757679],1.2443353237275465,998194,45.80690590806684,44.862599262270166,-5.328586782291821,-0.3554134845643432,9,1,1.2443353237275465,99.38633957325158,100
