ReturnMin,SqrtESSClassic,ReturnLastEpisode,ReturnMax,LQGmu,URet,IWMin,IWFirstEpisode,LQGsigma,ReturnMean,DenMISELogFirst,Iteration,target_sum_log_mean,Bound,ReturnStepMax,IWMax,ReturnAbsMax,TimestepsSoFar,IWLastEpisode,TimeElapsed,DenMISEMeanLog,IWMean,IWNorm2,MISE,IWNorm1,DenMISELogLast
,2.245426,16.829226,16.829226,[[-0.181]],18.598710214732513,,4.942652e-08,[[0.11]],16.206753,17.357965,20,12.496086,36.533546,0.99997854,8.995341,16.829226,400,5.345914,3.2127845287323,16.601147,1.2973812,11.55577,21.543762,25.947624,15.317211
,2.4387343,16.715618,16.829226,[[-0.183]],18.477196700927426,,1.5653423e-08,[[0.11]],16.230984,17.309175,21,12.315213,35.82608,0.99997854,7.454399,16.829226,420,6.0073404,3.351623058319092,16.5449,1.3242906,11.403499,22.024471,27.810102,15.235033
,2.393257,16.51203,16.829226,[[-0.186]],18.257263013665874,,1.6911568e-09,[[0.11]],16.243757,17.262655,22,11.622561,32.740215,0.99997854,7.0316963,16.829226,440,0.950958,3.502950429916382,16.40699,1.1226486,10.319941,18.676346,24.698269,13.288458
,1.8564916,16.598852,16.829226,[[-0.191]],18.3520031841704,,2.7850074e-14,[[0.11]],16.259197,17.218204,23,7.588736,29.214203,0.99997854,6.7411194,16.829226,460,0.7540324,3.6512207984924316,16.007603,0.66511303,8.240059,11.084064,15.2976,7.1709623
,1.7324034,16.813976,16.829226,[[-0.212]],18.580174869501423,,4.961289e-15,[[0.11]],16.282314,17.175644,24,7.3761024,36.719067,0.99997854,12.787677,16.829226,480,12.787677,3.8052914142608643,15.957077,1.032648,14.305879,17.290306,24.783552,15.164172
,1.9654266,16.677767,16.829226,[[-0.215]],18.437402415886183,,4.2580608e-16,[[0.11]],16.298132,17.134823,25,6.9617896,35.84466,0.99997854,9.541326,16.829226,500,9.347914,3.9572083950042725,15.977099,1.1194139,14.238816,18.719397,27.985348,16.542448
,2.1281066,16.726353,16.829226,[[-0.219]],18.491358198623125,,1.4334545e-17,[[0.11]],16.314602,17.095602,26,6.174729,35.011604,0.99997854,8.32699,16.829226,520,8.32699,4.140022277832031,15.935604,1.147622,14.020995,19.195457,29.838171,14.891896
,3.5060203,16.844744,16.844744,[[-0.225]],18.613683710079325,,1.138186e-09,[[0.11]],16.334236,17.057861,27,12.189375,27.427511,0.99997854,3.514137,16.844744,540,2.6987798,4.3008973598480225,16.052858,1.0694902,8.236186,17.818472,28.876236,19.057554
,3.4371028,16.795424,16.844744,[[-0.192]],18.559253843692925,,4.3737736e-11,[[0.11]],16.350708,17.021494,28,11.438516,28.332804,0.99997854,3.642538,16.844744,560,3.294587,4.461174249649048,15.979265,1.1095856,9.0391245,18.531094,31.0684,13.948361
,3.44451,16.643122,16.844744,[[-0.199]],18.404762403517463,,5.92797e-12,[[0.11]],16.360792,16.986403,29,11.175061,29.11612,0.9999906,3.4845426,16.844744,580,3.4845426,4.623670339584351,16.052067,1.1574062,9.744429,19.335485,33.56478,18.01221
,3.3727195,16.768396,16.844744,[[-0.203]],18.529024602109704,,3.442597e-13,[[0.11]],16.374378,16.952501,30,10.402859,28.94266,0.9999906,3.6759837,16.844744,600,1.4010261,4.785261869430542,15.868711,1.1336349,10.083569,18.95384,34.00905,10.429873
,3.0843272,16.72637,16.844744,[[-0.208]],18.48986736521757,,5.1519006e-16,[[0.11]],16.385733,16.919712,31,8.58024,28.450403,0.9999906,4.8218665,16.844744,620,1.4627645,4.951914548873901,15.668191,1.0474797,10.528024,17.527603,32.47187,9.555318
,3.8438156,16.771837,16.844744,[[-0.219]],18.535965607944963,,0.00016276957,[[0.11]],16.397799,16.887962,32,14.214066,26.463863,0.9999906,3.359038,16.844744,640,0.06882137,5.121901035308838,15.610575,1.0722623,8.926649,17.699268,34.312393,13.814447
