Iteration,ReturnMax,J,AvgRet,AvgEpLen,BatchSize,StepSize,ReturnMean,VarJ,TimestepsSoFar,NatGrad2Norm,NumTrajectories,NatGradInftyNorm,MinEpLen
1,-4.408766883269136e-06,-0.0816148595520168,-0.4138476910531172,500.0,100,1.0,-0.0816148595520168,9.774722275883923e-05,50000,0.008472458,100,0.008456918,500
2,-4.408766883269136e-06,-0.07720869151591764,-0.3907255790691358,500.0,100,1.0,-0.07941177553396722,9.630969842150316e-05,50000,0.007571625,200,0.007568654,500
3,-4.408766883269136e-06,-0.08066229317234523,-0.4081730599413245,500.0,100,1.0,-0.07982861474675988,0.0001233773545183018,50000,0.00843862,300,0.008233246,500
4,-3.4640831574572227e-07,-0.06787598088463519,-0.34246245144672594,500.0,100,1.0,-0.07684045628122871,7.504574528717027e-05,50000,0.004718008,400,0.004540287,500
5,-3.4640831574572227e-07,-0.07215833210647378,-0.3641456551980394,500.0,100,1.0,-0.07590403144627773,8.168968935052817e-05,50000,0.006041336,500,0.0060403906,500
6,-3.4640831574572227e-07,-0.08981240283454589,-0.45452683016231454,500.0,100,1.0,-0.07822209334432242,0.00011513227013085956,50000,0.009483277,600,0.009396487,500
7,-3.4640831574572227e-07,-0.08353259361528682,-0.4215270017949665,500.0,100,1.0,-0.07898073624017447,0.0001759781512065396,50000,0.010711904,700,0.010710089,500
8,-3.4640831574572227e-07,-0.061343198477206234,-0.31025839532121996,500.0,100,1.0,-0.07677604401980345,7.301438676856642e-05,50000,0.0019686145,800,0.0018832661,500
9,-3.4640831574572227e-07,-0.07019886040089399,-0.35454109708683906,500.0,100,1.0,-0.07604524583992463,9.043699411038552e-05,50000,0.011100558,900,0.011091722,500
10,-3.4640831574572227e-07,-0.06211528810735028,-0.31386346627356854,500.0,100,1.0,-0.07465225006666719,7.819959225953421e-05,50000,0.00507653,1000,0.0045775464,500
11,-3.4640831574572227e-07,-0.08235337386195919,-0.41617122114151256,500.0,100,1.0,-0.07535235222987555,0.00014056376639876286,50000,0.008618746,1100,0.008584218,500
12,-3.4640831574572227e-07,-0.07068993502067772,-0.35665436489658214,500.0,100,1.0,-0.07496381746244239,8.378912681050727e-05,50000,0.0067879506,1200,0.006787814,500
13,-3.4640831574572227e-07,-0.07455820334101353,-0.3769027539869106,500.0,100,1.0,-0.07493261637617864,7.875847474842393e-05,50000,0.004491746,1300,0.0044036554,500
14,-3.4640831574572227e-07,-0.052717673450227764,-0.2666878548442211,500.0,100,1.0,-0.07334583473861071,6.802412727256015e-05,50000,0.0039805374,1400,0.0039794175,500
15,-3.4640831574572227e-07,-0.0639335567560413,-0.3227313272812852,500.0,100,1.0,-0.07271834953977276,5.809847187274033e-05,50000,0.002159915,1500,0.0021283189,500
16,-3.4640831574572227e-07,-0.07197131406132277,-0.36378210299061065,500.0,100,1.0,-0.07267165982236963,8.774978572061631e-05,50000,0.0024477278,1600,0.0017542947,500
17,-3.4640831574572227e-07,-0.07446165182209653,-0.3764582103966781,500.0,100,1.0,-0.07277695346941239,0.00013325094886356561,50000,0.008337234,1700,0.00832107,500
18,-3.4640831574572227e-07,-0.045194295941122675,-0.2279345001371524,500.0,100,1.0,-0.07124458360672964,3.001703605058454e-05,50000,0.00037077357,1800,0.00033032286,500
19,-3.4640831574572227e-07,-0.06121639661752768,-0.3092840915053049,500.0,100,1.0,-0.07071678429150847,9.797626166810927e-05,50000,0.005683407,1900,0.0053262296,500
20,-3.4640831574572227e-07,-0.0627469137781714,-0.31651310488971235,500.0,100,1.0,-0.07031829076584162,6.383462930440718e-05,50000,0.0025209906,2000,0.0021902565,500
21,-3.4640831574572227e-07,-0.0672686181915149,-0.3391064249287198,500.0,100,1.0,-0.07017306826230225,8.237467239533023e-05,50000,0.0055418434,2100,0.0055310125,500
22,-3.4640831574572227e-07,-0.06669360177633787,-0.3369703840398979,500.0,100,1.0,-0.0700149106947584,9.084351492912181e-05,50000,0.0026488092,2200,0.0025255026,500
23,-3.4640831574572227e-07,-0.06965944584912358,-0.3513974086214668,500.0,100,1.0,-0.06999945570146994,7.917455616667421e-05,50000,0.001557885,2300,0.0013180446,500
24,-3.4640831574572227e-07,-0.06909257622065278,-0.3489665145214167,500.0,100,1.0,-0.0699616690564359,8.502355429585801e-05,50000,0.0031438915,2400,0.0028508485,500
25,-3.4640831574572227e-07,-0.05990171966025317,-0.30232872414126766,500.0,100,1.0,-0.06955927108058858,0.00013760046850749052,50000,0.0060838815,2500,0.0059370506,500
26,-3.4640831574572227e-07,-0.07130553883355076,-0.3599760289775347,500.0,100,1.0,-0.06962643522493328,9.697835391293118e-05,50000,0.0006845831,2600,0.0005862189,500
27,-3.4640831574572227e-07,-0.06914734747557928,-0.34964084112962446,500.0,100,1.0,-0.06960869123421648,6.2703456308091e-05,50000,0.0030294617,2700,0.0028726591,500
28,-1.3285289906518968e-07,-0.07751051879893658,-0.3911873031722689,500.0,100,1.0,-0.0698908993615279,0.0001691947194586617,50000,0.0038069477,2800,0.0029914894,500
29,-1.3285289906518968e-07,-0.05772630200754628,-0.2908945942635205,500.0,100,1.0,-0.06947143048725267,6.552037010444662e-05,50000,0.0029433991,2900,0.0024351447,500
30,-1.3285289906518968e-07,-0.0640324241078754,-0.3227537632940539,500.0,100,1.0,-0.06929013027460677,8.640622020332047e-05,50000,0.0054483763,3000,0.004107034,500
31,-1.3285289906518968e-07,-0.05704216316650352,-0.28781640608612624,500.0,100,1.0,-0.06889503456144215,5.383506541658419e-05,50000,0.0015093052,3100,0.001286221,500
32,-1.3285289906518968e-07,-0.06769023861636246,-0.3410298954365472,500.0,100,1.0,-0.06885738468815841,0.0001353317187061404,50000,0.00604329,3200,0.006037856,500
33,-1.3285289906518968e-07,-0.07349891216691225,-0.3707096810092003,500.0,100,1.0,-0.06899803703599944,0.00010230826626535748,50000,0.0058866297,3300,0.0049924823,500
34,-1.3285289906518968e-07,-0.05648866182984241,-0.2852074062689541,500.0,100,1.0,-0.06863011423581834,5.18669499293573e-05,50000,0.0016139149,3400,0.0014555047,500
35,-1.3285289906518968e-07,-0.06080984194175916,-0.30687746663994375,500.0,100,1.0,-0.06840667788455951,8.028635621254146e-05,50000,0.001906102,3500,0.0017167215,500
36,-1.3285289906518968e-07,-0.05900197332142253,-0.29765618032961405,500.0,100,1.0,-0.06814543609113904,8.071353883427405e-05,50000,0.0057655526,3600,0.0057645803,500
37,-1.3285289906518968e-07,-0.08929140377500547,-0.450253261118551,500.0,100,1.0,-0.06871694873124354,0.00014423029855898916,50000,0.00395643,3700,0.0035992477,500
38,-1.3285289906518968e-07,-0.06909387808066236,-0.3485266945037981,500.0,100,1.0,-0.06872686792464928,0.00010136155387253285,50000,0.0038006809,3800,0.0037971556,500
39,-1.3285289906518968e-07,-0.07371932759615647,-0.3721712994847898,500.0,100,1.0,-0.0688548797110982,0.00012331793202417074,50000,0.010934191,3900,0.010932956,500
40,-1.3285289906518968e-07,-0.04944250610701168,-0.25004932745420677,500.0,100,1.0,-0.06836957037099603,4.23107540667705e-05,50000,0.0046190545,4000,0.0043098517,500
41,-1.3285289906518968e-07,-0.0582360662566034,-0.2936869982443115,500.0,100,1.0,-0.06812241173405963,6.751047551238516e-05,50000,0.004798682,4100,0.0046335794,500
42,-1.3285289906518968e-07,-0.05720753979143466,-0.28859729510910775,500.0,100,1.0,-0.0678625338306638,5.198733932473897e-05,50000,0.0034329135,4200,0.0034154973,500
43,-1.3285289906518968e-07,-0.059867027506430526,-0.30212373496530204,500.0,100,1.0,-0.06767659182312348,6.105268318627799e-05,50000,0.003921061,4300,0.0036949515,500
44,-1.3285289906518968e-07,-0.057635977923185894,-0.2909218866962417,500.0,100,1.0,-0.06744839605267036,5.30329083439794e-05,50000,0.0018523274,4400,0.0016349418,500
45,-1.3285289906518968e-07,-0.06441281739909945,-0.3252311195858566,500.0,100,1.0,-0.06738093874925767,8.392116008095636e-05,50000,0.0048733405,4500,0.004831139,500
