ReturnMax,J,AvgEpLen,BatchSize,MinEpLen,NatGradInftyNorm,StepSize,Iteration,AvgRet,TimestepsSoFar,NumTrajectories,ReturnMean,NatGrad2Norm,VarJ
-4.408766883269136e-06,-0.0816148595520168,500.0,100,500,0.008456918,,1,-0.4138476910531172,50000,100,-0.0816148595520168,0.008472458,9.774722275883923e-05
-4.408766883269136e-06,-0.08182494934680236,500.0,100,500,0.008531354,,2,-0.4140993305766193,50000,200,-0.08171990444940956,0.008533787,0.00010711672047959226
-4.408766883269136e-06,-0.09063143558007615,500.0,100,500,0.010186732,,3,-0.45861295790175055,50000,300,-0.08469041482629844,0.010369461,0.0001451961372860341
-4.408766883269136e-06,-0.08026278755042919,500.0,100,500,0.0071554603,,4,-0.40510200863115686,50000,400,-0.08358350800733111,0.0072274166,9.78554125729941e-05
-1.4539712462008979e-06,-0.08645987475461803,500.0,100,500,0.009534551,,5,-0.43660667045020957,50000,500,-0.08415878135678849,0.009536446,0.00011653247755220454
-1.4539712462008979e-06,-0.11162908669324252,500.0,100,500,0.014881531,,6,-0.5650772279845421,50000,600,-0.08873716557953086,0.015004711,0.00017118245988413953
-1.4539712462008979e-06,-0.10960314121666678,500.0,100,500,0.01753196,,7,-0.5534433189528261,50000,700,-0.09171801924197884,0.017538818,0.00026523238991295946
-1.4539712462008979e-06,-0.08415235073547897,500.0,100,500,0.00824415,,8,-0.4258087873046522,50000,800,-0.09077231067866634,0.008257009,0.0001225326137581535
-1.4539712462008979e-06,-0.10669378342067742,500.0,100,500,0.018776579,,9,-0.5391466278481877,50000,900,-0.09254136320555648,0.01879567,0.0001884310152113272
-1.4539712462008979e-06,-0.08416329556264346,500.0,100,500,0.013024841,,10,-0.4256437837322393,50000,1000,-0.09170355644126518,0.013498482,0.0001772151883207697
-1.4539712462008979e-06,-0.12021744693643599,500.0,100,500,0.020997541,,11,-0.6077074523223341,50000,1100,-0.09429572830446252,0.021034656,0.00028822360793579084
-3.3230401492987275e-07,-0.09015109574547753,500.0,100,500,0.0045036944,,12,-0.45570641939763123,50000,1200,-0.09395034225788045,0.0045349463,0.00011358184706469201
-3.3230401492987275e-07,-0.11162007217130504,500.0,100,500,0.015832223,,13,-0.5644381201990708,50000,1300,-0.0953095522512208,0.01583999,0.00017835934513605012
-3.3230401492987275e-07,-0.08265719797416825,500.0,100,500,0.012547405,,14,-0.4182090817207763,50000,1400,-0.09440581266000275,0.012605111,0.0001654999020439869
-3.3230401492987275e-07,-0.09110474425905632,500.0,100,500,0.008571006,,15,-0.4609447336858484,50000,1500,-0.09418574143327299,0.009233907,0.00011340650421327949
