Iteration,BatchSize,NatGrad2Norm,AvgRet,ReturnMean,MinEpLen,NatGradInftyNorm,AvgEpLen,ReturnMax,J,StepSize,NumTrajectories,TimestepsSoFar,VarJ
1,100,0.008472458,-0.4138476910531172,-0.0816148595520168,500,0.008456918,500.0,-4.408766883269136e-06,-0.0816148595520168,4.0,100,50000,9.774722275883923e-05
2,100,0.004715869,-0.33382420701155197,-0.0737967049802948,500,0.004707743,500.0,-4.408766883269136e-06,-0.06597855040857278,4.0,200,50000,7.083986849469476e-05
3,100,0.004274642,-0.3229103072781168,-0.07047264452161478,500,0.0039235177,500.0,-1.7409679169873104e-07,-0.06382452360425478,4.0,300,50000,8.918240832340475e-05
4,100,0.0017279916,-0.27403904516884325,-0.06644296251997325,500,0.0017245513,500.0,-1.7409679169873104e-07,-0.05435391651504866,4.0,400,50000,5.45368830078566e-05
5,100,0.0015339159,-0.3058067605529688,-0.06528702364786389,500,0.0013971617,500.0,-1.24904571282812e-07,-0.060663268159426444,4.0,500,50000,5.5714251500870845e-05
6,100,0.0036795347,-0.37590618568067713,-0.0667957339991415,500,0.0036503642,500.0,-1.24904571282812e-07,-0.0743392857555295,4.0,600,50000,8.096392730415556e-05
7,100,0.004455472,-0.34999932318582566,-0.06716937352522544,500,0.004385424,500.0,-1.24904571282812e-07,-0.06941121068172912,4.0,700,50000,0.0001263879382554658
8,100,0.0038609963,-0.2823333969162332,-0.0657594814406257,500,0.0037978555,500.0,-1.24904571282812e-07,-0.0558902368484275,4.0,800,50000,6.586096256222074e-05
9,100,0.0070075053,-0.292353922802868,-0.0648886551102865,500,0.0070045246,500.0,-1.24904571282812e-07,-0.05792204446757296,4.0,900,50000,5.7094413778181944e-05
10,100,0.0020813702,-0.31666365788178097,-0.0646760938809777,500,0.0016253004,500.0,-1.24904571282812e-07,-0.06276304281719854,4.0,1000,50000,5.41500983480516e-05
11,100,0.002488579,-0.3783276337442907,-0.06560718745968355,500,0.0023915062,500.0,-1.24904571282812e-07,-0.07491812324674195,4.0,1100,50000,0.00010806746396099281
12,100,0.01245542,-0.37698471163930736,-0.06637094899039764,500,0.01245199,500.0,-1.24904571282812e-07,-0.0747723258282527,4.0,1200,50000,0.00010762517637574928
13,100,0.0048515815,-0.38061462177077954,-0.06705698237025337,500,0.0047782175,500.0,-1.24904571282812e-07,-0.07528938292852204,4.0,1300,50000,8.043980764920704e-05
14,100,0.0027147615,-0.2595724627360288,-0.06593314138952149,500,0.0027146738,500.0,-1.24904571282812e-07,-0.05132320864000702,4.0,1400,50000,6.106845646856213e-05
15,100,0.0045217974,-0.3191133648323315,-0.06575489149740847,500,0.0045199743,500.0,-1.24904571282812e-07,-0.06325939300782632,4.0,1500,50000,6.0321132221453866e-05
16,100,0.002086323,-0.3622139775868351,-0.06612438889602655,500,0.0016209731,500.0,-1.24904571282812e-07,-0.07166684987529769,4.0,1600,50000,8.617498955523786e-05
17,100,0.007380277,-0.36725834325953616,-0.06650811536967376,500,0.00735243,500.0,-1.24904571282812e-07,-0.07264773894802884,4.0,1700,50000,0.00012641119519979908
18,100,0.0023197415,-0.22878514514839224,-0.06533509009562846,500,0.0022998727,500.0,-1.24904571282812e-07,-0.045393660436858635,4.0,1800,50000,3.0441909153671294e-05
19,100,0.0036149377,-0.3013327752867142,-0.0650376360403989,500,0.003084959,500.0,-1.24904571282812e-07,-0.05968346304626698,4.0,1900,50000,8.560235416530854e-05
20,100,0.0054251603,-0.3247852524833343,-0.06500720424044466,500,0.0053384695,500.0,-1.24904571282812e-07,-0.0644290000413139,4.0,2000,50000,6.739099135327238e-05
21,100,0.004705327,-0.3342163332180941,-0.06506910208963734,500,0.0046976246,500.0,-1.24904571282812e-07,-0.06630705907349099,4.0,2100,50000,7.81825854992851e-05
22,100,0.0051283767,-0.3367145302016255,-0.065142857929561,500,0.005079512,500.0,-1.24904571282812e-07,-0.06669173056795763,4.0,2200,50000,9.382618698465045e-05
23,100,0.0014191855,-0.3505596295733701,-0.06533211387110745,500,0.0012835109,500.0,-1.24904571282812e-07,-0.06949574458512942,4.0,2300,50000,7.874404541380578e-05
24,100,0.002728865,-0.34688260928282655,-0.06547177648625538,500,0.0024046013,500.0,-1.24904571282812e-07,-0.06868401663465797,4.0,2400,50000,8.360295100556158e-05
25,100,0.0048863813,-0.3001854579855678,-0.06523228650508543,500,0.0047174054,500.0,-1.24904571282812e-07,-0.05948452695700682,4.0,2500,50000,0.00012841281726950332
26,100,0.003867038,-0.3630447283134681,-0.06549076471289932,500,0.0038212202,500.0,-1.24904571282812e-07,-0.07195271990824642,4.0,2600,50000,9.6544217715693e-05
27,100,0.0019461516,-0.34571353818787864,-0.0655980964943048,500,0.0017281654,500.0,-1.24904571282812e-07,-0.06838872281084718,4.0,2700,50000,6.006987990609528e-05
28,100,0.0026997528,-0.3906415743154945,-0.06602030688551051,500,0.0024745537,500.0,-1.24904571282812e-07,-0.07741998744806475,4.0,2800,50000,0.00016144372242842344
29,100,0.004284301,-0.29463491092713273,-0.06576054038327703,500,0.003977038,500.0,-1.24904571282812e-07,-0.05848707832073932,4.0,2900,50000,6.78155446996299e-05
30,100,0.0054377164,-0.3227081886073162,-0.06570264227857397,500,0.0040943325,500.0,-1.24904571282812e-07,-0.06402359724218538,4.0,3000,50000,8.635076091558289e-05
31,100,0.0027792477,-0.2896611410244304,-0.06543583958522262,500,0.0026790807,500.0,-1.24904571282812e-07,-0.05743175878468228,4.0,3100,50000,5.4989514167066045e-05
32,100,0.005636753,-0.3402927382720425,-0.06550181943350396,500,0.0056306855,500.0,-1.24904571282812e-07,-0.06754719473022527,4.0,3200,50000,0.0001325506992808776
33,100,0.0039316937,-0.36378929791682607,-0.06570343044697076,500,0.0033152597,500.0,-1.24904571282812e-07,-0.07215498287790843,4.0,3300,50000,9.395378406528133e-05
34,100,0.0012944454,-0.2911171819275539,-0.06546812847267602,500,0.0010920699,500.0,-1.24904571282812e-07,-0.05770316332094969,4.0,3400,50000,5.0442063855356525e-05
35,100,0.00095079275,-0.3104378400592085,-0.0653558035153717,500,0.00088832027,500.0,-1.24904571282812e-07,-0.061536754967024716,4.0,3500,50000,7.709163929109375e-05
36,100,0.007334055,-0.3075164246313175,-0.06523417703872933,500,0.007332959,500.0,-1.24904571282812e-07,-0.06097725035624634,4.0,3600,50000,8.757727773304638e-05
37,100,0.005056785,-0.45081110953395054,-0.06588700536127781,500,0.0037714872,500.0,-1.24904571282812e-07,-0.08938882497302343,4.0,3700,50000,0.0001505545813309503
38,100,0.0034843734,-0.34756755538397116,-0.06596648642317623,500,0.0034793701,500.0,-1.24904571282812e-07,-0.06890728571341749,4.0,3800,50000,0.00010031931071368595
39,100,0.009043704,-0.36580420489723836,-0.06613316386357397,500,0.009039127,500.0,-1.24904571282812e-07,-0.07246690659868844,4.0,3900,50000,0.00010946322896686579
40,100,0.0015020664,-0.2561644779806799,-0.06574804623022604,500,0.0013384761,500.0,-1.24904571282812e-07,-0.05072845852965575,4.0,4000,50000,3.645193048974771e-05
41,100,0.008482692,-0.34370204169330976,-0.06580763488865274,500,0.008407801,500.0,-1.24904571282812e-07,-0.06819118122572179,4.0,4100,50000,8.604522742940561e-05
42,100,0.004152963,-0.29741413576994946,-0.06564480189490444,500,0.0041445275,500.0,-1.24904571282812e-07,-0.05896864915122399,4.0,4200,50000,5.319648817673434e-05
43,100,0.0032721327,-0.29848823233926874,-0.06549336916899176,500,0.002995516,500.0,-1.24904571282812e-07,-0.05913319468065889,4.0,4300,50000,5.989166986464865e-05
44,100,0.0011118045,-0.28800989228720136,-0.06530110096879835,500,0.0011117987,500.0,-1.24904571282812e-07,-0.05703356836048155,4.0,4400,50000,5.342932593592228e-05
45,100,0.003358533,-0.31531153092715664,-0.0652371470428087,500,0.0032719944,500.0,-1.24904571282812e-07,-0.06242317429926425,4.0,4500,50000,8.2730394438061e-05
46,100,0.008873713,-0.4109257472862505,-0.06559001419954853,500,0.007834507,500.0,-1.24904571282812e-07,-0.08146903625284127,4.0,4600,50000,0.0001678388285533734
47,100,0.00091157533,-0.32228276691788865,-0.06555230330356637,500,0.0009109838,500.0,-1.24904571282812e-07,-0.06381760208838669,4.0,4700,50000,5.57074235001074e-05
48,100,0.0014238919,-0.2683387098003164,-0.06529527655146569,500,0.0014014068,500.0,-1.24904571282812e-07,-0.053215019202734234,4.0,4800,50000,5.103779133690017e-05
